"","X2017.12","X2018.12","X2019.12"
"매출액",1065,1164,1262
"매출원가",660,711,753
"매출총이익",405,453,509
"판매비와관리비",232,241,281
"인건비",82,92,113
"유무형자산상각비",7,10,17
"연구개발비",36,43,39
"광고선전비",1,NA,NA
"판매비",40,16,26
"관리비",65,59,61
"기타원가성비용",NA,NA,NA
"기타",1,21,24
"영업이익",173,212,228
"영업이익(발표기준)",173,212,228
"금융수익",17,17,18
"이자수익",12,13,14
"배당금수익",NA,NA,NA
"외환이익",5,5,4
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",NA,NA,0
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,NA,NA
"금융원가",15,7,5
"이자비용",6,3,3
"외환손실",9,5,2
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",8,41,16
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",0,27,0
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",35,45,47
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",5,0,0
"자산평가손실",NA,NA,NA
"자산손상차손",NA,29,36
"기타대손상각비",NA,6,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",149,219,210
"법인세비용",5,63,72
"계속영업이익",144,156,138
"중단영업이익",NA,NA,NA
"당기순이익",144,156,138
"지배주주순이익",146,157,147
"비지배주주순이익",-2,-2,-9
"자산",1965,2011,2321
"유동자산",1406,1474,1694
"재고자산",273,307,289
"유동생물자산",NA,NA,NA
"유동금융자산",695,603,617
"매출채권및기타유동채권",201,273,485
"당기법인세자산",0,0,1
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",29,31,27
"현금및현금성자산",207,260,275
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",559,537,627
"유형자산",344,327,361
"무형자산",204,192,227
"비유동생물자산",NA,NA,NA
"투자부동산",NA,NA,NA
"장기금융자산",0,0,1
"관계기업등지분관련투자자산",NA,NA,NA
"장기매출채권및기타비유동채권",4,5,6
"이연법인세자산",7,11,15
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,1,18
"기타금융업자산",NA,NA,NA
"부채",195,188,378
"유동부채",176,169,230
"단기사채",NA,NA,NA
"단기차입금",37,16,51
"유동성장기부채",16,NA,NA
"유동금융부채",NA,NA,7
"매입채무및기타유동채무",105,89,108
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",5,5,2
"당기법인세부채",11,56,51
"계약부채",NA,NA,2
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",2,3,10
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",19,19,147
"사채",NA,NA,89
"장기차입금",5,NA,NA
"비유동금융부채",NA,NA,21
"장기매입채무및기타비유동채무",6,7,9
"비유동종업원급여충당부채",8,4,14
"기타장기충당부채",NA,NA,3
"이연법인세부채",NA,NA,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",1770,1823,1943
"지배기업주주지분",1766,1819,1943
"자본금",83,83,83
"신종자본증권",NA,NA,NA
"자본잉여금",1079,1079,1077
"기타자본",-73,-160,-160
"기타포괄손익누계액",0,1,1
"이익잉여금(결손금)",677,816,941
"비지배주주지분",3,5,0
"영업활동으로인한현금흐름",206,147,95
"당기순손익",144,156,138
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",124,168,217
"퇴직급여",15,12,14
"종업원급여",NA,NA,NA
"주식보상비",NA,NA,NA
"감가상각비",34,37,45
"무형자산상각비",28,32,32
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",NA,NA,NA
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",NA,NA,NA
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",14,14,16
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,NA,NA
"종속회사관련이익",NA,NA,NA
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-37,-149,-181
"자산의감소(증가)",-5,-126,-194
"부채의증가(감소)",-24,-14,8
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",-8,-9,6
"*영업에서창출된현금흐름",217,161,159
"기타영업활동으로인한현금흐름",-11,-14,-65
"이자수입",13,12,13
"이자지급(-)",-6,-3,-1
"배당금수입",NA,NA,NA
"배당금지급(-)",NA,NA,NA
"법인세환입",NA,NA,NA
"법인세납부(-)",-18,-23,-77
"중단영업관련현금흐름",NA,NA,NA
"투자활동으로인한현금흐름",-29,51,-186
"투자활동으로인한현금유입액",1162,1131,604
