"","X2017.12","X2018.12","X2019.12"
"매출액",8386,9216,9708
"매출원가",7412,8219,8671
"매출총이익",974,998,1038
"판매비와관리비",768,805,890
"인건비",204,199,206
"유무형자산상각비",7,7,16
"연구개발비",1,1,5
"광고선전비",7,7,8
"판매비",382,416,457
"관리비",167,175,197
"기타원가성비용",NA,NA,NA
"기타",1,2,1
"영업이익",206,192,148
"영업이익(발표기준)",206,192,148
"금융수익",257,105,164
"이자수익",43,27,46
"배당금수익",13,11,NA
"외환이익",155,23,58
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",0,NA,4
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",0,0,NA
"금융원가",271,212,321
"이자비용",113,106,138
"외환손실",10,83,111
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",147,20,65
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",1,NA,7
"금융자산손상차손",1,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,2,NA
"기타수익",23,22,43
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",4,2,1
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,0,1
"로열티수익",NA,NA,NA
"수수료수익",4,4,6
"대손충당금환입",0,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",14,20,74
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",2,5,5
"자산평가손실",NA,NA,NA
"자산손상차손",4,0,5
"기타대손상각비",0,NA,26
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",18,26,-15
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",219,114,-55
"법인세비용",84,198,81
"계속영업이익",135,-85,-136
"중단영업이익",-7,-5,-1
"당기순이익",128,-90,-138
"지배주주순이익",138,-60,-51
"비지배주주순이익",-10,-30,-86
"자산",5674,6584,6413
"유동자산",3209,3935,4172
"재고자산",1079,1400,1240
"유동생물자산",178,168,277
"유동금융자산",524,476,444
"매출채권및기타유동채권",1235,1654,1823
"당기법인세자산",1,2,0
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",16,32,26
"현금및현금성자산",165,201,361
"매각예정비유동자산및처분자산집단",9,1,0
"비유동자산",2464,2649,2241
"유형자산",1366,1451,1508
"무형자산",19,16,15
