"","X2017.12","X2018.12","X2019.12"
"매출액",448,513,593
"매출원가",305,345,454
"매출총이익",143,169,139
"판매비와관리비",120,160,187
"인건비",47,46,47
"유무형자산상각비",6,6,14
"연구개발비",6,15,29
"광고선전비",1,0,2
"판매비",24,44,58
"관리비",29,39,33
"기타원가성비용",NA,NA,NA
"기타",8,11,5
"영업이익",23,9,-48
"영업이익(발표기준)",23,9,-48
"금융수익",5,3,3
"이자수익",2,2,2
"배당금수익",NA,NA,NA
"외환이익",3,2,1
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",NA,NA,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,NA,NA
"금융원가",36,19,76
"이자비용",25,19,20
"외환손실",11,1,1
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,55
"기타수익",4,23,59
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,5,3
"자산처분(폐기)이익",0,NA,1
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,1,1
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",58,109,194
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",7,77,80
"자산처분(폐기)손실",NA,0,0
"자산평가손실",NA,NA,NA
"자산손상차손",2,NA,23
"기타대손상각비",11,21,45
"충당부채전입액",NA,NA,37
