"","X2017.12","X2018.12","X2019.12"
"매출액",3654,6122,6578
"매출원가",2490,4095,4422
"매출총이익",1164,2027,2156
"판매비와관리비",1055,1550,1752
"인건비",468,682,760
"유무형자산상각비",124,171,282
"연구개발비",NA,NA,NA
"광고선전비",63,89,136
"판매비",45,44,63
"관리비",284,429,350
"기타원가성비용",NA,NA,NA
"기타",72,135,161
"영업이익",109,477,404
"영업이익(발표기준)",109,477,404
"금융수익",16,80,77
"이자수익",11,26,39
"배당금수익",NA,0,0
"외환이익",2,38,21
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",0,NA,0
"금융자산평가이익",NA,9,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",2,7,16
"기타금융수익",NA,NA,NA
"금융원가",71,35,106
"이자비용",12,26,39
"외환손실",47,4,6
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,6,61
"금융자산손상차손",10,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",1,NA,NA
"기타수익",25,50,79
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",8,1,6
"자산평가이익",2,4,13
"자산손상차손환입",NA,NA,NA
"임대료수익",2,1,1
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",1,4,NA
"충당부채환입액",NA,NA,NA
"기타비용",42,48,236
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",13,5,10
"자산평가손실",NA,NA,NA
"자산손상차손",NA,8,170
"기타대손상각비",6,NA,25
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",206,-64,-108
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",225,NA,4
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",244,460,110
"법인세비용",291,226,271
"계속영업이익",-47,234,-162
"중단영업이익",NA,NA,NA
"당기순이익",-47,234,-162
"지배주주순이익",43,306,-91
"비지배주주순이익",-90,-72,-71
"자산",7975,10025,11156
"유동자산",4408,5374,6287
"재고자산",86,115,148
"유동생물자산",NA,NA,NA
"유동금융자산",35,448,914
"매출채권및기타유동채권",1815,1887,1955
"당기법인세자산",18,54,2
"계약자산",NA,4,5
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",499,491,414
"현금및현금성자산",1955,2373,2850
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",3567,4651,4869
"유형자산",932,933,1057
"무형자산",1135,1860,1993
"비유동생물자산",NA,NA,NA
"투자부동산",69,80,129
"장기금융자산",452,505,439
"관계기업등지분관련투자자산",815,1011,655
"장기매출채권및기타비유동채권",4,22,19
"이연법인세자산",85,122,131
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",75,118,448
"기타금융업자산",NA,NA,NA
"부채",3619,4263,4829
"유동부채",3304,3942,4370
"단기사채",NA,NA,90
"단기차입금",107,73,69
"유동성장기부채",366,364,356
"유동금융부채",14,7,152
"매입채무및기타유동채무",2239,2900,3055
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",14,NA,31
"당기법인세부채",197,95,79
"계약부채",NA,24,21
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",366,479,517
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",315,321,459
"사채",62,69,93
"장기차입금",50,33,27
"비유동금융부채",1,1,158
"장기매입채무및기타비유동채무",8,6,12
"비유동종업원급여충당부채",43,51,55
"기타장기충당부채",12,12,9
"이연법인세부채",3,38,54
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",136,113,51
"기타금융업부채",NA,NA,NA
"자본",4356,5761,6328
"지배기업주주지분",3443,4242,4442
"자본금",109,115,117
"신종자본증권",NA,NA,NA
"자본잉여금",1705,2191,2453
"기타자본",321,295,294
"기타포괄손익누계액",-34,-101,-68
"이익잉여금(결손금)",1341,1742,1645
"비지배주주지분",914,1519,1886
"영업활동으로인한현금흐름",775,1200,919
"당기순손익",-47,234,-162
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",783,881,1467
"퇴직급여",22,40,47
"종업원급여",NA,NA,NA
"주식보상비",125,68,47
"감가상각비",112,129,255
"무형자산상각비",108,271,382
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",NA,NA,NA
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",16,NA,NA
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",4,64,112
"(현금유입이없는수익등차감)",254,53,88
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",2,4,13
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,NA,NA
"종속회사관련이익",225,NA,4
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",465,524,-48
"자산의감소(증가)",-737,173,93
"부채의증가(감소)",1201,352,-141
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",NA,NA,NA
"*영업에서창출된현금흐름",947,1587,1169
"기타영업활동으로인한현금흐름",-172,-387,-250
"이자수입",11,15,27
"이자지급(-)",-16,-15,-23
"배당금수입",NA,0,0
"배당금지급(-)",NA,NA,NA
"법인세환입",NA,NA,NA
"법인세납부(-)",-168,-386,-253
"중단영업관련현금흐름",NA,NA,NA
"투자활동으로인한현금흐름",-1106,-1270,-529
"투자활동으로인한현금유입액",502,260,351
"유동금융자산의감소",44,125,45
"장기금융상품의감소",93,11,80
"매도가능금융자산의감소",NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA
"장기대여금의감소",NA,19,15
"파생상품의변동",NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA
"관계기업등지분관련투자자산의감소",266,NA,35
"유형자산의감소",67,7,4
"무형자산의감소",0,0,0
"생물자산의감소",NA,NA,NA
"투자부동산의감소",NA,NA,NA
"기타투자활동으로인한현금유입액",32,98,172
"(투자활동으로인한현금유출액)",1608,1530,880
"유동금융자산의증가",80,91,13
"장기금융상품의증가",3,318,302
"매도가능금융자산의증가",3,NA,NA
"만기보유금융자산의증가",NA,NA,NA
"장기대여금의증가",NA,23,3
"기타비유동금융자산의증가",NA,NA,NA
"관계기업등지분관련투자자산의증가",475,365,NA
"유형자산의증가",105,104,135
"무형자산의증가",253,263,302
"생물자산의증가",NA,NA,NA
"투자부동산의증가",NA,6,NA
"기타투자활동으로인한현금유출액",689,361,126
"기타투자활동으로인한현금흐름",NA,NA,NA
"재무활동으로인한현금흐름",639,460,59
"재무활동으로인한현금유입액",788,1147,226
