"","corp_code","sj_nm","account_nm","account_detail","2019","2018","2017"
"1","00260569","재무상태표","유동자산","-","127609372370","107246061449","96888156436"
"2","00260569","재무상태표","현금및현금성자산","-","27950849031","24210938365","29094640789"
"3","00260569","재무상태표","유동 상각후원가 측정 금융자산","-","65090400774","53112738094","31871071832"
"4","00260569","재무상태표","유동 기타포괄손익-공정가치 측정 금융자산","-","","445000",""
"5","00260569","재무상태표","유동 당기손익-공정가치 측정 지정 금융자산","-","12708749130","10459750387","11159644113"
"6","00260569","재무상태표","재고자산","-","21343135172","18861578009","23945678795"
"7","00260569","재무상태표","기타유동자산","-","516238263","600611594","817120907"
"8","00260569","재무상태표","비유동자산","-","40106269439","34019181060","33107349474"
"9","00260569","재무상태표","비유동 상각후원가 측정 금융자산","-","28500000","28500000","34280000"
"10","00260569","재무상태표","비유동 기타포괄손익-공정가치 측정 금융자산","-","100000000","190700349","1231345000"
"11","00260569","재무상태표","관계기업투자주식","-","2345894678","2408227978","2451835365"
"12","00260569","재무상태표","유형자산","-","31221016285","28728746483","25377872509"
"13","00260569","재무상태표","무형자산","-","1229902329","1122394135","2177436033"
"14","00260569","재무상태표","사용권자산","-","3135180951","",""
"15","00260569","재무상태표","이연법인세자산","-","588780764","105164820","463037965"
"16","00260569","재무상태표","퇴직연금운용자산","-","561857975","358967511","416433112"
"17","00260569","재무상태표","기타비유동자산","-","895136457","1076479784","955109490"
"18","00260569","재무상태표","자산총계","-","167715641809","141265242509","129995505910"
"19","00260569","재무상태표","유동부채","-","41008312166","37033245086","42196062965"
"20","00260569","재무상태표","유동 상각후원가 측정 금융부채","-","38536806227","35149412119","40358342865"
"21","00260569","재무상태표","기타유동부채","-","2258748511","1677259800","687099510"
"22","00260569","재무상태표","유동판매보증충당부채","-","","","1150620590"
"23","00260569","재무상태표","유동파생상품부채","-","64757931","206573167",""
"24","00260569","재무상태표","유동리스부채","-","147999497","",""
"25","00260569","재무상태표","비유동부채","-","2928143271","","1000000000"
"26","00260569","재무상태표","비유동 상각후원가 측정 금융부채","-","","","1000000000"
"27","00260569","재무상태표","비유동리스부채","-","2928143271","",""
"28","00260569","재무상태표","부채총계","-","43936455437","37033245086","43196062965"
