"","corp_code","sj_nm","account_nm","account_detail","2019","2018","2017"
"1","00113997","재무상태표","유동자산","-","592714000000","357481000000","394515000000"
"2","00113997","재무상태표","현금및현금성자산","-","332997000000","53097000000","46201000000"
"3","00113997","재무상태표","금융기관예치금","-","0","22000000000","42270000000"
"4","00113997","재무상태표","매출채권 및 기타채권","-","74162000000","69267000000","59109000000"
"5","00113997","재무상태표","미청구공사","-","18472000000","12842000000","11540000000"
"6","00113997","재무상태표","기타유동금융자산","-","67306000000","121274000000","161258000000"
"7","00113997","재무상태표","당기법인세자산","-","301000000","0","2000000"
"8","00113997","재무상태표","기타유동비금융자산","-","15535000000","27843000000","15603000000"
"9","00113997","재무상태표","재고자산","-","83941000000","51158000000","58532000000"
"10","00113997","재무상태표","비유동자산","-","444215000000","334724000000","255769000000"
"11","00113997","재무상태표","장기금융기관예치금","-","17000000","17000000","16000000"
"12","00113997","재무상태표","장기매출채권 및 기타채권","-","4500000000","3838000000","2713000000"
"13","00113997","재무상태표","매도가능금융자산","-","47710000000","42342000000","63336000000"
"14","00113997","재무상태표","이연법인세자산","-","10763000000","6665000000","7526000000"
"15","00113997","재무상태표","유형자산","-","374564000000","271469000000","175752000000"
"16","00113997","재무상태표","투자부동산","-","1008000000","1032000000","1677000000"
"17","00113997","재무상태표","영업권 이외의 무형자산","-","5576000000","4298000000","4399000000"
"18","00113997","재무상태표","기타비유동자산","-","77000000","5063000000","350000000"
"19","00113997","재무상태표","자산총계","-","1036929000000","692205000000","650284000000"
"20","00113997","재무상태표","유동부채","-","100985000000","109017000000","89045000000"
"21","00113997","재무상태표","매입채무 및 기타유동채무","-","62424000000","64073000000","53683000000"
"22","00113997","재무상태표","초과청구공사","-","17881000000","14452000000","15069000000"
"23","00113997","재무상태표","단기차입금","-","666000000","13350000000","7543000000"
"24","00113997","재무상태표","유동성장기부채","-","1514000000","1514000000","314000000"
"25","00113997","재무상태표","기타유동금융부채","-","2344000000","41000000","0"
"26","00113997","재무상태표","당기법인세부채","-","6871000000","5334000000","260000000"
"27","00113997","재무상태표","유동충당부채","-","3629000000","3770000000","1298000000"
"28","00113997","재무상태표","기타유동비금융부채","-","5656000000","6483000000","10878000000"
"29","00113997","재무상태표","비유동부채","-","111733000000","54775000000","30809000000"
"30","00113997","재무상태표","장기매입채무 및 기타비유동채무","-","153000000","153000000","203000000"
"31","00113997","재무상태표","장기차입금","-","3776000000","5290000000","3805000000"
"32","00113997","재무상태표","신주인수권부사채","-","47219000000","","0"
"33","00113997","재무상태표","기타비유동금융부채","-","22543000000","18898000000","0"
"34","00113997","재무상태표","이연법인세부채","-","2175000000","2537000000","3605000000"
"35","00113997","재무상태표","순확정급여부채","-","27313000000","21679000000","19376000000"
"36","00113997","재무상태표","비유동충당부채","-","2147000000","401000000","260000000"
