"","corp_code","sj_nm","account_nm","account_detail","2019"
"1","01395279","재무상태표","유동자산","-","9392528844"
"2","01395279","재무상태표","현금및현금성자산","-","1376050819"
"3","01395279","재무상태표","단기금융상품","-","8000000000"
"4","01395279","재무상태표","매출채권 및 기타유동채권","-","16386885"
"5","01395279","재무상태표","당기법인세자산","-","91140"
"6","01395279","재무상태표","비유동자산","-","0"
"7","01395279","재무상태표","자산총계","-","9392528844"
"8","01395279","재무상태표","유동부채","-","3300000"
"9","01395279","재무상태표","매입채무 및 기타유동채무","-","3300000"
"10","01395279","재무상태표","비유동부채","-","1126064608"
"11","01395279","재무상태표","장기매입채무 및 기타비유동채무","-","1121456021"
"12","01395279","재무상태표","전환사채","-","1121456021"
"13","01395279","재무상태표","이연법인세부채","-","4608587"
"14","01395279","재무상태표","부채총계","-","1129364608"
"15","01395279","재무상태표","자본금","-","441000000"
"16","01395279","재무상태표","자본잉여금","-","7865289625"
"17","01395279","재무상태표","이익잉여금(결손금)","-","-43125389"
"18","01395279","재무상태표","자본총계","-","8263164236"
"19","01395279","재무상태표","자본과부채총계","-","9392528844"
"20","01395279","포괄손익계산서","영업수익","-","0"
"21","01395279","포괄손익계산서","영업비용","-","64574620"
"22","01395279","포괄손익계산서","영업이익(손실)","-","-64574620"
"23","01395279","포괄손익계산서","금융수익","-","16978764"
"24","01395279","포괄손익계산서","금융원가","-","7693104"
"25","01395279","포괄손익계산서","법인세비용차감전순이익(손실)","-","-55288960"
"26","01395279","포괄손익계산서","법인세비용","-","-12163571"
"27","01395279","포괄손익계산서","당기순이익(손실)","-","-43125389"
"28","01395279","포괄손익계산서","기타포괄손익","-","0"
"29","01395279","포괄손익계산서","총포괄손익","-","-43125389"
"30","01395279","포괄손익계산서","기본주당이익(손실)","-","-21"
"31","01395279","포괄손익계산서","희석주당이익(손실)","-","-21"
"32","01395279","현금흐름표","영업활동현금흐름","-","-62789181"
"33","01395279","현금흐름표","당기순이익(손실)","-","-43125389"
"34","01395279","현금흐름표","당기순이익조정을 위한 가감","-","-21449231"
"35","01395279","현금흐름표","영업활동으로인한자산ㆍ부채의변동","-","1284700"
"36","01395279","현금흐름표","이자수취(영업)","-","591879"
"37","01395279","현금흐름표","법인세납부(환급)","-","91140"
"38","01395279","현금흐름표","투자활동현금흐름","-","-8000000000"
"39","01395279","현금흐름표","단기금융상품의 취득","-","8000000000"
"40","01395279","현금흐름표","재무활동현금흐름","-","9028840000"
"41","01395279","현금흐름표","주식의 발행","-","8000000000"
"42","01395279","현금흐름표","신주발행비 지급","-","161160000"
"43","01395279","현금흐름표","전환사채의 증가","-","1190000000"
"44","01395279","현금흐름표","현금및현금성자산의순증가(감소)","-","966050819"
"45","01395279","현금흐름표","기초현금및현금성자산","-","410000000"
"46","01395279","현금흐름표","기말현금및현금성자산","-","1376050819"
"47","01395279","자본변동표","기초자본","별도재무제표 [member]","407984700"
"48","01395279","자본변동표","기초자본","자본 [member]|이익잉여금 [member]","0"
"49","01395279","자본변동표","기초자본","자본 [member]|자본금 [member]","41000000"
"50","01395279","자본변동표","기초자본","자본 [member]|자본잉여금 [member]","366984700"
"51","01395279","자본변동표","당기순이익(손실)","별도재무제표 [member]","-43125389"
"52","01395279","자본변동표","당기순이익(손실)","자본 [member]|이익잉여금 [member]","-43125389"
"53","01395279","자본변동표","당기순이익(손실)","자본 [member]|자본금 [member]","0"
"54","01395279","자본변동표","당기순이익(손실)","자본 [member]|자본잉여금 [member]","0"
"55","01395279","자본변동표","지분의 발행","별도재무제표 [member]","7838840000"
"56","01395279","자본변동표","지분의 발행","자본 [member]|이익잉여금 [member]","0"
"57","01395279","자본변동표","지분의 발행","자본 [member]|자본금 [member]","400000000"
"58","01395279","자본변동표","지분의 발행","자본 [member]|자본잉여금 [member]","7438840000"
"59","01395279","자본변동표","복합금융상품 발행","별도재무제표 [member]","59464925"
"60","01395279","자본변동표","복합금융상품 발행","자본 [member]|이익잉여금 [member]","0"
"61","01395279","자본변동표","복합금융상품 발행","자본 [member]|자본금 [member]","0"
"62","01395279","자본변동표","복합금융상품 발행","자본 [member]|자본잉여금 [member]","59464925"
"63","01395279","자본변동표","자본 증가(감소) 합계","별도재무제표 [member]","7855179536"
"64","01395279","자본변동표","자본 증가(감소) 합계","자본 [member]|이익잉여금 [member]","-43125389"
"65","01395279","자본변동표","자본 증가(감소) 합계","자본 [member]|자본금 [member]","400000000"
"66","01395279","자본변동표","자본 증가(감소) 합계","자본 [member]|자본잉여금 [member]","7498304925"
"67","01395279","자본변동표","기말자본","별도재무제표 [member]","8263164236"
"68","01395279","자본변동표","기말자본","자본 [member]|이익잉여금 [member]","-43125389"
"69","01395279","자본변동표","기말자본","자본 [member]|자본금 [member]","441000000"
"70","01395279","자본변동표","기말자본","자본 [member]|자본잉여금 [member]","7865289625"
