"","corp_code","sj_nm","account_nm","account_detail","2019","2018","2017"
"1","00447487","재무상태표","유동자산","-","170667945724","161057263953","78898639136"
"2","00447487","재무상태표","현금및현금성자산","-","49720845511","31747506628","4559634128"
"3","00447487","재무상태표","단기금융상품","-","2135086000","",""
"4","00447487","재무상태표","유동단기매매금융자산","-","","","476476000"
"5","00447487","재무상태표","매출채권 및 기타유동채권","-","32269654932","32953385919","24310919927"
"6","00447487","재무상태표","재고자산","-","75092628790","81141337051","46470309026"
"7","00447487","재무상태표","기타유동자산","-","11421433441","15177781019","3037073015"
"8","00447487","재무상태표","당기법인세자산","-","28297050","37253336","44227040"
"9","00447487","재무상태표","비유동자산","-","53535113779","64991818650","14236674193"
"10","00447487","재무상태표","장기금융상품","-","103256840","","98924830"
"11","00447487","재무상태표","비유동매도가능금융자산","-","6829860403","","5036501202"
"12","00447487","재무상태표","비유동 당기손익-공정가치 의무 측정 금융자산","-","","9909726192",""
"13","00447487","재무상태표","장기매출채권 및 기타비유동채권","-","3305744255","4176794560","1169125404"
"14","00447487","재무상태표","투자부동산","-","2055149200","2055149200","2055149200"
"15","00447487","재무상태표","유형자산","-","5571110802","3887875540","3752282962"
"16","00447487","재무상태표","영업권 이외의 무형자산","-","752392395","799661594","438254836"
"17","00447487","재무상태표","기타비유동자산","-","28715559287","40338810458",""
"18","00447487","재무상태표","이연법인세자산","-","3625897697","3823801106","1686435759"
"19","00447487","재무상태표","사용권자산","-","1750271481","",""
"20","00447487","재무상태표","기타비유동금융자산","-","825871419","",""
"21","00447487","재무상태표","자산총계","-","224203059503","226049082603","93135313329"
"22","00447487","재무상태표","유동부채","-","104112852754","112689239121","32528697543"
"23","00447487","재무상태표","매입채무 및 기타유동채무","-","11896112286","20216405476","10795867520"
"24","00447487","재무상태표","단기차입금등","-","40600000000","48100000000","2000000000"
"25","00447487","재무상태표","유동성장기차입금","-","2000000000","",""
"26","00447487","재무상태표","기타유동금융부채","-","5997667394","",""
"27","00447487","재무상태표","유동성전환사채","-","11506964327","13231701409","8705874727"
"28","00447487","재무상태표","유동파생상품부채","-","","7254913257","8666939257"
"29","00447487","재무상태표","유동충당부채","-","1012576104","387979790","233896809"
"30","00447487","재무상태표","기타유동부채","-","29651352396","20920968497","1955956430"
"31","00447487","재무상태표","당기법인세부채","-","893394901","2577270692","170162800"
"32","00447487","재무상태표","유동리스부채","-","554785346","",""
"33","00447487","재무상태표","비유동부채","-","30303845777","18152928947","9212720779"
"34","00447487","재무상태표","장기매입채무 및 기타비유동채무","-","80394383","58876593",""
"35","00447487","재무상태표","장기차입금","-","4600000000","6600000000",""
"36","00447487","재무상태표","전환사채","-","10777592627","9354337411","7545144905"
"37","00447487","재무상태표","퇴직급여부채","-","2550285395","2139714943","1667575874"
"38","00447487","재무상태표","비유동리스부채","-","1133548372","",""
"39","00447487","재무상태표","기타비유동금융부채","-","11162025000","",""
"40","00447487","재무상태표","부채총계","-","134416698531","130842168068","41741418322"
"41","00447487","재무상태표","지배기업의 소유주에게 귀속되는 자본","-","69582568597","75108766052","51497103317"
"42","00447487","재무상태표","자본금","-","14466257000","14430269000","12975940000"
"43","00447487","재무상태표","자본잉여금","-","52104952459","51830371567","38390350958"
"44","00447487","재무상태표","기타자본구성요소","-","-7008648312","-6304459975","-4986168200"
"45","00447487","재무상태표","이익잉여금(결손금)","-","10020007450","15152585460","4273334412"
"46","00447487","재무상태표","미처분이익잉여금(미처리결손금)","-","10020007450","15152585460","4273334412"
"47","00447487","재무상태표","기타포괄손익누계액","-","","","843646147"
"48","00447487","재무상태표","비지배지분","-","20203792375","20098148483","-103208310"
"49","00447487","재무상태표","자본총계","-","89786360972","95206914535","51393895007"
"50","00447487","재무상태표","자본과부채총계","-","224203059503","226049082603","93135313329"
"51","00447487","포괄손익계산서","수익(매출액)","-","162112445831","148727536842","117036991798"
"52","00447487","포괄손익계산서","매출원가","-","134185944317","112379446004","93026307446"
"53","00447487","포괄손익계산서","매출총이익","-","27926501514","36348090838","24010684352"
"54","00447487","포괄손익계산서","판매비와관리비","-","21779552222","23552570415","15577436727"
"55","00447487","포괄손익계산서","영업이익(손실)","-","6146949292","12795520423","8433247625"
"56","00447487","포괄손익계산서","금융수익","-","689386421","1324019837","166605528"
"57","00447487","포괄손익계산서","금융원가","-","8845277225","6850004139","2900828179"
"58","00447487","포괄손익계산서","기타이익","-","6766428082","5261351600","5061938093"
"59","00447487","포괄손익계산서","기타손실","-","8034908043","2900546398","8530584857"
"60","00447487","포괄손익계산서","법인세비용차감전순이익(손실)","-","-3277421473","9630341323","2230378210"
"61","00447487","포괄손익계산서","법인세비용","-","1592598323","575886378","-1710776695"
"62","00447487","포괄손익계산서","당기순이익(손실)","-","-4870019796","9054454945","3941154905"
"63","00447487","포괄손익계산서","지배기업의 소유주에게 귀속되는 당기순이익(손실)","-","-4799514871","10641527323","3987063819"
"64","00447487","포괄손익계산서","비지배지분에 귀속되는 당기순이익(손실)","-","-70504925","-1587072378","-45908914"
"65","00447487","포괄손익계산서","기타포괄손익","-","-339024199","-1108940288","702037641"
"66","00447487","포괄손익계산서","당기손익으로 재분류되지 않는항목(세후기타포괄손익)","-","-339024199","-265294141","-141608506"
"67","00447487","포괄손익계산서","확정급여제도의 재측정손익(세후기타포괄손익)","-","-339024199","-265294141","-141608506"
"68","00447487","포괄손익계산서","당기손익으로 재분류될 수 있는 항목(세후기타포괄손익)","-","","-843646147","843646147"
"69","00447487","포괄손익계산서","매도가능금융자산평가손익(세후기타포괄손익)","-","","-843646147","843646147"
"70","00447487","포괄손익계산서","총포괄손익","-","-5209043995","7945514657","4643192546"
"71","00447487","포괄손익계산서","총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","-","-5132578010","9581624604","4689101460"
"72","00447487","포괄손익계산서","총 포괄손익, 비지배지분","-","-76465985","-1636109947","-45908914"
"73","00447487","포괄손익계산서","기본주당이익(손실)","-","-169","383","160"
"74","00447487","포괄손익계산서","희석주당이익(손실)","-","-169","383","160"
"75","00447487","현금흐름표","영업활동현금흐름","-","26678967663","-50215270122","-8813793506"
"76","00447487","현금흐름표","당기순이익(손실)","-","-4870019796","9054454945","3941154905"
"77","00447487","현금흐름표","당기순이익조정을 위한 가감","-","19334603292","13953807056","8281839539"
"78","00447487","현금흐름표","영업활동으로인한자산ㆍ부채의변동","-","16722540668","-72467837764","-21216590431"
"79","00447487","현금흐름표","이자수취(영업)","-","375230177","288242226","272152973"
"80","00447487","현금흐름표","이자지급(영업)","-","1906359587","826923409","114563222"
"81","00447487","현금흐름표","배당금수취(영업)","-","","7330400","12992830"
"82","00447487","현금흐름표","법인세납부(환급)","-","2977027091","224343576","-9219900"
"83","00447487","현금흐름표","투자활동현금흐름","-","-2940133354","-10344067869","10509685044"
"84","00447487","현금흐름표","단기금융상품의 처분","-","","","17450000000"
"85","00447487","현금흐름표","다른 기업의 지분상품이나 채무상품의 처분에 따른 기타현금유입","-","","","175239921"
"86","00447487","현금흐름표","단기대여금및수취채권의 처분","-","149191104","4500000","600000000"
"87","00447487","현금흐름표","장기대여금및수취채권의 처분","-","1114410","173831006","46278640"
"88","00447487","현금흐름표","매도가능금융자산의 처분","-","","","4424240"
"89","00447487","현금흐름표","당기손익인식금융자산의 처분","-","8410753582","1208144316",""
"90","00447487","현금흐름표","종속기업과 기타 사업의 지배력 상실에 따른 현금흐름","-","","52000000",""
"91","00447487","현금흐름표","투자부동산의 처분","-","","100000000","50000000"
"92","00447487","현금흐름표","유형자산의 처분","-","","2727273","454545"
"93","00447487","현금흐름표","기타비유동금융자산의 처분","-","","28248510",""
"94","00447487","현금흐름표","단기금융상품의 취득","-","","","1600000000"
"95","00447487","현금흐름표","단기대여금및수취채권의 취득","-","","330000000","1100000000"
"96","00447487","현금흐름표","기타비유동자산의 증가","-","768603614","",""
"97","00447487","현금흐름표","장기대여금및수취채권의 취득","-","65000000","1564256790","155517150"
"98","00447487","현금흐름표","다른 기업의 지분상품이나 채무상품의 취득에 따른 기타현금유출","-","","","497738000"
"99","00447487","현금흐름표","매도가능금융자산의 취득","-","","","1104615000"
"100","00447487","현금흐름표","당기손익인식금융자산의 취득","-","7942406000","3566077020",""
"101","00447487","현금흐름표","유형자산의 취득","-","2738966353","2730860438","3105075924"
"102","00447487","현금흐름표","무형자산의 취득","-","31145295","347022716","253766228"
"103","00447487","현금흐름표","보증금의 증가","-","","875302010",""
"104","00447487","현금흐름표","기타비유동금융자산의 취득","-","","2500000000",""
"105","00447487","현금흐름표","보증금의 감소","-","44928812","",""
"106","00447487","현금흐름표","재무활동현금흐름","-","-6050277294","87669174965","-5752500000"
"107","00447487","현금흐름표","단기차입금의 증가","-","2500000000","48957894388","2000000000"
"108","00447487","현금흐름표","장기차입금의 증가","-","","6600000000",""
"109","00447487","현금흐름표","임대보증금의 증가","-","","","1000000"
"110","00447487","현금흐름표","전환사채의 증가","-","17395000000","14500000000",""
"111","00447487","현금흐름표","주식의 발행","-","","21527810000","6918600000"
"112","00447487","현금흐름표","국고보조금의 증가","-","20000000","",""
"113","00447487","현금흐름표","차입금의 상환","-","10000000000","2857894388","14672100000"
"114","00447487","현금흐름표","자기주식의 취득","-","522078460","1058635035",""
"115","00447487","현금흐름표","전환사채의 감소","-","14754910432","",""
"116","00447487","현금흐름표","리스부채의 지급","-","688288402","",""
"117","00447487","현금흐름표","환율변동효과 반영전 현금및현금성자산의 순증가(감소)","-","17688557015","27109836974","-4056608462"
"118","00447487","현금흐름표","기초현금및현금성자산","-","31747506628","4559634128","8674544969"
"119","00447487","현금흐름표","현금및현금성자산에 대한 환율변동효과","-","284781868","78035526","-58302379"
"120","00447487","현금흐름표","기말현금및현금성자산","-","49720845511","31747506628","4559634128"
"121","00447487","자본변동표","기초자본","연결재무제표 [member]","95206914535","51393895007","37784946550"
"122","00447487","자본변동표","기초자본","자본 [member]|비지배지분 [member]","20098148483","103208310","47822249"
"123","00447487","자본변동표","기초자본","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]","75108766052","51497103317","37832768799"
"124","00447487","자본변동표","기초자본","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타자본구성요소 [member]","-6304459975","4986168200","4986168200"
"125","00447487","자본변동표","기초자본","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타포괄손익누계액 [member]","","843646147",""
"126","00447487","자본변동표","기초자본","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|이익잉여금 [member]","15152585460","4273334412","420575099"
"127","00447487","자본변동표","기초자본","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본금 [member]","14430269000","12975940000","11864362500"
"128","00447487","자본변동표","기초자본","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본잉여금 [member]","51830371567","38390350958","30533999400"
"129","00447487","자본변동표","회계정책변경에 따른 증가(감소)","연결재무제표 [member]","","389665850",""
"130","00447487","자본변동표","회계정책변경에 따른 증가(감소)","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]","","389665850",""
"131","00447487","자본변동표","회계정책변경에 따른 증가(감소)","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타포괄손익누계액 [member]","","843646147",""
"132","00447487","자본변동표","회계정책변경에 따른 증가(감소)","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|이익잉여금 [member]","","453980297",""
"133","00447487","자본변동표","수정후 기초잔액(기준변경)","연결재무제표 [member]","95206914535","51004229157",""
"134","00447487","자본변동표","수정후 기초잔액(기준변경)","자본 [member]|비지배지분 [member]","20098148483","103208310",""
"135","00447487","자본변동표","수정후 기초잔액(기준변경)","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]","75108766052","51107437467",""
"136","00447487","자본변동표","수정후 기초잔액(기준변경)","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타자본구성요소 [member]","-6304459975","4986168200",""
"137","00447487","자본변동표","수정후 기초잔액(기준변경)","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|이익잉여금 [member]","15152585460","4727314709",""
"138","00447487","자본변동표","수정후 기초잔액(기준변경)","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본금 [member]","14430269000","12975940000",""
"139","00447487","자본변동표","수정후 기초잔액(기준변경)","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본잉여금 [member]","51830371567","38390350958",""
"140","00447487","자본변동표","당기순이익(손실)","연결재무제표 [member]","-4870019796","9054454945","3941154905"
"141","00447487","자본변동표","당기순이익(손실)","자본 [member]|비지배지분 [member]","-70504925","1587072378","45908914"
"142","00447487","자본변동표","당기순이익(손실)","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]","4799514871","10641527323","3987063819"
"143","00447487","자본변동표","당기순이익(손실)","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|이익잉여금 [member]","4799514871","10641527323","3987063819"
"144","00447487","자본변동표","기타포괄손익","연결재무제표 [member]","-339024199","265294141","702037641"
"145","00447487","자본변동표","기타포괄손익","자본 [member]|비지배지분 [member]","-5961060","49037569",""
"146","00447487","자본변동표","기타포괄손익","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]","-333063139","216256572","702037641"
"147","00447487","자본변동표","기타포괄손익","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타포괄손익누계액 [member]","","","843646147"
"148","00447487","자본변동표","기타포괄손익","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|이익잉여금 [member]","-333063139","216256572","141608506"
"149","00447487","자본변동표","지분의 발행","연결재무제표 [member]","","","6918600000"
