"","corp_code","sj_nm","account_nm","account_detail","2019","2018","2017"
"1","01105621","재무상태표","유동자산","-","17397265645","13835255267","11624509647"
"2","01105621","재무상태표","현금및현금성자산","-","9880939367","3596411903","982441611"
"3","01105621","재무상태표","단기금융상품","-","1050000000","1880000000","1000000000"
"4","01105621","재무상태표","매출채권 및 기타유동채권","-","1283083674","1299414904","3065891395"
"5","01105621","재무상태표","재고자산","-","4896587721","6800297612","6410242200"
"6","01105621","재무상태표","당기법인세자산","-","22423330","77156160","3375120"
"7","01105621","재무상태표","기타유동자산","-","264231553","181974688","162559321"
"8","01105621","재무상태표","비유동자산","-","27393841018","14817071703","11802720278"
"9","01105621","재무상태표","기타비유동금융자산","-","14132651108","1831033129","1478921386"
"10","01105621","재무상태표","유형자산","-","12113861795","11879147883","10302483772"
"11","01105621","재무상태표","영업권 이외의 무형자산","-","1147328115","1106890691","21315120"
"12","01105621","재무상태표","자산총계","-","44791106663","28652326970","23427229925"
"13","01105621","재무상태표","유동부채","-","28669809481","11431058887","12597064108"
"14","01105621","재무상태표","매입채무 및 기타유동채무","-","2213673491","3879066998","7041023908"
"15","01105621","재무상태표","단기차입금","-","12827174673","7282787422","4989992000"
"16","01105621","재무상태표","당기법인세부채","-","2400325","614617","140455318"
"17","01105621","재무상태표","유동충당부채","-","95285989","178951620","160399391"
"18","01105621","재무상태표","기타유동부채","-","249744900","89638230","265193491"
"19","01105621","재무상태표","유동파생상품부채","-","13281530103","",""
"20","01105621","재무상태표","비유동부채","-","3711973083","3518591222","3318370990"
"21","01105621","재무상태표","장기매입채무 및 기타비유동채무","-","2116115147","2455127579","1793320000"
"22","01105621","재무상태표","퇴직급여부채","-","1197570494","905548761","922447869"
"23","01105621","재무상태표","기타비유동부채","-","398287442","82868881","56351584"
"24","01105621","재무상태표","이연법인세부채","-","","75046001","546251537"
"25","01105621","재무상태표","부채총계","-","32381782564","14949650109","15915435098"
"26","01105621","재무상태표","지배기업의 소유주에게 귀속되는 자본","-","12409324099","13702676861","7511794827"
"27","01105621","재무상태표","자본금","-","1900092800","1900092800","1145092800"
"28","01105621","재무상태표","자본잉여금","-","16196706531","16196706531","1515086531"
"29","01105621","재무상태표","기타자본구성요소","-","322918619","-4239015631",""
"30","01105621","재무상태표","기타포괄손익누계액","-","-259236440","-163873364","89187919"
