"","corp_code","sj_nm","account_nm","account_detail","2019","2018","2017"
"1","00361488","재무상태표","유동자산","-","70535047942","90832629854","83938440573"
"2","00361488","재무상태표","현금및현금성자산","-","17594317092","30161913421","38682973520"
"3","00361488","재무상태표","단기금융상품","-","41276880276","55222568495","42753012162"
"4","00361488","재무상태표","매출채권","-","10624040819","4845322019","2070227923"
"5","00361488","재무상태표","기타금융자산","-","969774286","501228996","329611339"
"6","00361488","재무상태표","기타자산","-","70035469","101596923","102615629"
"7","00361488","재무상태표","비유동자산","-","56838889435","34990814747","35212315918"
"8","00361488","재무상태표","장기금융상품","-","23019991897","317573429","321199233"
"9","00361488","재무상태표","기타금융자산","-","2965541017","3516290533","3599071435"
"10","00361488","재무상태표","관계기업에 대한 투자자산","-","986287585","951984340","963329123"
"11","00361488","재무상태표","유형자산","-","22244744408","22771588269","23153040462"
"12","00361488","재무상태표","투자부동산","-","1351492880","1384739399","1417985918"
"13","00361488","재무상태표","사용권자산","-","184107676","0","0"
"14","00361488","재무상태표","무형자산","-","5121095143","5120990728","4876215069"
"15","00361488","재무상태표","이연법인세자산","-","965628829","927648049","881474678"
"16","00361488","재무상태표","자산총계","-","127373937377","125823444601","119150756491"
"17","00361488","재무상태표","유동부채","-","14588531750","12197915756","8748059822"
"18","00361488","재무상태표","매입채무","-","9051199805","4764522774","3020470226"
"19","00361488","재무상태표","기타금융부채","-","3978656170","5142437427","4474311206"
"20","00361488","재무상태표","리스부채","-","57423680","0","0"
"21","00361488","재무상태표","초과청구공사","-","0","643000000","177900000"
"22","00361488","재무상태표","당기법인세부채","-","461172055","950484675","490915160"
"23","00361488","재무상태표","충당부채","-","437621674","0","0"
"24","00361488","재무상태표","기타부채","-","602458366","697470880","584463230"
"25","00361488","재무상태표","비유동부채","-","1687325474","2894837566","2560742067"
"26","00361488","재무상태표","기타금융부채","-","497843052","1134000000","1109000000"
"27","00361488","재무상태표","리스부채","-","104272173","0","0"
"28","00361488","재무상태표","충당부채","-","0","642474724","322870303"
"29","00361488","재무상태표","기타부채","-","1085210249","1118362842","1128871764"
"30","00361488","재무상태표","부채총계","-","16275857224","15092753322","11308801889"
"31","00361488","재무상태표","지배지분","-","111098080153","110730691279","107841954602"
"32","00361488","재무상태표","자본금","-","5026353000","5026353000","5026353000"
"33","00361488","재무상태표","자본잉여금","-","38275644543","38275644543","38275644543"
"34","00361488","재무상태표","기타포괄손익누계액","-","-244382","1734235","4061872"
"35","00361488","재무상태표","기타자본","-","-33729487468","-33729487468","-33729487468"
"36","00361488","재무상태표","이익잉여금","-","101525814460","101156446969","98265382655"
"37","00361488","재무상태표","비지배지분","-","0","0","0"
"38","00361488","재무상태표","자본총계","-","111098080153","110730691279","107841954602"
"39","00361488","재무상태표","자본과부채총계","-","127373937377","125823444601","119150756491"
"40","00361488","포괄손익계산서","매출액","-","41789352874","42145349527","41401581124"
"41","00361488","포괄손익계산서","매출원가","-","27764550544","24640430454","25172608052"
"42","00361488","포괄손익계산서","매출총이익","-","14024802330","17504919073","16228973072"
"43","00361488","포괄손익계산서","판매비와관리비","-","10660942405","11472246856","11018550061"
"44","00361488","포괄손익계산서","영업손익","-","3363859925","6032672217","5210423011"
"45","00361488","포괄손익계산서","기타수익","-","28895067","52017288","18507147"
"46","00361488","포괄손익계산서","기타비용","-","62041905","134008497","830795095"
"47","00361488","포괄손익계산서","금융수익","-","1684028707","1561070310","1555157926"
"48","00361488","포괄손익계산서","금융비용","-","33719815","0","0"
"49","00361488","포괄손익계산서","지분법수익","-","34303245","-11344783","-12333768"
"50","00361488","포괄손익계산서","법인세비용차감전순이익","-","5015325224","7500406535","5940959221"
"51","00361488","포괄손익계산서","법인세비용","-","731963767","1156855604","640525496"
"52","00361488","포괄손익계산서","당기순이익","-","4283361457","6343550931","5300433725"
"53","00361488","포괄손익계산서","기타포괄손익","-","-258661783","-191367694","78363317"
"54","00361488","포괄손익계산서","당기손익으로 재분류되지 않는 항목","-","-256683166","-189040057","211251356"
"55","00361488","포괄손익계산서","순확정급여부채의 재측정요소","-","-256683166","-189040057","211251356"
"56","00361488","포괄손익계산서","후속적으로 당기손익으로 재분류되는 항목","-","-1978617","-2327637","-132888039"
"57","00361488","포괄손익계산서","매도가능금융자산 처분으로 인한 재분류","-","0","0","139722070"
"58","00361488","포괄손익계산서","해외사업환산손익","-","-1978617","-2327637","6834031"
"59","00361488","포괄손익계산서","당기총포괄이익","-","4024699674","6152183237","5378797042"
"60","00361488","포괄손익계산서","지배기업의 소유주지분","-","4283361457","6343550931","5300433725"
"61","00361488","포괄손익계산서","비지배지분","-","0","0","0"
