"","corp_code","sj_nm","account_nm","account_detail","2019","2018"
"90","01316227","현금흐름표","단기차입금의 상환","-","4085920381499","2246846289820"
"91","01316227","현금흐름표","장기차입금의 상환","-","117391171511","73946549898"
"92","01316227","현금흐름표","배당금지급","-","15438578678",""
"93","01316227","현금흐름표","자기주식의 취득","-","","2968009278"
"94","01316227","현금흐름표","금융리스부채의 지급","-","8899397931",""
"95","01316227","현금흐름표","현금및현금성자산의 환율변동으로 인한 효과","-","2290629355","-640586865"
"96","01316227","현금흐름표","현금및현금성자산의순증가(감소)","-","4630768148","-198742696717"
"97","01316227","현금흐름표","기초현금및현금성자산","-","84734537962","283477234679"
"98","01316227","현금흐름표","기말현금및현금성자산","-","89365306110","84734537962"
"99","01316227","자본변동표","기초자본","연결재무제표 [member]","486901344998","478602270935"
"100","01316227","자본변동표","기초자본","자본 [member]|비지배지분 [member]","83233910030","72591368497"
"101","01316227","자본변동표","기초자본","자본 [member]|지배기업 소유주지분","403667434968","406010902438"
"102","01316227","자본변동표","기초자본","자본 [member]|지배기업 소유주지분|기타자본구성요소 [member]","-39718358623","-18401567972"
"103","01316227","자본변동표","기초자본","자본 [member]|지배기업 소유주지분|이익잉여금 [member]","18973323181",""
"104","01316227","자본변동표","기초자본","자본 [member]|지배기업 소유주지분|자본금 [member]","21638410000","21638410000"
"105","01316227","자본변동표","기초자본","자본 [member]|지배기업 소유주지분|주식발행초과금","402774060410","402774060410"
"106","01316227","자본변동표","당기순이익","연결재무제표 [member]","122022892754","31498302811"
"107","01316227","자본변동표","당기순이익","자본 [member]|비지배지분 [member]","28935712279","10254353269"
"108","01316227","자본변동표","당기순이익","자본 [member]|지배기업 소유주지분","93087180475","21243949542"
"109","01316227","자본변동표","당기순이익","자본 [member]|지배기업 소유주지분|이익잉여금 [member]","93087180475","21243949542"
"110","01316227","자본변동표","순확정급여부채의 재측정요소","연결재무제표 [member]","-5011618336","-2273254700"
"111","01316227","자본변동표","순확정급여부채의 재측정요소","자본 [member]|비지배지분 [member]","-1949979","-2628339"
"112","01316227","자본변동표","순확정급여부채의 재측정요소","자본 [member]|지배기업 소유주지분","-5009668357","-2270626361"
"113","01316227","자본변동표","순확정급여부채의 재측정요소","자본 [member]|지배기업 소유주지분|이익잉여금 [member]","-5009668357","-2270626361"
"114","01316227","자본변동표","공정가치측정금융상품 평가손익","연결재무제표 [member]","-5014629889","-9162759421"
"115","01316227","자본변동표","공정가치측정금융상품 평가손익","자본 [member]|지배기업 소유주지분","-5014629889","-9162759421"
"116","01316227","자본변동표","공정가치측정금융상품 평가손익","자본 [member]|지배기업 소유주지분|기타자본구성요소 [member]","-5014629889","-9162759421"
"117","01316227","자본변동표","해외사업환산손익","연결재무제표 [member]","8659989584","-7414730962"
"118","01316227","자본변동표","해외사업환산손익","자본 [member]|비지배지분 [member]","2112365654","453349469"
"119","01316227","자본변동표","해외사업환산손익","자본 [member]|지배기업 소유주지분","6547623930","-7868080431"
"120","01316227","자본변동표","해외사업환산손익","자본 [member]|지배기업 소유주지분|기타자본구성요소 [member]","6547623930","-7868080431"
"121","01316227","자본변동표","연결실체의 변동","연결재무제표 [member]","","56150"
"122","01316227","자본변동표","연결실체의 변동","자본 [member]|비지배지분 [member]","","56150"
"123","01316227","자본변동표","자기주식 취득","연결재무제표 [member]","","-2968009278"
"124","01316227","자본변동표","자기주식 취득","자본 [member]|지배기업 소유주지분","","-2968009278"
"125","01316227","자본변동표","자기주식 취득","자본 [member]|지배기업 소유주지분|기타자본구성요소 [member]","","-2968009278"
"126","01316227","자본변동표","배당금지급","연결재무제표 [member]","-15438578678",""
"127","01316227","자본변동표","배당금지급","자본 [member]|비지배지분 [member]","-11122888678",""
"128","01316227","자본변동표","배당금지급","자본 [member]|지배기업 소유주지분","-4315690000",""
