"","corp_code","sj_nm","account_nm","account_detail","2019","2018","2017"
"1","00303396","재무상태표","유동자산","-","66496426492","71936443105","80389901780"
"2","00303396","재무상태표","현금및현금성자산","-","24844634012","18295452830","27413746025"
"3","00303396","재무상태표","유동 기타포괄손익-공정가치 측정 금융자산","-","9279093600","3837105000",""
"4","00303396","재무상태표","유동 당기손익-공정가치 의무 측정 금융자산","-","16075854491","18047584807",""
"5","00303396","재무상태표","유동매도가능금융자산","-","","","24995510279"
"6","00303396","재무상태표","매출채권","-","10119355704","19987871990","15151173333"
"7","00303396","재무상태표","기타수취채권","-","370006728","296771323","38119018"
"8","00303396","재무상태표","재고자산","-","4997031293","10389537032","11387784130"
"9","00303396","재무상태표","기타유동자산","-","810450664","1082120123","1403568995"
"10","00303396","재무상태표","비유동자산","-","62097319941","63379864257","65676443161"
"11","00303396","재무상태표","장기매출채권 및 기타비유동채권","-","1425000","2337700","1255520"
"12","00303396","재무상태표","투자부동산","-","28210536769","25733416699","25995130301"
"13","00303396","재무상태표","유형자산","-","30715434197","34584416310","36781016339"
"14","00303396","재무상태표","무형자산","-","549146064","648386091","573851539"
"15","00303396","재무상태표","사용권자산","-","2411755234","",""
"16","00303396","재무상태표","기타비유동자산","-","","1351688826","1435853483"
"17","00303396","재무상태표","기타비유동금융자산","-","3155947","233023119","107945722"
"18","00303396","재무상태표","이연법인세자산","-","205866730","826595512","781390257"
"19","00303396","재무상태표","자산총계","-","128593746433","135316307362","146066344941"
"20","00303396","재무상태표","유동부채","-","17214761707","21527199018","20758182584"
"21","00303396","재무상태표","매입채무","-","2103888407","2053640172","2858586992"
"22","00303396","재무상태표","유동성장기차입금","-","11543415731","7307458853","4213738700"
"23","00303396","재무상태표","기타지급채무","-","3333426011","11381661528","12274315360"
"24","00303396","재무상태표","당기법인세부채","-","131384470","684189626","1184086276"
"25","00303396","재무상태표","기타유동부채","-","85615860","100248839","227455256"
"26","00303396","재무상태표","유동리스부채","-","17031228","",""
"27","00303396","재무상태표","비유동부채","-","17383240760","27298344130","30637969463"
"28","00303396","재무상태표","순확정급여부채","-","313019846","334870283","723306864"
"29","00303396","재무상태표","장기차입금","-","14785870462","25763473847","29012025700"
"30","00303396","재무상태표","기타비유동금융부채","-","19977906","","2636899"
"31","00303396","재무상태표","기타비유동지급채무","-","1337000000","1200000000","900000000"
"32","00303396","재무상태표","비유동충당부채","-","703825900","",""
"33","00303396","재무상태표","비유동리스부채","-","223546646","",""
"34","00303396","재무상태표","부채총계","-","34598002467","48825543148","51396152047"
"35","00303396","재무상태표","지배기업의 소유주에게 귀속되는 자본","-","93995743966","86490764214","94670192894"
"36","00303396","재무상태표","자본금","-","8035645000","8035645000","8035645000"
"37","00303396","재무상태표","자본잉여금","-","9672316582","9672316582","9672316582"
"38","00303396","재무상태표","기타자본구성요소","-","-2682004996","-2701032620","-2742103414"
"39","00303396","재무상태표","기타포괄손익누계액","-","124652028","-1307084111","-446743646"
"40","00303396","재무상태표","이익잉여금(결손금)","-","78845135352","72790919363","80151078372"
"41","00303396","재무상태표","자본총계","-","93995743966","86490764214","94670192894"
"42","00303396","재무상태표","자본과부채총계","-","128593746433","135316307362","146066344941"
"43","00303396","포괄손익계산서","수익(매출액)","-","110390879020","114184161896","221319648091"
"44","00303396","포괄손익계산서","매출원가","-","98691682130","113230926561","211358795455"
"45","00303396","포괄손익계산서","매출총이익","-","11699196890","953235335","9960852636"
"46","00303396","포괄손익계산서","판매비와관리비","-","4508336852","6258533905","6592675559"
"47","00303396","포괄손익계산서","영업이익(손실)","-","7190860038","-5305298570","3368177077"
"48","00303396","포괄손익계산서","기타이익","-","3716726213","3423019993","3099332796"
"49","00303396","포괄손익계산서","기타손실","-","1855901088","2488695341","4716540733"
"50","00303396","포괄손익계산서","금융수익","-","352744707","427559108","69720105"
"51","00303396","포괄손익계산서","금융원가","-","1153773146","1041864916","490827506"
"52","00303396","포괄손익계산서","법인세비용차감전순이익(손실)","-","8250656724","-4985279726","1329861739"
"53","00303396","포괄손익계산서","법인세비용","-","669146463","1055966968","1361481843"
"54","00303396","포괄손익계산서","당기순이익(손실)","-","7581510261","-6041246694","-31620104"
"55","00303396","포괄손익계산서","기타포괄손익","-","1432505267","-345576700","-405303274"
"56","00303396","포괄손익계산서","당기손익으로 재분류되지 않는항목(세후기타포괄손익)","-","1587104278","-365359630","299267616"
"57","00303396","포괄손익계산서","확정급여제도의 재측정손익(세후기타포괄손익)","-","769128","541629002","299267616"
"58","00303396","포괄손익계산서","기타포괄손익-공정가치금융자산 평가손익","-","1586335150","-906988632",""
"59","00303396","포괄손익계산서","당기손익으로 재분류될 수 있는 항목(세후기타포괄손익)","-","-154599011","19782930","-704570890"
"60","00303396","포괄손익계산서","해외사업장환산외환차이(세후기타포괄손익)","-","-154599011","19782930","-639929250"
"61","00303396","포괄손익계산서","매도가능금융자산평가손익(세후기타포괄손익)","-","","","-64641640"
"62","00303396","포괄손익계산서","총포괄손익","-","9014015528","-6386823394","-436923378"
"63","00303396","포괄손익계산서","지배기업의 소유주에게 귀속되는 당기순이익(손실)","-","7581510261","-6041246694","-31620104"
"64","00303396","포괄손익계산서","총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","-","9014015528","-6386823394","-436923378"
"65","00303396","포괄손익계산서","기본주당이익(손실)","-","496","-395","-2"
"66","00303396","포괄손익계산서","희석주당이익(손실)","-","496","-395","-2"
"67","00303396","현금흐름표","영업활동현금흐름","-","19317552720","-5521651154","3715796651"
"68","00303396","현금흐름표","영업으로부터 창출된 현금흐름","-","21170963161","-3408739267","5482637827"
"69","00303396","현금흐름표","이자수취(영업)","-","212348307","357358750","69720105"
"70","00303396","현금흐름표","이자지급(영업)","-","1157287514","1042450117","380868523"
"71","00303396","현금흐름표","배당금수취(영업)","-","140396400","70198200",""
"72","00303396","현금흐름표","법인세납부(환급)","-","1048867634","1498018720","1455692758"
"73","00303396","현금흐름표","투자활동현금흐름","-","-3818678227","-1242963515","-15611099662"
"74","00303396","현금흐름표","매도가능금융자산의 처분","-","","","207271381249"
"75","00303396","현금흐름표","당기손익인식금융자산의 처분","-","66000000000","101375588901",""
"76","00303396","현금흐름표","임차보증금의 감소","-","4610054","",""
"77","00303396","현금흐름표","유형자산의 처분","-","","285158731","516363636"
"78","00303396","현금흐름표","매도가능금융자산의 취득","-","","","186556860000"
"79","00303396","현금흐름표","기타포괄손익-공정가치금융자산의 취득","-","3408225587","4999910939",""
"80","00303396","현금흐름표","당기손익인식금융자산의 취득","-","63701758829","94000000000",""
"81","00303396","현금흐름표","임차보증금의 증가","-","","5159518","10344332"
"82","00303396","현금흐름표","유형자산의 취득","-","2657100246","3696333545","16497172594"
"83","00303396","현금흐름표","무형자산의 취득","-","56203619","202307145","433039881"
"84","00303396","현금흐름표","투자부동산의 취득","-","","","19901427740"
"85","00303396","현금흐름표","재무활동현금흐름","-","-9023160314","-2598379255","27692317680"
"86","00303396","현금흐름표","임대보증금의 증가","-","137000000","300000000","1200000000"
"87","00303396","현금흐름표","장기차입금의 증가","-","","3202600000","28778800100"
