"","corp_code","sj_nm","account_nm","account_detail","2019","2018","2017"
"1","00164609","재무상태표","유동자산","-","1744822659000","1801359973000","6776200577000"
"2","00164609","재무상태표","현금및현금성자산","-","199829697000","280463109000","562237965000"
"3","00164609","재무상태표","단기금융자산","-","215529868000","358102030000","23111858000"
"4","00164609","재무상태표","매출채권및기타채권","-","108552969000","66766564000","234125564000"
"5","00164609","재무상태표","계약자산","-","857520201000","777077534000",""
"6","00164609","재무상태표","미청구공사","-","","","609505636000"
"7","00164609","재무상태표","재고자산","-","166312395000","160144060000","95934524000"
"8","00164609","재무상태표","파생상품자산","-","4789114000","4024613000","23221463000"
"9","00164609","재무상태표","확정계약자산","-","10134108000","6440617000","32488000"
"10","00164609","재무상태표","기타유동자산","-","182154307000","148341446000","147512444000"
"11","00164609","재무상태표","매각예정자산","-","","","5080518635000"
"12","00164609","재무상태표","비유동자산","-","1635805735000","1662373968000","1543238140000"
"13","00164609","재무상태표","장기금융자산","-","11858316000","16131219000","286419575000"
"14","00164609","재무상태표","장기매출채권및기타채권","-","9426188000","17088051000","9617017000"
"15","00164609","재무상태표","유형자산","-","1528628779000","1518942789000","1089746626000"
"16","00164609","재무상태표","무형자산","-","2668059000","2928557000","3112333000"
"17","00164609","재무상태표","사용권자산","-","6578521000","",""
"18","00164609","재무상태표","파생상품자산","-","2914472000","958977000","5074341000"
"19","00164609","재무상태표","확정계약자산","-","","3840432000","40221000"
"20","00164609","재무상태표","이연법인세자산","-","71874115000","93281588000","122209851000"
"21","00164609","재무상태표","기타비유동자산","-","1857285000","9202355000","27018176000"
"22","00164609","재무상태표","자산총계","-","3380628394000","3463733941000","8319438717000"
"23","00164609","재무상태표","유동부채","-","1001576278000","1076380290000","5904637238000"
"24","00164609","재무상태표","단기금융부채","-","229755868000","282991510000","462385871000"
"25","00164609","재무상태표","매입채무및기타채무","-","368826861000","322373522000","340559891000"
"26","00164609","재무상태표","계약부채","-","279503716000","378821081000",""
"27","00164609","재무상태표","초과청구공사","-","","","548001987000"
"28","00164609","재무상태표","충당부채","-","87690455000","72448167000",""
"29","00164609","재무상태표","리스부채","-","386342000","",""
"30","00164609","재무상태표","파생상품부채","-","30581901000","15574499000","37627000"
"31","00164609","재무상태표","확정계약부채","-","4216554000","3791040000","16840620000"
"32","00164609","재무상태표","기타유동부채","-","609800000","380471000","11165079000"
"33","00164609","재무상태표","당기법인세부채","-","4781000","","26783380000"
"34","00164609","재무상태표","매각예정부채","-","","","4498862783000"
"35","00164609","재무상태표","비유동부채","-","25090642000","70179926000","75660470000"
"36","00164609","재무상태표","장기매입채무및기타채무","-","5723000","5724000","5724000"
"37","00164609","재무상태표","순확정급여부채","-","14955462000","19302128000","10563429000"
"38","00164609","재무상태표","파생상품부채","-","","3840432000","40221000"
"39","00164609","재무상태표","확정계약부채","-","2914472000","958977000","5074341000"
"40","00164609","재무상태표","충당부채","-","6859685000","46072665000","49359235000"
"41","00164609","재무상태표","리스부채","-","355300000","",""
"42","00164609","재무상태표","이연법인세부채","-","","","10617520000"
"43","00164609","재무상태표","부채총계","-","1026666920000","1146560216000","5980297708000"
"44","00164609","재무상태표","지배기업의 소유주지분","-","2317505511000","2289571002000","2216776263000"
"45","00164609","재무상태표","자본금","-","199710745000","199710745000","100000000000"
"46","00164609","재무상태표","자본잉여금","-","82290267000","82290267000","82500492000"
"47","00164609","재무상태표","자본조정","-","-40862596000","-40862596000","-40854364000"
"48","00164609","재무상태표","기타포괄손익누계액","-","232723882000","231761740000","356265955000"
"49","00164609","재무상태표","이익잉여금","-","1843643213000","1816670846000","1718864180000"
"50","00164609","재무상태표","비지배지분","-","36455963000","27602723000","122364746000"
"51","00164609","재무상태표","자본총계","-","2353961474000","2317173725000","2339141009000"
"52","00164609","재무상태표","자본과부채총계","-","3380628394000","3463733941000","8319438717000"
"53","00164609","포괄손익계산서","매출액","-","2994100904000","2403016269000","2453432922000"
"54","00164609","포괄손익계산서","매출원가","-","2803137122000","2231500777000","2244889679000"
"55","00164609","포괄손익계산서","매출총이익","-","190963782000","171515492000","208543243000"
"56","00164609","포괄손익계산서","판매비와관리비","-","98343287000","100619243000","100594363000"
"57","00164609","포괄손익계산서","영업이익","-","92620495000","70896249000","107948880000"
"58","00164609","포괄손익계산서","금융수익","-","109221192000","145814643000","900486318000"
"59","00164609","포괄손익계산서","금융비용","-","152211477000","127787732000","186570121000"
"60","00164609","포괄손익계산서","기타영업외수익","-","70711397000","49284952000","12990968000"
"61","00164609","포괄손익계산서","기타영업외비용","-","34780636000","20684615000","101580367000"
"62","00164609","포괄손익계산서","법인세비용차감전순이익(손실)","-","85560971000","117523497000","733275678000"
"63","00164609","포괄손익계산서","법인세비용(수익)","-","24382897000","29637137000","171774448000"
"64","00164609","포괄손익계산서","계속영업순이익","-","61178074000","87886360000","561501230000"
"65","00164609","포괄손익계산서","중단영업순이익(손실)","-","","32769074000","-116344510000"
"66","00164609","포괄손익계산서","당기순이익(손실)","-","61178074000","120655434000","445156720000"
"67","00164609","포괄손익계산서","기타포괄손익","-","3528684000","-8552765000","-364083228000"
"68","00164609","포괄손익계산서","후속적으로 당기손익으로 재분류될수 있는 항목","-","2059334000","2123960000","-364596593000"
"69","00164609","포괄손익계산서","매도가능금융자산 평가손익","-","","","360911381000"
"70","00164609","포괄손익계산서","현금흐름위험회피손익(세후기타포괄손익)","-","","","-16925000"
"71","00164609","포괄손익계산서","해외사업환산손익","-","2059334000","2123960000","-4080447000"
"72","00164609","포괄손익계산서","지분법자본변동","-","","","412160000"
"73","00164609","포괄손익계산서","후속적으로 당기손익으로 재분류되지 않는 항목","-","1469350000","-10676725000","513365000"
"74","00164609","포괄손익계산서","순확정부채의 재측정요소","-","-171316000","-10468701000","2041347000"
"75","00164609","포괄손익계산서","기타포괄손익-공정가치금융자산평가손익","-","1640666000","-1735804000",""
"76","00164609","포괄손익계산서","토지재평가이익","-","","1527780000","-1527982000"
"77","00164609","포괄손익계산서","총포괄손익","-","64706758000","112102669000","81073492000"
"78","00164609","포괄손익계산서","지배기업의 소유주지분","-","53251534000","85014002000","436933693000"
"79","00164609","포괄손익계산서","비지배지분","-","7926540000","35641432000","8223027000"
"80","00164609","포괄손익계산서","지배기업의 소유주지분","-","55853518000","75791050000","74134771000"
"81","00164609","포괄손익계산서","비지배지분","-","8853240000","36311619000","6938721000"
"82","00164609","포괄손익계산서","계속영업기본주당이익(손실)","-","1335","1483","13858"
"83","00164609","포괄손익계산서","중단영업기본주당이익(손실)","-","","649","-2903"
"84","00164609","현금흐름표","영업활동으로 인한 순현금흐름","-","-72397272000","518544275000","-679329217000"
"85","00164609","현금흐름표","영업활동에서 창출된 현금흐름","-","-71162914000","521221198000","-672722857000"
"86","00164609","현금흐름표","당기순이익(손실)","-","61178074000","120655435000","445156720000"
"87","00164609","현금흐름표","조정","-","-132340988000","400565763000","-1117879577000"
"88","00164609","현금흐름표","이자의 수취","-","12392985000","78636485000","77664589000"
"89","00164609","현금흐름표","이자의 지급","-","10936745000","54626255000","63744558000"
"90","00164609","현금흐름표","배당금의 수취","-","35375000","4589181000","3909463000"
"91","00164609","현금흐름표","법인세의 납부(환급)","-","2725973000","31276334000","24435854000"
"92","00164609","현금흐름표","투자활동으로 인한 순현금흐름","-","76741925000","-10665703000","741371281000"
"93","00164609","현금흐름표","단기금융자산의 감소","-","584241561000","577003419000","316327020000"
"94","00164609","현금흐름표","기타채권의 감소","-","","273499000",""
"95","00164609","현금흐름표","관계기업투자의 감소","-","","1113000000","9545328000"
"96","00164609","현금흐름표","연결범위변동으로 인한 현금의 증가","-","","1295330000","-15525106000"
"97","00164609","현금흐름표","장기금융자산의 감소","-","6459434000","484726928000","1013830568000"
"98","00164609","현금흐름표","장기기타채권의 감소","-","416492000","311264000","11487408000"
"99","00164609","현금흐름표","유,무형자산의 처분","-","9137008000","1198467000","2696305000"
"100","00164609","현금흐름표","매각예정자산의 처분","-","","-461988355000",""
"101","00164609","현금흐름표","단기금융상품의 증가","-","440891773000","909984087000","314313399000"
"102","00164609","현금흐름표","장기금융상품의 증가","-","31138000","143456604000","203425966000"
"103","00164609","현금흐름표","장기기타채권의 증가","-","342000","454586000","6977115000"
"104","00164609","현금흐름표","유형자산의 취득","-","82519017000","477096508000","65423456000"
"105","00164609","현금흐름표","무형자산의 취득","-","70300000","133596000","750306000"
"106","00164609","현금흐름표","관계기업 투자의 증가","-","","3300000000","6100000000"
"107","00164609","현금흐름표","기타비유동자산의증가","-","","-4150584000",""
"108","00164609","현금흐름표","재무활동으로 인한 순현금흐름","-","-85232333000","-797718940000","-204994900000"
"109","00164609","현금흐름표","단기금융부채의 증가","-","287378730000","509021368000","1186003769000"
"110","00164609","현금흐름표","장기금융부채의 증가","-","","180000000000","510000000000"
"111","00164609","현금흐름표","비지배지분의 증가","-","","-404242000","-1993968000"
"112","00164609","현금흐름표","단기금융부채의 상환","-","343152488000","1306125840000","1239004701000"
"113","00164609","현금흐름표","장기금융부채의 감소","-","","-180210226000","-660000000000"
"114","00164609","현금흐름표","리스부채의 상환","-","-1539566000","",""
"115","00164609","현금흐름표","배당금지급","-","27919009000","",""
"116","00164609","현금흐름표","현금및현금성자산에 대한 환율변동효과","-","254268000","430948000","-2962217000"
"117","00164609","현금흐름표","매각예정자산의 순현금변동","-","","7634564000","-96226474000"
"118","00164609","현금흐름표","현금및현금성자산의 증감","-","-80633412000","-281774856000","-242141527000"
"119","00164609","현금흐름표","기초의 현금및현금성자산","-","280463109000","562237965000","804379492000"
