"","corp_code","sj_nm","account_nm","account_detail","2019","2018"
"1","01319808","재무상태표","유동자산","-","495947590672","565218272088"
"2","01319808","재무상태표","현금및현금성자산","-","109900633542","170072985872"
"3","01319808","재무상태표","단기금융자산","-","68094699665","9252180108"
"4","01319808","재무상태표","매출채권","-","239926075002","272156278334"
"5","01319808","재무상태표","기타수취채권","-","806103978","685184874"
"6","01319808","재무상태표","기타유동자산","-","7209078363","5746620918"
"7","01319808","재무상태표","재고자산","-","70011000122","107305021982"
"8","01319808","재무상태표","비유동자산","-","887616709266","802782898458"
"9","01319808","재무상태표","장기금융자산","-","55536389552","5972647323"
"10","01319808","재무상태표","기타금융자산","-","8186278855","5954821403"
"11","01319808","재무상태표","장기매출채권 및 기타수취채권","-","520100","20002588"
"12","01319808","재무상태표","유형자산","-","767155725549","771457958539"
"13","01319808","재무상태표","무형자산","-","13210019998","19377468605"
"14","01319808","재무상태표","사용권자산","-","35412604765",""
"15","01319808","재무상태표","기타비유동자산","-","8115170447",""
"16","01319808","재무상태표","자산총계","-","1383564299938","1368001170546"
"17","01319808","재무상태표","유동부채","-","220328035318","305609886682"
"18","01319808","재무상태표","매입채무","-","122581938567","133673413349"
"19","01319808","재무상태표","기타채무","-","57137511915","58051258192"
"20","01319808","재무상태표","기타유동부채","-","8849175739","12696851228"
"21","01319808","재무상태표","단기차입금","-","20000000000","30000000000"
"22","01319808","재무상태표","유동성장기차입금 및 유동성사채","-","3295880000","64353302262"
"23","01319808","재무상태표","금융리스부채(유동)","-","4307319628",""
"24","01319808","재무상태표","미지급법인세","-","4156209469","6835061651"
"25","01319808","재무상태표","비유동부채","-","276177047021","194173261036"
"26","01319808","재무상태표","기타채무","-","586434610","543910960"
"27","01319808","재무상태표","장기차입금 및 사채","-","190586073027","133901567897"
"28","01319808","재무상태표","기타금융부채","-","599230000","601730000"
"29","01319808","재무상태표","충당부채","-","8426987347","7973354979"
"30","01319808","재무상태표","금융리스부채(비유동)","-","32152186572",""
"31","01319808","재무상태표","종업원급여부채","-","9432804470","19333067418"
"32","01319808","재무상태표","이연법인세부채","-","34393330995","31819629782"
"33","01319808","재무상태표","부채총계","-","496505082339","499783147718"
"34","01319808","재무상태표","자본금","-","20724850000","20724850000"
"35","01319808","재무상태표","자본잉여금","-","391094015991","794869708566"
"36","01319808","재무상태표","기타포괄손익누계액","-","-526690489","298847824"
"37","01319808","재무상태표","기타자본항목","-","-11111997","-11111997"
"38","01319808","재무상태표","이익잉여금(결손금)","-","475778154094","52335728435"
