"","corp_code","sj_nm","account_nm","account_detail","2019","2018"
"1","01309795","재무상태표","유동자산","-","21324224832","9475228944"
"2","01309795","재무상태표","현금및현금성자산","-","1858019915","730929662"
"3","01309795","재무상태표","매출채권 및 기타채권","-","10708009453","7030988462"
"4","01309795","재무상태표","재고자산","-","3022046330","1536616499"
"5","01309795","재무상태표","기타금융자산","-","5220344596","0"
"6","01309795","재무상태표","기타유동자산","-","515804538","176694321"
"7","01309795","재무상태표","비유동자산","-","529164721","465125081"
"8","01309795","재무상태표","유형자산","-","234032773","212895561"
"9","01309795","재무상태표","무형자산","-","44517846","42931419"
"10","01309795","재무상태표","사용권자산","-","33538253","0"
"11","01309795","재무상태표","기타비유동금융자산","-","0","100000000"
"12","01309795","재무상태표","이연법인세자산","-","217075849","109298101"
"13","01309795","재무상태표","자산총계","-","21853389553","9940354025"
"14","01309795","재무상태표","유동부채","-","4622999465","2094822898"
"15","01309795","재무상태표","매입채무 및 기타채무","-","693667447","599171917"
"16","01309795","재무상태표","단기차입금","-","2857081897","850000000"
"17","01309795","재무상태표","유동성장기부채","-","112620000","100000000"
"18","01309795","재무상태표","유동성리스부채","-","33528463","0"
"19","01309795","재무상태표","기타금융부채","-","5425754","2411531"
"20","01309795","재무상태표","기타유동부채","-","561264491","468670350"
"21","01309795","재무상태표","당기법인세부채","-","359411413","74569100"
"22","01309795","재무상태표","비유동부채","-","708079654","848325736"
"23","01309795","재무상태표","장기차입금","-","411129544","514819637"
"24","01309795","재무상태표","퇴직급여부채","-","296950110","333506099"
"25","01309795","재무상태표","부채총계","-","5331079119","2943148634"
"26","01309795","재무상태표","자본금","-","1732941400","1363200000"
"27","01309795","재무상태표","주식발행초과금","-","15027040962","1844732040"
"28","01309795","재무상태표","기타자본구성요소","-","-68924","0"
"29","01309795","재무상태표","이익잉여금(결손금)","-","-237603004","3789273351"
"30","01309795","재무상태표","자본총계","-","16522310434","6997205391"
"31","01309795","재무상태표","자본과부채총계","-","21853389553","9940354025"
"32","01309795","포괄손익계산서","매출액","-","30188225085","21821897307"
"33","01309795","포괄손익계산서","매출원가","-","22159277991","17067789394"
"34","01309795","포괄손익계산서","매출총이익","-","8028947094","4754107913"
"35","01309795","포괄손익계산서","판매비와관리비","-","3872214947","2492279978"
"36","01309795","포괄손익계산서","영업이익(손실)","-","4156732147","2261827935"
"37","01309795","포괄손익계산서","기타수익","-","1046522","20965886"
"38","01309795","포괄손익계산서","기타비용","-","7927911519","35469525"
"39","01309795","포괄손익계산서","금융수익","-","793956506","321448349"
