"","corp_code","sj_nm","account_nm","account_detail","2019","2018","2017"
"1","00872984","재무상태표","유동자산","-","3649933836949","2285602945415","1895221761151"
"2","00872984","재무상태표","현금및현금성자산","-","680968998661","283668035952","223205772016"
"3","00872984","재무상태표","매출채권 및 기타수취채권","-","670215140714","584958859860","459490444927"
"4","00872984","재무상태표","미청구공사","-","13816301696","11090457861",""
"5","00872984","재무상태표","재고자산","-","1279216116912","1122983111945","1011411917272"
"6","00872984","재무상태표","당기손익-공정가치 측정 금융자산","-","583871102283","",""
"7","00872984","재무상태표","단기파생상품자산","-","6143286479","327176168","253817712"
"8","00872984","재무상태표","기타단기금융자산","-","328647837942","188011164754","105548597781"
"9","00872984","재무상태표","기타유동자산","-","87055052262","89064138875","68460219612"
"10","00872984","재무상태표","매각예정비유동자산","-","","5500000000","26850991831"
"11","00872984","재무상태표","비유동자산","-","17444824942860","14468260739598","14171285835986"
"12","00872984","재무상태표","유형자산","-","10003686463873","10403866404946","9799864635725"
"13","00872984","재무상태표","투자부동산","-","1583986802032","1051641345581","1063518657038"
"14","00872984","재무상태표","무형자산","-","1319146552096","288065471153","376713703163"
"15","00872984","재무상태표","사용권자산","-","1780786616419","",""
"16","00872984","재무상태표","관계기업 및 공동기업 투자","-","836340557957","718312505464","523763399906"
"17","00872984","재무상태표","매도가능금융자산","-","","","1467321507500"
"18","00872984","재무상태표","당기손익-공정가치 측정 금융자산","-","62653494725","11828458682",""
"19","00872984","재무상태표","기타포괄손익-공정가치 측정 금융자산","-","892575717900","973335367000",""
"20","00872984","재무상태표","장기파생상품자산","-","7301177191","1559763705","200114191"
"21","00872984","재무상태표","이연법인세자산","-","43637379585","44765991532","12810354241"
"22","00872984","재무상태표","기타장기금융자산","-","838284623311","727235855789","677705702298"
"23","00872984","재무상태표","기타비유동자산","-","76425557771","247649575746","249387761924"
"24","00872984","재무상태표","자산총계","-","21094758779809","16753863685013","16066507597137"
"25","00872984","재무상태표","유동부채","-","5406253569300","4998253469170","4214042986121"
"26","00872984","재무상태표","매입채무 및 기타지급채무","-","1996460919953","1760513647896","1600936651617"
"27","00872984","재무상태표","초과청구공사","-","68680049771","51746990862",""
"28","00872984","재무상태표","단기차입금","-","1360794176093","1663904931774","1427455876750"
"29","00872984","재무상태표","단기파생상품부채","-","47027326","9198417089","12443053738"
"30","00872984","재무상태표","상품권","-","865780374296","741199584000","661547456000"
"31","00872984","재무상태표","미지급법인세","-","105924964614","75799728525","27023731067"
"32","00872984","재무상태표","기타단기금융부채","-","828174208991","546722689646","333981345182"
"33","00872984","재무상태표","기타유동부채","-","180391848256","149167479378","148565550808"
"34","00872984","재무상태표","매각예정비유동부채","-","","","2089320959"
"35","00872984","재무상태표","비유동부채","-","5481764518922","2898113893103","3081062660078"
"36","00872984","재무상태표","장기차입금","-","2456253090496","2119822386927","2196888112143"
"37","00872984","재무상태표","장기파생상품부채","-","9198840486","9640516174","27918620199"
"38","00872984","재무상태표","순확정급여부채","-","122027229279","123517246780","102824844821"
"39","00872984","재무상태표","이연법인세부채","-","245783180578","329456602253","441249311367"
"40","00872984","재무상태표","기타장기금융부채","-","2444074744801","142595721426","149833823677"
"41","00872984","재무상태표","기타비유동부채","-","204427433282","173081419543","162347947871"
"42","00872984","재무상태표","부채총계","-","10888018088222","7896367362273","7295105646199"
"43","00872984","재무상태표","지배기업의 소유지분","-","8808680956182","8172316367360","8241670782375"
"44","00872984","재무상태표","납입자본","-","4332912902329","4332912902329","4332912902329"
"45","00872984","재무상태표","자본금","-","139379095000","139379095000","139379095000"
"46","00872984","재무상태표","주식발행초과금","-","4193533807329","4193533807329","4193533807329"
"47","00872984","재무상태표","신종자본증권","-","777718380000","378968900000","378968900000"
"48","00872984","재무상태표","이익잉여금","-","2794304006497","2772675687942","2464884107225"
"49","00872984","재무상태표","기타자본항목","-","903745667356","687758877089","1064904872821"
"50","00872984","재무상태표","비지배주주지분","-","1398059735405","685179955380","529731168563"
"51","00872984","재무상태표","자본총계","-","10206740691587","8857496322740","8771401950938"
"52","00872984","재무상태표","부채와 자본 총계","-","21094758779809","16753863685013","16066507597137"
"53","00872984","손익계산서","매출액","-","19062879818284","17049079116942","15514901652480"
"54","00872984","손익계산서","매출원가","-","14170452435284","12452783662020","11140063168745"
"55","00872984","손익계산서","매출총이익","-","4892427383000","4596295454922","4374838483735"
"56","00872984","손익계산서","판매비와관리비","-","4741774874171","4133468452167","3789945675206"
"57","00872984","손익계산서","영업이익","-","150652508829","462827002755","584892808529"
