"","corp_code","sj_nm","account_nm","account_detail","2019","2018","2017"
"1","00453929","재무상태표","유동자산","-","91227140083","57025629879","41945191502"
"2","00453929","재무상태표","현금및현금성자산","-","11909990454","6316891744","9060324520"
"3","00453929","재무상태표","단기금융상품","-","4319309066","5964480000","11070000000"
"4","00453929","재무상태표","매출채권 및 기타유동채권","-","10200490389","7118038904","7076844087"
"5","00453929","재무상태표","유동 당기손익-공정가치 의무 측정 금융자산","-","49480545191","24012904598","1503096201"
"6","00453929","재무상태표","기타유동자산","-","7361101891","5967529396","5642527684"
"7","00453929","재무상태표","반환제품회수권","-","198136108","120392676",""
"8","00453929","재무상태표","재고자산","-","7562835474","7455259534","7509734296"
"9","00453929","재무상태표","기타유동금융자산","-","","9287957",""
"10","00453929","재무상태표","당기법인세자산","-","194731510","60845070","82664714"
"11","00453929","재무상태표","비유동자산","-","122491898672","118727489675","102700797271"
"12","00453929","재무상태표","비유동 당기손익-공정가치 의무 측정 금융자산","-","2107480000","1550017000","8167392686"
"13","00453929","재무상태표","비유동 기타포괄손익-공정가치 측정 지정 지분상품 투자","-","5945080000","5374164606","2547848042"
"14","00453929","재무상태표","지분법적용 투자지분","-","5763846646","3216206750","3042132936"
"15","00453929","재무상태표","유형자산","-","72331495551","70092018158","42587045835"
"16","00453929","재무상태표","영업권 이외의 무형자산","-","6079757946","6730829451","8172489312"
"17","00453929","재무상태표","투자부동산","-","25024000000","19727000000","18391178335"
"18","00453929","재무상태표","기타비유동금융자산","-","5236946904","9795279290","12674029811"
"19","00453929","재무상태표","이연법인세자산","-","","2048533334","6923094418"
"20","00453929","재무상태표","기타비유동자산","-","3291625","193441086","195585896"
"21","00453929","재무상태표","자산총계","-","213719038755","175753119554","144645988773"
"22","00453929","재무상태표","유동부채","-","39043844767","21291750327","5178603267"
"23","00453929","재무상태표","매입채무 및 기타유동채무","-","6282569420","3958360127","3709510771"
"24","00453929","재무상태표","단기차입금","-","9994920000","",""
"25","00453929","재무상태표","유동성장기차입금","-","","15594920000",""
"26","00453929","재무상태표","유동충당부채","-","991638561","431336230","302760359"
"27","00453929","재무상태표","기타유동부채","-","5269543863","1307133970","1166332137"
"28","00453929","재무상태표","기타유동금융부채","-","227212923","",""
"29","00453929","재무상태표","유동파생상품부채","-","16277960000","",""
"30","00453929","재무상태표","비유동부채","-","62715959423","27657685386","35028325457"
"31","00453929","재무상태표","장기차입금","-","","","15594920000"
"32","00453929","재무상태표","전환사채","-","24974268149","",""
"33","00453929","재무상태표","종업급여부채","-","3674027455","2253673576","1537531033"
"34","00453929","재무상태표","기타비유동금융부채","-","7214802719","6234687587","6093087587"
"35","00453929","재무상태표","기타비유동부채","-","22517530676","19044239785","11802786837"
"36","00453929","재무상태표","비유동충당부채","-","112588517","125084438",""
"37","00453929","재무상태표","이연법인세부채","-","4222741907","",""
"38","00453929","재무상태표","부채총계","-","101759804190","48949435713","40206928724"
"39","00453929","재무상태표","지배기업의 소유주에게 귀속되는 자본","-","111588832475","126813844235","104448007952"
"40","00453929","재무상태표","자본금","-","7808921000","3934210500","3929210500"
"41","00453929","재무상태표","자본잉여금","-","129704099465","132803812039","131557320883"
