"","corp_code","sj_nm","account_nm","account_detail","2019","2018"
"1","01335578","재무상태표","유동자산","-","6825555752","6968100701"
"2","01335578","재무상태표","현금및현금성자산","-","1217906257","1467996182"
"3","01335578","재무상태표","단기금융상품","-","5590895205","5500000000"
"4","01335578","재무상태표","매출채권 및 기타유동채권","-","","68399"
"5","01335578","재무상태표","단기미수수익","-","","68399"
"6","01335578","재무상태표","당기법인세자산","-","16754290","36120"
"7","01335578","재무상태표","자산총계","-","6825555752","6968100701"
"8","01335578","재무상태표","유동부채","-","","85984000"
"9","01335578","재무상태표","매입채무 및 기타유동채무","-","","85984000"
"10","01335578","재무상태표","단기미지급금","-","","85984000"
"11","01335578","재무상태표","비유동부채","-","1089032609","1077810916"
"12","01335578","재무상태표","장기매입채무 및 기타비유동채무","-","1076642458","1046341169"
"13","01335578","재무상태표","전환사채","-","1076642458","1046341169"
"14","01335578","재무상태표","이연법인세부채","-","12390151","31469747"
"15","01335578","재무상태표","부채총계","-","1089032609","1163794916"
"16","01335578","재무상태표","자본금","-","305000000","305000000"
"17","01335578","재무상태표","보통주자본금","-","305000000","305000000"
"18","01335578","재무상태표","자본잉여금","-","5510959517","5510959517"
"19","01335578","재무상태표","주식발행초과금","-","5387594432","5387594432"
"20","01335578","재무상태표","전환권대가","-","123365085","123365085"
"21","01335578","재무상태표","이익잉여금(결손금)","-","-79436374","-11653732"
"22","01335578","재무상태표","미처분이익잉여금(미처리결손금)","-","-79436374","-11653732"
"23","01335578","재무상태표","자본총계","-","5736523143","5804305785"
"24","01335578","재무상태표","자본과부채총계","-","6825555752","6968100701"
"25","01335578","포괄손익계산서","판매비와관리비","-","170852738","9358000"
"26","01335578","포괄손익계산서","급여","-","12000000",""
"27","01335578","포괄손익계산서","지급수수료","-","158852738","9358000"
"28","01335578","포괄손익계산서","영업이익(손실)","-","-170852738","-9358000"
"29","01335578","포괄손익계산서","금융수익","-","114291789","303009"
"30","01335578","포괄손익계산서","이자수익","-","114291789","303009"
"31","01335578","포괄손익계산서","금융원가","-","30301289","5924275"
"32","01335578","포괄손익계산서","이자비용","-","30301289","5924275"
"33","01335578","포괄손익계산서","법인세비용차감전순이익(손실)","-","-86862238","-14979266"
"34","01335578","포괄손익계산서","법인세비용","-","19079596","3325534"
"35","01335578","포괄손익계산서","당기순이익(손실)","-","-67782642","-11653732"
"36","01335578","포괄손익계산서","총포괄손익","-","-67782642","-11653732"
"37","01335578","포괄손익계산서","기본주당이익(손실)","-","-22","-14"
"38","01335578","현금흐름표","영업활동현금흐름","-","-250089925","76824490"
"39","01335578","현금흐름표","당기순이익(손실)","-","-67782642","-11653732"
"40","01335578","현금흐름표","당기순이익조정을 위한 가감","-","-103070096","2295732"
"41","01335578","현금흐름표","법인세비용","-","-19079596","-3325534"
"42","01335578","현금흐름표","이자비용","-","30301289","5924275"
"43","01335578","현금흐름표","이자수익","-","114291789","303009"
"44","01335578","현금흐름표","영업활동으로인한자산ㆍ부채의변동","-","-85984000","85947880"
"45","01335578","현금흐름표","당기법인세자산의 감소(증가)","-","","-36120"
"46","01335578","현금흐름표","기타금융부채의 증가(감소)","-","-85984000","85984000"
"47","01335578","현금흐름표","이자수취(영업)","-","6710693","234610"
"48","01335578","현금흐름표","법인세납부(환급)","-","-36120",""
"49","01335578","현금흐름표","투자활동현금흐름","-","","-5500000000"
"50","01335578","현금흐름표","현금의기타유입(유출)","-","","-5500000000"
"51","01335578","현금흐름표","재무활동현금흐름","-","","6891171692"
"52","01335578","현금흐름표","주식의 발행","-","","5692594432"
"53","01335578","현금흐름표","전환사채의 증가","-","","1198577260"
"54","01335578","현금흐름표","현금및현금성자산의순증가(감소)","-","-250089925","1467996182"
"55","01335578","현금흐름표","기초현금및현금성자산","-","1467996182",""
"56","01335578","현금흐름표","기말현금및현금성자산","-","1217906257","1467996182"
"57","01335578","자본변동표","기초자본","별도재무제표 [member]","5804305785","298218000"
"58","01335578","자본변동표","기초자본","자본 [member]|이익잉여금 [member]","-11653732",""
"59","01335578","자본변동표","기초자본","자본 [member]|자본금 [member]","305000000","30000000"
"60","01335578","자본변동표","기초자본","자본 [member]|자본잉여금 [member]","5510959517","268218000"
"61","01335578","자본변동표","유상증자","별도재무제표 [member]","","5394376432"
"62","01335578","자본변동표","유상증자","자본 [member]|자본금 [member]","","275000000"
"63","01335578","자본변동표","유상증자","자본 [member]|자본잉여금 [member]","","5119376432"
"64","01335578","자본변동표","전환사채발행","별도재무제표 [member]","","123365085"
"65","01335578","자본변동표","전환사채발행","자본 [member]|자본잉여금 [member]","","123365085"
"66","01335578","자본변동표","당기순이익(손실)","별도재무제표 [member]","-67782642","-11653732"
"67","01335578","자본변동표","당기순이익(손실)","자본 [member]|이익잉여금 [member]","-67782642","-11653732"
"68","01335578","자본변동표","기말자본","별도재무제표 [member]","5736523143","5804305785"
"69","01335578","자본변동표","기말자본","자본 [member]|이익잉여금 [member]","-79436374","-11653732"
"70","01335578","자본변동표","기말자본","자본 [member]|자본금 [member]","305000000","305000000"
"71","01335578","자본변동표","기말자본","자본 [member]|자본잉여금 [member]","5510959517","5510959517"
