"","corp_code","sj_nm","account_nm","account_detail","2019","2018"
"1","01318933","재무상태표","유동자산","-","31685721277","17307588177"
"2","01318933","재무상태표","현금및현금성자산","-","8369103346","5494690115"
"3","01318933","재무상태표","매출채권 및 기타유동채권","-","6555832798","3009909266"
"4","01318933","재무상태표","재고자산","-","5058380398","5217460246"
"5","01318933","재무상태표","기타유동자산","-","1266804735","993325383"
"6","01318933","재무상태표","기타유동금융자산","-","10435600000","2592203167"
"7","01318933","재무상태표","비유동자산","-","11068136790","10803377054"
"8","01318933","재무상태표","기타비유동금융자산","-","84011000","99235360"
"9","01318933","재무상태표","유형자산","-","4932635605","4707790115"
"10","01318933","재무상태표","사용권자산","-","119912628",""
"11","01318933","재무상태표","기타무형자산","-","3908442006","3792739318"
"12","01318933","재무상태표","이연법인세자산","-","2022835551","2203312261"
"13","01318933","재무상태표","기타비유동자산","-","300000","300000"
"14","01318933","재무상태표","자산총계","-","42753858067","28110965231"
"15","01318933","재무상태표","유동부채","-","11668237207","10261434090"
"16","01318933","재무상태표","매입채무 및 기타유동채무","-","5707801379","3940738271"
"17","01318933","재무상태표","단기차입금","-","4500000000","5250000000"
"18","01318933","재무상태표","유동리스부채","-","63638375",""
"19","01318933","재무상태표","기타유동부채","-","1396797453","1070695819"
"20","01318933","재무상태표","비유동부채","-","2480918138","942294855"
"21","01318933","재무상태표","비유동리스부채","-","60220507",""
"22","01318933","재무상태표","전환사채","-","592843281",""
"23","01318933","재무상태표","순확정급여부채","-","878254350","942294855"
"24","01318933","재무상태표","기타비유동부채","-","949600000",""
"25","01318933","재무상태표","부채총계","-","14149155345","11203728945"
"26","01318933","재무상태표","자본금","-","3387312500","2976312500"
"27","01318933","재무상태표","자본잉여금","-","25001832805","22449100974"
"28","01318933","재무상태표","이익잉여금(결손금)","-","215557417","-8518177188"
"29","01318933","재무상태표","자본총계","-","28604702722","16907236286"
"30","01318933","재무상태표","자본과부채총계","-","42753858067","28110965231"
"31","01318933","포괄손익계산서","매출액","-","54945068863","46567170374"
"32","01318933","포괄손익계산서","매출원가","-","38944448289","34113809439"
"33","01318933","포괄손익계산서","매출총이익","-","16000620574","12453360935"
"34","01318933","포괄손익계산서","판매비와관리비","-","10570730928","8225980363"
"35","01318933","포괄손익계산서","영업이익(손실)","-","5429889646","4227380572"
"36","01318933","포괄손익계산서","금융수익","-","412598798","1183179785"
"37","01318933","포괄손익계산서","금융비용","-","279158342","297882378"
"38","01318933","포괄손익계산서","기타수익","-","751396760","471215852"
"39","01318933","포괄손익계산서","기타손실","-","5685256446","1350409569"
"40","01318933","포괄손익계산서","법인세비용차감전순이익(손실)","-","629470416","4233484262"
"41","01318933","포괄손익계산서","법인세비용","-","183271413","-56990980"
"42","01318933","포괄손익계산서","당기순이익(손실)","-","446199003","4290475242"
"43","01318933","포괄손익계산서","기타포괄손익","-","-230641586","16464904"
"44","01318933","포괄손익계산서","확정급여제도의 재측정손익(세후기타포괄손익)","-","-230641586","16464904"
"45","01318933","포괄손익계산서","총포괄손익","-","215557417","4306940146"
"46","01318933","포괄손익계산서","기본주당이익(손실)","-","15","148"
"47","01318933","포괄손익계산서","희석주당이익(손실)","-","15","146"
"48","01318933","현금흐름표","영업활동현금흐름","-","5706407199","6421808912"
"49","01318933","현금흐름표","영업으로부터 창출된 현금흐름","-","5643364814","6468853438"
"50","01318933","현금흐름표","이자수취(영업)","-","180105749","94617630"
"51","01318933","현금흐름표","이자지급(영업)","-","103900984","132901496"
"52","01318933","현금흐름표","법인세납부(환급)","-","13162380","8760660"
"53","01318933","현금흐름표","투자활동현금흐름","-","-1905096536","-2210175982"
"54","01318933","현금흐름표","단기금융상품의 처분","-","2587203167","170653402"
"55","01318933","현금흐름표","장기금융상품의 처분","-","","370500984"
"56","01318933","현금흐름표","임차보증금의 감소","-","33105360",""
"57","01318933","현금흐름표","합병으로 인한 순현금 증가","-","1268048076",""
"58","01318933","현금흐름표","단기금융상품의 취득","-","3472686000",""
"59","01318933","현금흐름표","장기금융상품의 취득","-","","1876200"
"60","01318933","현금흐름표","임차보증금의 증가","-","22201000",""
"61","01318933","현금흐름표","유형자산의 취득","-","413198573","38637560"
"62","01318933","현금흐름표","무형자산의 취득","-","1885367566","2710816608"
"63","01318933","현금흐름표","재무활동현금흐름","-","-847996740","-1206911677"
"64","01318933","현금흐름표","단기차입금의 증가","-","5250000000","7800000000"
"65","01318933","현금흐름표","주식의 발행","-","","63000000"
"66","01318933","현금흐름표","단기차입금의 상환","-","6000000000","6905321000"
"67","01318933","현금흐름표","리스부채의 상환","-","-78870490",""
"68","01318933","현금흐름표","사채의 상환","-","","2164590677"
"69","01318933","현금흐름표","자기주식의 취득","-","19126250",""
"70","01318933","현금흐름표","환율변동효과 반영전 현금및현금성자산의 순증가(감소)","-","2953313923","3004721253"
"71","01318933","현금흐름표","기초현금및현금성자산","-","5494690115","2511678329"
"72","01318933","현금흐름표","현금및현금성자산에 대한 환율변동효과","-","-78900692","-21709467"
"73","01318933","현금흐름표","기말현금및현금성자산","-","8369103346","5494690115"
"74","01318933","자본변동표","기초자본","별도재무제표 [member]","16907236286","11627136173"
"75","01318933","자본변동표","기초자본","자본 [member]|이익잉여금 [member]","-8518177188","-12825117334"
"76","01318933","자본변동표","기초자본","자본 [member]|자본금 [member]","2976312500","2790024500"
"77","01318933","자본변동표","기초자본","자본 [member]|자본잉여금 [member]","22449100974","21662229007"
"78","01318933","자본변동표","기초자본","자본 [member]|자본잉여금 [member]|전환권대가","1482148539","1571988364"
"79","01318933","자본변동표","기초자본","자본 [member]|자본잉여금 [member]|주식매수선택권","595498937","595498937"
"80","01318933","자본변동표","기초자본","자본 [member]|자본잉여금 [member]|주식발행초과금","20371453498","19494741706"
"81","01318933","자본변동표","상환전환우선주부채의전환권행사","별도재무제표 [member]","","999999792"
"82","01318933","자본변동표","상환전환우선주부채의전환권행사","자본 [member]|자본금 [member]","","160179500"
"83","01318933","자본변동표","상환전환우선주부채의전환권행사","자본 [member]|자본잉여금 [member]","","839820292"
"84","01318933","자본변동표","상환전환우선주부채의전환권행사","자본 [member]|자본잉여금 [member]|주식발행초과금","","839820292"
"85","01318933","자본변동표","우선주의보통주전환","자본 [member]|자본금 [member]","","20680100"
"86","01318933","자본변동표","우선주의보통주전환","자본 [member]|자본잉여금 [member]","","-20680100"
"87","01318933","자본변동표","우선주의보통주전환","자본 [member]|자본잉여금 [member]|주식발행초과금","","-20680100"
"88","01318933","자본변동표","주식매수선택권의 행사","별도재무제표 [member]","","63000000"
"89","01318933","자본변동표","주식매수선택권의 행사","자본 [member]|자본금 [member]","","5428400"
"90","01318933","자본변동표","주식매수선택권의 행사","자본 [member]|자본잉여금 [member]","","57571600"
"91","01318933","자본변동표","주식매수선택권의 행사","자본 [member]|자본잉여금 [member]|주식발행초과금","","57571600"
"92","01318933","자본변동표","전환사채상환","별도재무제표 [member]","","-89839825"
"93","01318933","자본변동표","전환사채상환","자본 [member]|자본잉여금 [member]","","-89839825"
"94","01318933","자본변동표","전환사채상환","자본 [member]|자본잉여금 [member]|전환권대가","","-89839825"
"95","01318933","자본변동표","사업결합","별도재무제표 [member]","11501035269",""
"96","01318933","자본변동표","사업결합","자본 [member]|자본금 [member]","411000000",""
"97","01318933","자본변동표","사업결합","자본 [member]|자본잉여금 [member]","11090035269",""
"98","01318933","자본변동표","사업결합","자본 [member]|자본잉여금 [member]|전환권대가","2993335269",""
"99","01318933","자본변동표","사업결합","자본 [member]|자본잉여금 [member]|주식발행초과금","8096700000",""
