"","Price"
"2017-09-22",8350
"2017-09-29",7850
"2017-10-13",7710
"2017-10-20",7170
"2017-10-27",7170
"2017-11-03",7800
"2017-11-10",8830
"2017-11-17",8440
"2017-11-24",8620
"2017-12-01",9800
"2017-12-08",8850
"2017-12-15",8500
"2017-12-22",7810
"2017-12-28",8140
"2018-01-05",7810
"2018-01-12",7970
"2018-01-19",9030
"2018-01-26",8920
"2018-02-02",8690
"2018-02-09",8140
"2018-02-14",8390
"2018-02-23",8210
"2018-03-02",7900
"2018-03-09",7810
"2018-03-16",7870
"2018-03-23",7540
"2018-03-30",7310
"2018-04-06",7220
"2018-04-13",7050
"2018-04-20",7230
"2018-04-27",7350
"2018-05-04",7730
"2018-05-11",7270
"2018-05-18",7250
"2018-05-25",7260
"2018-06-01",6930
"2018-06-08",7120
"2018-06-15",7050
"2018-06-22",6500
"2018-06-29",6070
"2018-07-06",5670
"2018-07-13",5970
"2018-07-20",5840
"2018-07-27",5630
"2018-08-03",5640
"2018-08-10",5550
"2018-08-17",5420
"2018-08-24",5370
"2018-08-31",5580
"2018-09-07",5560
"2018-09-14",5540
"2018-09-21",6020
"2018-09-28",5940
"2018-10-05",5700
"2018-10-12",4960
"2018-10-19",5180
"2018-10-26",4410
"2018-11-02",4270
"2018-11-09",4490
"2018-11-16",4500
"2018-11-23",4415
"2018-11-30",4615
"2018-12-07",4540
"2018-12-14",4285
"2018-12-21",4235
"2018-12-28",4200
"2019-01-04",4385
"2019-01-11",4460
"2019-01-18",4600
"2019-01-25",4625
"2019-02-01",4600
"2019-02-08",4660
"2019-02-15",4770
"2019-02-22",4790
"2019-02-28",4700
"2019-03-08",5030
"2019-03-15",5190
"2019-03-22",5200
"2019-03-29",5170
"2019-04-05",5260
"2019-04-12",5490
"2019-04-19",5310
"2019-04-26",5260
"2019-05-03",5540
"2019-05-10",6750
"2019-05-17",8350
"2019-05-24",10350
"2019-05-31",13300
"2019-06-07",21000
"2019-06-14",32200
"2019-06-21",33200
"2019-06-28",21650
"2019-07-05",15950
"2019-07-12",15750
"2019-07-19",17850
"2019-07-26",16800
"2019-08-02",9160
"2019-08-09",10000
"2019-08-16",7720
"2019-08-23",7450
"2019-08-30",7100
"2019-09-06",7550
"2019-09-11",7320
"2019-09-20",7370
"2019-09-27",6640
"2019-10-04",7300
"2019-10-11",7140
"2019-10-18",9450
"2019-10-25",9250
"2019-11-01",9110
"2019-11-08",8490
"2019-11-15",8650
"2019-11-22",7560
"2019-11-29",7590
"2019-12-06",7180
"2019-12-13",7700
"2019-12-20",7370
"2019-12-27",6940
"2020-01-03",7030
"2020-01-10",6860
"2020-01-17",6750
"2020-01-23",6610
"2020-01-31",5730
"2020-02-07",6080
"2020-02-14",5980
"2020-02-21",4530
"2020-02-28",4160
"2020-03-06",4785
"2020-03-13",3460
"2020-03-20",2015
"2020-03-27",2015
"2020-04-03",2015
"2020-04-10",2015
"2020-04-17",2015
"2020-04-24",2015
"2020-04-29",2015
"2020-05-08",2015
"2020-05-15",2015
"2020-05-22",2015
"2020-05-29",2015
"2020-06-05",2015
"2020-06-12",2015
"2020-06-19",2015
"2020-06-26",2015
"2020-07-03",2015
"2020-07-10",2015
"2020-07-17",2015
"2020-07-24",2015
"2020-07-31",2015
"2020-08-07",2015
"2020-08-14",2015
"2020-08-21",2015
"2020-08-28",2015
"2020-09-04",2015
"2020-09-11",2015
"2020-09-18",2015
"2020-09-25",2015
"2020-09-29",2015
"2020-10-08",2015
"2020-10-16",2015
"2020-10-23",2015
"2020-10-30",2015
"2020-11-02",2015
