"","Price"
"2015-06-05",18275
"2015-06-12",17675
"2015-06-19",17425
"2015-06-26",18400
"2015-07-03",20825
"2015-07-10",20100
"2015-07-17",17225
"2015-07-24",18700
"2015-07-31",13625
"2015-08-07",15075
"2015-08-13",13275
"2015-08-21",12225
"2015-08-28",13475
"2015-09-04",12350
"2015-09-11",11800
"2015-09-18",13750
"2015-09-25",12950
"2015-10-02",12450
"2015-10-08",11550
"2015-10-16",11500
"2015-10-23",10850
"2015-10-30",11425
"2015-11-06",11850
"2015-11-13",10975
"2015-11-20",11050
"2015-11-27",11550
"2015-12-04",11025
"2015-12-11",9325
"2015-12-18",9150
"2015-12-24",8425
"2015-12-30",9225
"2016-01-08",10500
"2016-01-15",9450
"2016-01-22",10475
"2016-01-29",11325
"2016-02-05",11000
"2016-02-12",8975
"2016-02-19",10075
"2016-02-26",9975
"2016-03-04",12725
"2016-03-11",12700
"2016-03-18",12325
"2016-03-25",11550
"2016-04-01",11375
"2016-04-08",12275
"2016-04-15",11450
"2016-04-22",11975
"2016-04-29",12525
"2016-05-04",12150
"2016-05-13",13025
"2016-05-20",13500
"2016-05-27",13900
"2016-06-03",14775
"2016-06-10",14275
"2016-06-17",13150
"2016-06-24",11500
"2016-07-01",12425
"2016-07-08",12325
"2016-07-15",12800
"2016-07-22",12900
"2016-07-29",12650
"2016-08-05",12050
"2016-08-12",12450
"2016-08-19",12450
"2016-08-26",10925
"2016-09-02",11400
"2016-09-09",10775
"2016-09-13",10600
"2016-09-23",11150
"2016-09-30",10550
"2016-10-07",10950
"2016-10-14",11325
"2016-10-21",10500
"2016-10-28",10225
"2016-11-04",9975
"2016-11-11",10000
"2016-11-18",10350
"2016-11-25",9325
"2016-12-02",9500
"2016-12-09",9650
"2016-12-16",10075
"2016-12-23",9500
"2016-12-29",9725
"2017-01-06",9950
"2017-01-13",9550
"2017-01-20",9150
"2017-01-26",8575
"2017-02-03",8425
"2017-02-10",8700
"2017-02-17",8925
"2017-02-24",9125
"2017-03-03",8925
"2017-03-10",9200
"2017-03-17",9625
"2017-03-24",8950
"2017-03-31",9050
"2017-04-07",9500
"2017-04-14",8875
"2017-04-21",9075
"2017-04-28",9150
"2017-05-04",9075
"2017-05-12",9375
"2017-05-19",9275
"2017-05-26",9650
"2017-06-02",9675
"2017-06-09",10275
"2017-06-16",9550
"2017-06-23",9625
"2017-06-30",9300
"2017-07-07",8975
"2017-07-14",8825
"2017-07-21",8600
"2017-07-28",8825
"2017-08-04",8675
"2017-08-11",8425
"2017-08-18",8675
"2017-08-25",8800
"2017-09-01",9300
"2017-09-08",8975
"2017-09-15",10250
"2017-09-22",9700
"2017-09-29",10250
"2017-10-13",10375
"2017-10-20",9575
"2017-10-27",10325
"2017-11-03",11525
"2017-11-10",11600
"2017-11-17",12000
"2017-11-24",11050
"2017-12-01",11025
"2017-12-08",9825
"2017-12-15",9900
"2017-12-22",9725
"2017-12-28",10350
"2018-01-05",10525
"2018-01-12",10775
"2018-01-19",11175
"2018-01-26",11325
"2018-02-02",10600
"2018-02-09",10125
"2018-02-14",10125
"2018-02-23",10100
"2018-03-02",10550
"2018-03-09",11250
"2018-03-16",15050
"2018-03-23",14350
"2018-03-30",13950
"2018-04-06",14750
"2018-04-13",14250
"2018-04-20",13750
"2018-04-27",12950
"2018-05-04",11550
"2018-05-11",11500
"2018-05-18",10950
"2018-05-25",10650
"2018-06-01",10800
"2018-06-08",11250
"2018-06-15",10350
"2018-06-22",9350
"2018-06-29",8800
"2018-07-06",8650
"2018-07-13",8850
"2018-07-20",8450
"2018-07-27",8100
"2018-08-03",8290
"2018-08-10",8550
"2018-08-17",8300
"2018-08-24",9100
"2018-08-31",9680
"2018-09-07",9790
"2018-09-14",9760
"2018-09-21",10900
"2018-09-28",10400
"2018-10-05",9400
"2018-10-12",8500
"2018-10-19",8740
"2018-10-26",7600
"2018-11-02",7700
"2018-11-09",7700
"2018-11-16",7400
"2018-11-23",7470
"2018-11-30",7850
"2018-12-07",7310
"2018-12-14",6830
"2018-12-21",6680
"2018-12-28",7040
"2019-01-04",7040
"2019-01-11",7060
"2019-01-18",7100
"2019-01-25",7340
"2019-02-01",7450
"2019-02-08",7310
"2019-02-15",7960
"2019-02-22",8300
"2019-02-28",8540
"2019-03-08",8700
"2019-03-15",8860
"2019-03-22",7950
"2019-03-29",7700
"2019-04-05",7550
"2019-04-12",7900
"2019-04-19",7230
"2019-04-26",6990
"2019-05-03",7340
"2019-05-10",6790
"2019-05-17",7490
"2019-05-24",6970
"2019-05-31",7290
"2019-06-07",7520
"2019-06-14",8080
"2019-06-21",8200
"2019-06-28",7370
"2019-07-05",7210
"2019-07-12",6980
"2019-07-19",7050
"2019-07-26",6550
"2019-08-02",6000
"2019-08-09",5280
"2019-08-16",5220
"2019-08-23",5300
"2019-08-30",5400
"2019-09-06",5590
"2019-09-11",5590
"2019-09-20",5690
"2019-09-27",5380
"2019-10-04",5330
"2019-10-11",5470
"2019-10-18",5500
"2019-10-25",5320
"2019-11-01",5330
"2019-11-08",6380
"2019-11-15",6250
"2019-11-22",6400
"2019-11-29",5840
"2019-12-06",5600
"2019-12-13",5810
"2019-12-20",5640
"2019-12-27",5530
"2020-01-03",5770
"2020-01-10",5670
"2020-01-17",5870
"2020-01-23",5880
"2020-01-31",5390
"2020-02-07",5540
"2020-02-14",5560
"2020-02-21",4950
"2020-02-28",4150
"2020-03-06",4620
"2020-03-13",3135
"2020-03-20",3120
"2020-03-27",3825
"2020-04-03",4705
"2020-04-10",4685
"2020-04-17",4780
"2020-04-24",5590
"2020-04-29",5580
"2020-05-08",5650
"2020-05-15",5720
"2020-05-22",5160
"2020-05-29",5810
"2020-06-05",6280
"2020-06-12",6080
"2020-06-19",5550
"2020-06-26",5500
"2020-07-03",5320
"2020-07-10",5850
"2020-07-17",5670
"2020-07-24",5900
"2020-07-31",6230
"2020-08-07",7530
"2020-08-14",6720
"2020-08-21",7000
"2020-08-28",16300
"2020-09-04",13900
"2020-09-11",14350
"2020-09-18",15000
"2020-09-25",15000
"2020-09-29",14500
"2020-10-08",15700
"2020-10-16",13950
"2020-10-23",13500
"2020-10-30",12100
"2020-11-02",12950
