"","Price"
"2016-01-08",10000
"2016-01-15",10000
"2016-01-22",10000
"2016-01-29",10000
"2016-02-05",10000
"2016-02-12",10000
"2016-02-19",10000
"2016-02-26",10000
"2016-03-04",10000
"2016-03-11",8500
"2016-03-18",7900
"2016-03-25",6110
"2016-04-01",2725
"2016-04-08",2150
"2016-04-15",2425
"2016-04-22",3510
"2016-04-29",5720
"2016-05-04",6570
"2016-05-13",8300
"2016-05-20",6800
"2016-05-27",5370
"2016-06-03",4870
"2016-06-10",2975
"2016-06-17",2440
"2016-06-24",2570
"2016-07-01",3400
"2016-07-08",4770
"2016-07-15",7600
"2016-07-22",11950
"2016-07-29",9800
"2016-08-05",5800
"2016-08-12",3245
"2016-08-19",3965
"2016-08-26",5900
"2016-09-02",7700
"2016-09-09",7440
"2016-09-13",9830
"2016-09-23",7980
"2016-09-30",10050
"2016-10-07",9550
"2016-10-14",10650
"2016-10-21",5500
"2016-10-28",5040
"2016-11-04",3425
"2016-11-11",3690
"2016-11-18",3250
"2016-11-25",3770
"2016-12-02",4495
"2016-12-09",4995
"2016-12-16",5750
"2016-12-23",4130
"2016-12-29",4250
"2017-01-06",4350
"2017-01-13",4980
"2017-01-20",3720
"2017-01-26",4625
"2017-02-03",3510
"2017-02-10",4380
"2017-02-17",4140
"2017-02-24",3725
"2017-03-03",3405
"2017-03-10",4130
"2017-03-17",5960
"2017-03-24",5950
"2017-03-31",7100
"2017-04-07",5290
"2017-04-14",5120
"2017-04-21",5020
"2017-04-28",5790
"2017-05-04",5690
"2017-05-12",5140
"2017-05-19",5290
"2017-05-26",4600
"2017-06-02",4600
"2017-06-09",6000
"2017-06-16",8400
"2017-06-23",7100
"2017-06-30",7100
"2017-07-07",7700
"2017-07-14",7700
"2017-07-21",7800
"2017-07-28",7800
"2017-08-04",7800
"2017-08-11",6460
"2017-08-18",7390
"2017-08-25",7500
"2017-09-01",7290
"2017-09-08",6510
"2017-09-15",6610
"2017-09-22",7200
"2017-09-29",6250
"2017-10-13",6250
"2017-10-20",2230
"2017-10-27",2050
"2017-11-03",1916
"2017-11-10",1990
"2017-11-17",1918
"2017-11-24",2040
"2017-12-01",1900
"2017-12-08",1760
"2017-12-15",1792
"2017-12-22",1678
"2017-12-28",1640
"2018-01-05",1740
"2018-01-12",1610
"2018-01-19",1604
"2018-01-26",1900
"2018-02-02",2000
"2018-02-09",1840
"2018-02-14",1734
"2018-02-23",1760
"2018-03-02",1634
"2018-03-09",1628
"2018-03-16",1702
"2018-03-23",1588
"2018-03-30",1614
"2018-04-06",1660
"2018-04-13",2180
"2018-04-20",3000
"2018-04-27",5160
"2018-05-04",4510
"2018-05-11",4910
"2018-05-18",4370
"2018-05-25",3800
"2018-06-01",4480
"2018-06-08",4360
"2018-06-15",4050
"2018-06-22",4190
"2018-06-29",3980
"2018-07-06",3980
"2018-07-13",3980
"2018-07-20",3620
"2018-07-27",2650
"2018-08-03",3150
"2018-08-10",3405
"2018-08-17",3120
"2018-08-24",3205
"2018-08-31",3135
"2018-09-07",2985
"2018-09-14",2935
"2018-09-21",2765
"2018-09-28",3050
"2018-10-05",3050
"2018-10-12",2510
"2018-10-19",2440
"2018-10-26",1815
"2018-11-02",2115
"2018-11-09",2245
"2018-11-16",2165
"2018-11-23",2050
"2018-11-30",2245
"2018-12-07",2290
"2018-12-14",2355
"2018-12-21",2425
"2018-12-28",2390
"2019-01-04",2505
"2019-01-11",2675
"2019-01-18",3450
"2019-01-25",3655
"2019-02-01",3575
"2019-02-08",3595
"2019-02-15",3505
"2019-02-22",3120
"2019-02-28",3080
"2019-03-08",3000
"2019-03-15",2725
"2019-03-22",2660
"2019-03-29",2555
"2019-04-05",2715
"2019-04-12",2730
"2019-04-19",2605
"2019-04-26",2425
"2019-05-03",2475
"2019-05-10",2630
"2019-05-17",2510
"2019-05-24",2520
"2019-05-31",2705
"2019-06-07",2640
"2019-06-14",2735
"2019-06-21",2770
"2019-06-28",2855
"2019-07-05",2860
"2019-07-12",3025
"2019-07-19",2980
"2019-07-26",2805
"2019-08-02",2435
"2019-08-09",2230
"2019-08-16",2800
"2019-08-23",2720
"2019-08-30",2740
"2019-09-06",2785
"2019-09-11",2900
"2019-09-20",2685
"2019-09-27",2590
"2019-10-04",2485
"2019-10-11",2500
"2019-10-18",2760
"2019-10-25",3075
"2019-11-01",3820
"2019-11-08",2960
"2019-11-15",3110
"2019-11-22",2535
"2019-11-29",3200
"2019-12-06",3040
"2019-12-13",2840
"2019-12-20",2810
"2019-12-27",2760
"2020-01-03",2895
"2020-01-10",3050
"2020-01-17",3030
"2020-01-23",2995
"2020-01-31",2725
"2020-02-07",2915
"2020-02-14",3210
"2020-02-21",2925
"2020-02-28",2785
"2020-03-06",2990
"2020-03-13",2105
"2020-03-20",1470
"2020-03-27",1670
"2020-04-03",1925
"2020-04-10",2190
"2020-04-17",2480
"2020-04-24",2425
"2020-04-29",2430
"2020-05-08",2530
"2020-05-15",2895
"2020-05-22",2970
"2020-05-29",2900
"2020-06-05",3185
"2020-06-12",2920
"2020-06-19",3145
"2020-06-26",4200
"2020-07-03",6480
"2020-07-10",5200
"2020-07-17",6650
"2020-07-24",7820
"2020-07-31",7630
"2020-08-07",7820
"2020-08-14",6820
"2020-08-21",5410
"2020-08-28",6060
"2020-09-04",5960
"2020-09-11",6480
"2020-09-18",5360
"2020-09-25",4065
"2020-09-29",4440
"2020-10-08",5060
"2020-10-16",4580
"2020-10-23",4290
"2020-10-30",4005
"2020-11-02",4155
