"","Price"
"2020-01-03",38800
"2020-01-10",38950
"2020-01-17",38850
"2020-01-23",36800
"2020-01-31",28750
"2020-02-07",30000
"2020-02-14",31400
"2020-02-21",29850
"2020-02-28",24800
"2020-03-06",30950
"2020-03-13",23000
"2020-03-20",15150
"2020-03-27",16850
"2020-04-03",20400
"2020-04-10",23650
"2020-04-17",22950
"2020-04-24",24550
"2020-04-29",25200
"2020-05-08",28600
"2020-05-15",34600
"2020-05-22",37000
"2020-05-29",39200
"2020-06-05",47800
"2020-06-12",46800
"2020-06-19",48750
"2020-06-26",43250
"2020-07-03",41950
"2020-07-10",40800
"2020-07-17",40350
"2020-07-24",39800
"2020-07-31",38300
"2020-08-07",39500
"2020-08-14",41150
"2020-08-21",46350
"2020-08-28",51400
"2020-09-04",46400
"2020-09-11",51400
"2020-09-18",46750
"2020-09-25",41500
"2020-09-29",45550
"2020-10-08",47200
"2020-10-16",44850
"2020-10-23",43350
"2020-10-30",40200
"2020-11-02",40150
