"","Price"
"2011-04-15",21697
"2011-04-22",19684
"2011-04-29",23765
"2011-05-06",23872
"2011-05-13",25322
"2011-05-20",25054
"2011-05-27",24839
"2011-06-03",23255
"2011-06-10",23147
"2011-06-17",23147
"2011-06-24",24114
"2011-07-01",23684
"2011-07-08",26235
"2011-07-15",29216
"2011-07-22",33244
"2011-07-29",32815
"2011-08-05",30559
"2011-08-12",35178
"2011-08-19",34909
"2011-08-26",41353
"2011-09-02",38507
"2011-09-09",34909
"2011-09-16",37863
"2011-09-23",43233
"2011-09-30",42213
"2011-10-07",41407
"2011-10-14",42213
"2011-10-21",41085
"2011-10-28",38131
"2011-11-04",41353
"2011-11-11",41515
"2011-11-18",37863
"2011-11-25",33083
"2011-12-02",34909
"2011-12-09",36144
"2011-12-16",37433
"2011-12-23",39743
"2011-12-29",40172
"2012-01-06",38185
"2012-01-13",40279
"2012-01-20",34694
"2012-01-27",35338
"2012-02-03",36251
"2012-02-10",35178
"2012-02-17",36359
"2012-02-24",34963
"2012-03-02",38078
"2012-03-09",38078
"2012-03-16",39098
"2012-03-23",34157
"2012-03-30",37540
"2012-04-06",35446
"2012-04-13",35446
"2012-04-20",35392
"2012-04-27",32223
"2012-05-04",32492
"2012-05-11",32277
"2012-05-18",26020
"2012-05-25",23469
"2012-06-01",28410
"2012-06-08",28410
"2012-06-15",26370
"2012-06-22",25134
"2012-06-29",27873
"2012-07-06",25859
"2012-07-13",25591
"2012-07-20",25188
"2012-07-27",24705
"2012-08-03",26745
"2012-08-10",30344
"2012-08-17",33835
"2012-08-24",32868
"2012-08-31",35446
"2012-09-07",33029
"2012-09-14",30398
"2012-09-21",37326
"2012-09-28",41031
"2012-10-05",41622
"2012-10-12",44361
"2012-10-19",44576
"2012-10-26",39259
"2012-11-02",41568
"2012-11-09",44039
"2012-11-16",35661
"2012-11-23",39366
"2012-11-30",38937
"2012-12-07",35983
"2012-12-14",36144
"2012-12-21",36198
"2012-12-28",40978
"2013-01-04",40494
"2013-01-11",43394
"2013-01-18",42844
"2013-01-25",42911
"2013-02-01",41037
"2013-02-08",41304
"2013-02-15",42844
"2013-02-22",40769
"2013-02-28",42777
"2013-03-08",42442
"2013-03-15",47128
"2013-03-22",47329
"2013-03-29",46861
"2013-04-05",48066
"2013-04-12",46995
"2013-04-19",44585
"2013-04-26",44585
"2013-05-03",43514
"2013-05-10",44518
"2013-05-16",42242
"2013-05-24",42643
"2013-05-31",40836
"2013-06-07",36284
"2013-06-14",36953
"2013-06-21",33137
"2013-06-28",33740
"2013-07-05",34476
"2013-07-12",36284
"2013-07-19",35681
"2013-07-26",38493
"2013-08-02",37622
"2013-08-09",40836
"2013-08-16",40434
"2013-08-23",36886
"2013-08-30",35614
"2013-09-06",34342
"2013-09-13",36016
"2013-09-17",34074
"2013-09-27",38426
"2013-10-04",37020
"2013-10-11",35279
"2013-10-18",34476
"2013-10-25",35480
"2013-11-01",40434
"2013-11-08",40166
"2013-11-15",42108
"2013-11-22",41907
"2013-11-29",42509
"2013-12-06",41505
"2013-12-13",41104
"2013-12-20",39363
"2013-12-27",39965
"2014-01-03",39229
"2014-01-10",41170
"2014-01-17",41371
"2014-01-24",40099
"2014-01-29",40166
"2014-02-07",39162
"2014-02-14",41438
"2014-02-21",41037
"2014-02-28",40233
"2014-03-07",42576
"2014-03-14",38827
"2014-03-21",38560
"2014-03-28",36150
"2014-04-04",37288
"2014-04-11",35547
"2014-04-18",36618
"2014-04-25",37288
"2014-05-02",38560
"2014-05-09",36953
"2014-05-16",36484
"2014-05-23",35012
"2014-05-30",37689
"2014-06-05",35681
"2014-06-13",37221
"2014-06-20",36217
"2014-06-27",36886
"2014-07-04",39631
"2014-07-11",39564
"2014-07-18",37689
"2014-07-25",41974
"2014-08-01",40300
"2014-08-08",38827
"2014-08-14",38827
"2014-08-22",38827
"2014-08-29",38493
"2014-09-05",39430
"2014-09-12",40300
"2014-09-19",38292
"2014-09-26",37957
"2014-10-02",37622
"2014-10-10",36685
"2014-10-17",35681
"2014-10-24",38761
"2014-10-31",39363
"2014-11-07",38024
"2014-11-14",36685
"2014-11-21",32802
"2014-11-28",31698
"2014-12-05",31932
"2014-12-12",32033
"2014-12-19",29950
"2014-12-26",30650
"2015-01-02",32750
"2015-01-09",32500
"2015-01-16",31500
"2015-01-23",34700
"2015-01-30",32800
"2015-02-06",35000
"2015-02-13",33950
"2015-02-17",37500
"2015-02-27",37000
"2015-03-06",36700
"2015-03-13",35800
"2015-03-20",37000
"2015-03-27",38100
"2015-04-03",37350
"2015-04-10",36550
"2015-04-17",37550
"2015-04-24",36500
"2015-04-30",35800
"2015-05-08",34950
"2015-05-15",34400
"2015-05-22",39000
"2015-05-29",43750
"2015-06-05",45800
"2015-06-12",41600
"2015-06-19",40600
"2015-06-26",42550
"2015-07-03",47950
"2015-07-10",62500
