"","Price"
"2017-06-30",1847
"2017-07-07",1820
"2017-07-14",1816
"2017-07-21",1798
"2017-07-28",1820
"2017-08-04",1811
"2017-08-11",1793
"2017-08-18",1793
"2017-08-25",1829
"2017-09-01",1829
"2017-09-08",1816
"2017-09-15",1820
"2017-09-22",1798
"2017-09-29",1807
"2017-10-13",1811
"2017-10-20",1802
"2017-10-27",1793
"2017-11-03",1802
"2017-11-10",1802
"2017-11-17",1811
"2017-11-24",1798
"2017-12-01",1802
"2017-12-08",1802
"2017-12-15",1802
"2017-12-22",1771
"2017-12-28",1789
"2018-01-05",1802
"2018-01-12",1802
"2018-01-19",1789
"2018-01-26",1798
"2018-02-02",1807
"2018-02-09",1802
"2018-02-14",1798
"2018-02-23",1811
"2018-03-02",1793
"2018-03-09",1829
"2018-03-16",1847
"2018-03-23",1861
"2018-03-30",1888
"2018-04-06",1847
"2018-04-13",1816
"2018-04-20",1829
"2018-04-27",1816
"2018-05-04",1816
"2018-05-11",1807
"2018-05-18",1820
"2018-05-25",1852
"2018-06-01",1847
"2018-06-08",1852
"2018-06-15",1838
"2018-06-22",1843
"2018-06-29",1829
"2018-07-06",1838
"2018-07-13",1883
"2018-07-20",1838
"2018-07-27",1838
"2018-08-03",1852
"2018-08-10",1856
"2018-08-17",1847
"2018-08-24",1852
"2018-08-31",1874
"2018-09-07",1865
"2018-09-14",1865
"2018-09-21",1847
"2018-09-28",1865
"2018-10-05",1861
"2018-10-12",1861
"2018-10-19",1856
"2018-10-26",1843
"2018-11-02",1847
"2018-11-09",1852
"2018-11-16",1847
"2018-11-23",1861
"2018-11-30",1852
"2018-12-07",1861
"2018-12-14",1870
"2018-12-21",1856
"2018-12-28",1843
"2019-01-04",1838
"2019-01-11",1834
"2019-01-18",1847
"2019-01-25",1865
"2019-02-01",1883
"2019-02-08",1883
"2019-02-15",1879
"2019-02-22",1874
"2019-02-28",1852
"2019-03-08",1874
"2019-03-15",1865
"2019-03-22",1883
"2019-03-29",1910
"2019-04-05",1888
"2019-04-12",1901
"2019-04-19",1914
"2019-04-26",1901
"2019-05-03",1905
"2019-05-10",2004
"2019-05-17",1982
"2019-05-24",2018
"2019-05-31",1968
"2019-06-07",1995
"2019-06-14",2062
"2019-06-21",2103
"2019-06-28",2107
"2019-07-05",2170
"2019-07-12",2170
"2019-07-19",2170
"2019-07-26",2170
"2019-08-02",2170
"2019-08-09",2170
"2019-08-16",2170
"2019-08-23",2170
"2019-08-30",2170
"2019-09-06",2170
"2019-09-11",2170
"2019-09-20",2170
"2019-09-27",2170
"2019-10-04",2170
"2019-10-11",2170
"2019-10-18",2170
"2019-10-25",2170
"2019-11-01",2170
"2019-11-08",2170
"2019-11-15",2170
"2019-11-22",2170
"2019-11-29",2170
"2019-12-06",2075
"2019-12-13",2050
"2019-12-20",2100
"2019-12-27",2035
"2020-01-03",2035
"2020-01-10",2040
"2020-01-17",2050
"2020-01-23",2060
"2020-01-31",2010
"2020-02-07",2115
"2020-02-14",2180
"2020-02-21",2160
"2020-02-28",2165
"2020-03-06",2195
"2020-03-13",1770
"2020-03-20",1130
"2020-03-27",1375
"2020-04-03",1410
"2020-04-10",1845
"2020-04-17",1900
"2020-04-24",1670
"2020-04-29",1790
"2020-05-08",1890
"2020-05-15",2115
"2020-05-22",2010
"2020-05-29",2100
"2020-06-05",2165
"2020-06-12",2030
"2020-06-19",1965
"2020-06-26",1910
"2020-07-03",1895
"2020-07-10",2005
"2020-07-17",2410
"2020-07-24",2405
"2020-07-31",2455
"2020-08-07",2625
"2020-08-14",3025
"2020-08-21",2615
"2020-08-28",2590
"2020-09-04",2685
"2020-09-11",2615
"2020-09-18",2865
"2020-09-25",3715
"2020-09-29",4090
"2020-10-08",5460
"2020-10-16",4630
"2020-10-23",4415
"2020-10-30",4325
"2020-11-02",4485
