"","Price"
"2019-11-22",15300
"2019-11-29",13950
"2019-12-06",15200
"2019-12-13",15350
"2019-12-20",17900
"2019-12-27",18400
"2020-01-03",19400
"2020-01-10",20400
"2020-01-17",21450
"2020-01-23",22450
"2020-01-31",18550
"2020-02-07",20600
"2020-02-14",20000
"2020-02-21",19300
"2020-02-28",16700
"2020-03-06",17400
"2020-03-13",11800
"2020-03-20",8810
"2020-03-27",10100
"2020-04-03",11550
"2020-04-10",14600
"2020-04-17",14300
"2020-04-24",14250
"2020-04-29",14250
"2020-05-08",14800
"2020-05-15",14100
"2020-05-22",14750
"2020-05-29",23600
"2020-06-05",26000
"2020-06-12",27000
"2020-06-19",33650
"2020-06-26",33000
"2020-07-03",26400
"2020-07-10",24500
"2020-07-17",25400
"2020-07-24",24550
"2020-07-31",22300
"2020-08-07",24150
"2020-08-14",23600
"2020-08-21",20650
"2020-08-28",21050
"2020-09-04",21150
"2020-09-11",20100
"2020-09-18",20350
"2020-09-25",19200
"2020-09-29",18850
"2020-10-08",20950
"2020-10-16",20050
"2020-10-23",19500
"2020-10-30",19050
"2020-11-02",19000
