"","Price"
"2011-04-15",2975
"2011-04-22",2845
"2011-04-29",2800
"2011-05-06",2940
"2011-05-13",2970
"2011-05-20",2695
"2011-05-27",2820
"2011-06-03",2815
"2011-06-10",2770
"2011-06-17",2885
"2011-06-24",3880
"2011-07-01",3300
"2011-07-08",3630
"2011-07-15",3270
"2011-07-22",3755
"2011-07-29",3420
"2011-08-05",2870
"2011-08-12",2800
"2011-08-19",3000
"2011-08-26",3445
"2011-09-02",3280
"2011-09-09",3035
"2011-09-16",3020
"2011-09-23",2600
"2011-09-30",2680
"2011-10-07",2520
"2011-10-14",3100
"2011-10-21",2960
"2011-10-28",2900
"2011-11-04",2830
"2011-11-11",2830
"2011-11-18",2770
"2011-11-25",2720
"2011-12-02",2750
"2011-12-09",2750
"2011-12-16",2590
"2011-12-23",2580
"2011-12-29",2510
"2012-01-06",2570
"2012-01-13",2550
"2012-01-20",2470
"2012-01-27",2505
"2012-02-03",2540
"2012-02-10",2760
"2012-02-17",2725
"2012-02-24",3260
"2012-03-02",3020
"2012-03-09",3125
"2012-03-16",2860
"2012-03-23",3000
"2012-03-30",2810
"2012-04-06",2750
"2012-04-13",2860
"2012-04-20",2880
"2012-04-27",2760
"2012-05-04",3035
"2012-05-11",3180
"2012-05-18",2770
"2012-05-25",2805
"2012-06-01",2810
"2012-06-08",2750
"2012-06-15",2795
"2012-06-22",2780
"2012-06-29",2805
"2012-07-06",2805
"2012-07-13",2750
"2012-07-20",2750
"2012-07-27",2725
"2012-08-03",2720
"2012-08-10",2735
"2012-08-17",2740
"2012-08-24",2695
"2012-08-31",2655
"2012-09-07",2610
"2012-09-14",2680
"2012-09-21",2700
"2012-09-28",2630
"2012-10-05",2660
"2012-10-12",2635
"2012-10-19",2590
"2012-10-26",2455
"2012-11-02",2355
"2012-11-09",2295
"2012-11-16",2320
"2012-11-23",2480
"2012-11-30",2490
"2012-12-07",2435
"2012-12-14",2460
"2012-12-21",2480
"2012-12-28",2470
"2013-01-04",2450
"2013-01-11",2395
"2013-01-18",2405
"2013-01-25",2380
"2013-02-01",2420
"2013-02-08",2335
"2013-02-15",2340
"2013-02-22",2360
"2013-02-28",2410
"2013-03-08",2740
"2013-03-15",2640
"2013-03-22",2605
"2013-03-29",2660
"2013-04-05",2550
"2013-04-12",2400
"2013-04-19",2520
"2013-04-26",2540
"2013-05-03",2710
"2013-05-10",2745
"2013-05-16",2760
"2013-05-24",2930
"2013-05-31",2950
"2013-06-07",2880
"2013-06-14",2755
"2013-06-21",2700
"2013-06-28",2760
"2013-07-05",2695
"2013-07-12",2655
"2013-07-19",2695
"2013-07-26",2675
"2013-08-02",2745
"2013-08-09",3030
"2013-08-16",3125
"2013-08-23",3040
"2013-08-30",3325
"2013-09-06",3320
"2013-09-13",3460
"2013-09-17",3500
"2013-09-27",3785
"2013-10-04",3625
"2013-10-11",3670
"2013-10-18",4385
"2013-10-25",4600
"2013-11-01",4515
"2013-11-08",4280
"2013-11-15",4380
"2013-11-22",4495
"2013-11-29",5030
"2013-12-06",4810
"2013-12-13",4620
"2013-12-20",4650
"2013-12-27",4550
"2014-01-03",4170
"2014-01-10",4240
"2014-01-17",4510
"2014-01-24",4410
"2014-01-29",4465
"2014-02-07",4560
"2014-02-14",4570
"2014-02-21",4505
"2014-02-28",4735
"2014-03-07",4990
"2014-03-14",5440
"2014-03-21",5700
"2014-03-28",5630
"2014-04-04",5640
"2014-04-11",5440
"2014-04-18",6040
"2014-04-25",5800
"2014-05-02",5760
"2014-05-09",5750
"2014-05-16",6390
"2014-05-23",6380
"2014-05-30",6320
"2014-06-05",6290
"2014-06-13",6460
"2014-06-20",6450
"2014-06-27",6600
"2014-07-04",6800
"2014-07-11",6770
"2014-07-18",6590
"2014-07-25",6410
"2014-08-01",6280
"2014-08-08",6110
"2014-08-14",6390
"2014-08-22",6520
"2014-08-29",6390
"2014-09-05",6420
"2014-09-12",6650
"2014-09-19",6600
"2014-09-26",6400
"2014-10-02",6300
"2014-10-10",6230
"2014-10-17",5670
"2014-10-24",5830
"2014-10-31",5460
"2014-11-07",5200
"2014-11-14",4945
"2014-11-21",4795
"2014-11-28",4775
"2014-12-05",4650
"2014-12-12",4600
"2014-12-19",4445
"2014-12-26",4655
"2015-01-02",4650
"2015-01-09",4580
"2015-01-16",4410
"2015-01-23",4375
"2015-01-30",4270
"2015-02-06",4290
"2015-02-13",4110
"2015-02-17",4160
"2015-02-27",4285
"2015-03-06",4440
"2015-03-13",4465
"2015-03-20",4375
"2015-03-27",4210
"2015-04-03",4200
"2015-04-10",4300
"2015-04-17",4800
"2015-04-24",4385
"2015-04-30",4500
"2015-05-08",4650
"2015-05-15",4625
"2015-05-22",4380
"2015-05-29",4550
"2015-06-05",4465
"2015-06-12",4380
"2015-06-19",4350
"2015-06-26",4275
"2015-07-03",4000
"2015-07-10",3850
"2015-07-17",3750
"2015-07-24",3930
"2015-07-31",3800
"2015-08-07",3805
"2015-08-13",3785
"2015-08-21",3200
"2015-08-28",3380
"2015-09-04",3330
"2015-09-11",3440
"2015-09-18",3450
"2015-09-25",3465
