"","Price"
"2011-04-15",3305
"2011-04-22",3360
"2011-04-29",3275
"2011-05-06",3330
"2011-05-13",3320
"2011-05-20",3335
"2011-05-27",3300
"2011-06-03",3395
"2011-06-10",3480
"2011-06-17",3720
"2011-06-24",3175
"2011-07-01",3030
"2011-07-08",3200
"2011-07-15",3585
"2011-07-22",3230
"2011-07-29",3430
"2011-08-05",3820
"2011-08-12",4660
"2011-08-19",6940
"2011-08-26",7250
"2011-09-02",6850
"2011-09-09",5310
"2011-09-16",5120
"2011-09-23",4450
"2011-09-30",4745
"2011-10-07",5150
"2011-10-14",6360
"2011-10-21",5620
"2011-10-28",5150
"2011-11-04",5380
"2011-11-11",5020
"2011-11-18",5860
"2011-11-25",5050
"2011-12-02",5320
"2011-12-09",5700
"2011-12-16",5840
"2011-12-23",6200
"2011-12-29",6330
"2012-01-06",6480
"2012-01-13",5910
"2012-01-20",6000
"2012-01-27",5920
"2012-02-03",5890
"2012-02-10",6700
"2012-02-17",7550
"2012-02-24",7160
"2012-03-02",6680
"2012-03-09",6260
"2012-03-16",6380
"2012-03-23",6230
"2012-03-30",6120
"2012-04-06",5350
"2012-04-13",5300
"2012-04-20",5190
"2012-04-27",4975
"2012-05-04",5050
"2012-05-11",4965
"2012-05-18",3955
"2012-05-25",4235
"2012-06-01",4150
"2012-06-08",4045
"2012-06-15",4065
"2012-06-22",4745
"2012-06-29",4730
"2012-07-06",4980
"2012-07-13",4680
"2012-07-20",4440
"2012-07-27",4280
"2012-08-03",4370
"2012-08-10",4360
"2012-08-17",4450
"2012-08-24",4345
"2012-08-31",4555
"2012-09-07",4490
"2012-09-14",4930
"2012-09-21",5040
"2012-09-28",4980
"2012-10-05",4960
"2012-10-12",4860
"2012-10-19",4665
"2012-10-26",4210
"2012-11-02",4245
"2012-11-09",4190
"2012-11-16",4040
"2012-11-23",3995
"2012-11-30",3900
"2012-12-07",3795
"2012-12-14",3800
"2012-12-21",3865
"2012-12-28",3830
"2013-01-04",3920
"2013-01-11",3905
"2013-01-18",3970
"2013-01-25",3960
"2013-02-01",3685
"2013-02-08",3590
"2013-02-15",3615
"2013-02-22",3670
"2013-02-28",3690
"2013-03-08",3745
"2013-03-15",3850
"2013-03-22",4110
"2013-03-29",4315
"2013-04-05",4300
"2013-04-12",4740
"2013-04-19",4650
"2013-04-26",5190
"2013-05-03",5090
"2013-05-10",4965
"2013-05-16",4780
"2013-05-24",4860
"2013-05-31",4915
"2013-06-07",4755
"2013-06-14",4895
"2013-06-21",5020
"2013-06-28",5000
"2013-07-05",4700
"2013-07-12",4845
"2013-07-19",5800
"2013-07-26",6100
"2013-08-02",5900
"2013-08-09",5960
"2013-08-16",6090
"2013-08-23",5710
"2013-08-30",6090
"2013-09-06",6150
"2013-09-13",5980
"2013-09-17",5870
"2013-09-27",5890
"2013-10-04",5880
"2013-10-11",5790
"2013-10-18",5730
"2013-10-25",5960
"2013-11-01",5700
"2013-11-08",5150
"2013-11-15",5110
"2013-11-22",5010
"2013-11-29",5040
"2013-12-06",4790
"2013-12-13",4500
"2013-12-20",4310
"2013-12-27",4250
"2014-01-03",4185
"2014-01-10",4380
"2014-01-17",4265
"2014-01-24",4305
"2014-01-29",4180
"2014-02-07",4195
"2014-02-14",4225
"2014-02-21",4740
"2014-02-28",5100
"2014-03-07",5310
