"","Price"
"2011-04-15",2855
"2011-04-22",2765
"2011-04-29",2450
"2011-05-06",2510
"2011-05-13",2515
"2011-05-20",2310
"2011-05-27",2240
"2011-06-03",2165
"2011-06-10",2065
"2011-06-17",1885
"2011-06-24",1920
"2011-07-01",1880
"2011-07-08",1975
"2011-07-15",2000
"2011-07-22",2270
"2011-07-29",2135
"2011-08-05",2030
"2011-08-12",1825
"2011-08-19",1675
"2011-08-26",1740
"2011-09-02",1830
"2011-09-09",1665
"2011-09-16",1625
"2011-09-23",1510
"2011-09-30",1410
"2011-10-07",1410
"2011-10-14",1680
"2011-10-21",1585
"2011-10-28",1790
"2011-11-04",1805
"2011-11-11",2010
"2011-11-18",2020
"2011-11-25",1770
"2011-12-02",1990
"2011-12-09",2500
"2011-12-16",2235
"2011-12-23",2145
"2011-12-29",2165
"2012-01-06",2300
"2012-01-13",2280
"2012-01-20",2220
"2012-01-27",2220
"2012-02-03",2355
"2012-02-10",3240
"2012-02-17",3100
"2012-02-24",2915
"2012-03-02",3040
"2012-03-09",3035
"2012-03-16",2845
"2012-03-23",2890
"2012-03-30",2635
"2012-04-06",2530
"2012-04-13",2575
"2012-04-20",2675
"2012-04-27",2680
"2012-05-04",2850
"2012-05-11",2670
"2012-05-18",2170
"2012-05-25",2285
"2012-06-01",2260
"2012-06-08",2210
"2012-06-15",2275
"2012-06-22",2375
"2012-06-29",2290
"2012-07-06",2220
"2012-07-13",2090
"2012-07-20",1995
"2012-07-27",1970
"2012-08-03",2070
"2012-08-10",2265
"2012-08-17",2190
"2012-08-24",2135
"2012-08-31",2050
"2012-09-07",2150
"2012-09-14",2245
"2012-09-21",2210
"2012-09-28",2230
"2012-10-05",2355
"2012-10-12",2360
"2012-10-19",2680
"2012-10-26",2660
"2012-11-02",2610
"2012-11-09",2700
"2012-11-16",2290
"2012-11-23",2400
"2012-11-30",2235
"2012-12-07",2190
"2012-12-14",2200
"2012-12-21",2025
"2012-12-28",2050
"2013-01-04",2245
"2013-01-11",2395
"2013-01-18",2280
"2013-01-25",2300
"2013-02-01",2270
"2013-02-08",2205
"2013-02-15",2245
"2013-02-22",2305
"2013-02-28",2300
"2013-03-08",2300
"2013-03-15",2475
"2013-03-22",2500
"2013-03-29",2540
"2013-04-05",2340
"2013-04-12",2270
"2013-04-19",2270
"2013-04-26",2485
"2013-05-03",2495
"2013-05-10",2530
"2013-05-16",2670
"2013-05-24",2545
"2013-05-31",2510
"2013-06-07",2405
"2013-06-14",2335
"2013-06-21",2220
"2013-06-28",2245
"2013-07-05",2345
"2013-07-12",2315
"2013-07-19",2365
"2013-07-26",2300
"2013-08-02",2330
"2013-08-09",2485
"2013-08-16",2405
"2013-08-23",2310
"2013-08-30",2210
"2013-09-06",2245
"2013-09-13",2175
"2013-09-17",2185
"2013-09-27",2240
"2013-10-04",2120
"2013-10-11",2085
"2013-10-18",2060
"2013-10-25",2055
"2013-11-01",2010
"2013-11-08",1800
"2013-11-15",1810
"2013-11-22",1690
"2013-11-29",1510
"2013-12-06",1745
"2013-12-13",1700
"2013-12-20",1770
"2013-12-27",1830
"2014-01-03",1780
"2014-01-10",1800
"2014-01-17",1835
"2014-01-24",1660
"2014-01-29",1635
"2014-02-07",1645
"2014-02-14",1645
"2014-02-21",1690
"2014-02-28",1780
"2014-03-07",1755
"2014-03-14",1885
"2014-03-21",1920
"2014-03-28",1980
"2014-04-04",1970
"2014-04-11",1875
"2014-04-18",1935
"2014-04-25",1800
"2014-05-02",1830
"2014-05-09",1770
"2014-05-16",1745
"2014-05-23",1685
"2014-05-30",1680
"2014-06-05",1570
"2014-06-13",1855
"2014-06-20",1810
"2014-06-27",1800
"2014-07-04",1810
"2014-07-11",1685
"2014-07-18",1715
"2014-07-25",1755
"2014-08-01",1645
"2014-08-08",1585
