"","Price"
"2019-08-30",11250
"2019-09-06",11600
"2019-09-11",12200
"2019-09-20",11600
"2019-09-27",10800
"2019-10-04",11700
"2019-10-11",11500
"2019-10-18",11350
"2019-10-25",10650
"2019-11-01",10750
"2019-11-08",10750
"2019-11-15",10450
"2019-11-22",9350
"2019-11-29",9670
"2019-12-06",9920
"2019-12-13",10350
"2019-12-20",11050
"2019-12-27",10700
"2020-01-03",11100
"2020-01-10",11150
"2020-01-17",12300
"2020-01-23",12250
"2020-01-31",11850
"2020-02-07",12000
"2020-02-14",11950
"2020-02-21",12050
"2020-02-28",10300
"2020-03-06",10800
"2020-03-13",8850
"2020-03-20",6590
"2020-03-27",7180
"2020-04-03",7360
"2020-04-10",8150
"2020-04-17",8930
"2020-04-24",9720
"2020-04-29",9740
"2020-05-08",10000
"2020-05-15",10600
"2020-05-22",11000
"2020-05-29",11600
"2020-06-05",11600
"2020-06-12",12550
"2020-06-19",13850
"2020-06-26",13700
"2020-07-03",13800
"2020-07-10",13900
"2020-07-17",15250
"2020-07-24",18500
"2020-07-31",19450
"2020-08-07",19300
"2020-08-14",18300
"2020-08-21",17950
"2020-08-28",18850
"2020-09-04",19750
"2020-09-11",24300
"2020-09-18",25400
"2020-09-25",22050
"2020-09-29",22250
"2020-10-08",21950
"2020-10-16",20250
"2020-10-23",18800
"2020-10-30",18650
"2020-11-02",18500
