"","Price"
"2011-04-15",4020
"2011-04-22",4045
"2011-04-29",3515
"2011-05-06",3915
"2011-05-13",4160
"2011-05-20",3880
"2011-05-27",3710
"2011-06-03",3565
"2011-06-10",3775
"2011-06-17",3680
"2011-06-24",3815
"2011-07-01",4065
"2011-07-08",4040
"2011-07-15",3880
"2011-07-22",4035
"2011-07-29",4235
"2011-08-05",3510
"2011-08-12",3030
"2011-08-19",2660
"2011-08-26",2990
"2011-09-02",3110
"2011-09-09",3415
"2011-09-16",3685
"2011-09-23",3435
"2011-09-30",4000
"2011-10-07",3895
"2011-10-14",4115
"2011-10-21",3870
"2011-10-28",4615
"2011-11-04",5100
"2011-11-11",4885
"2011-11-18",4870
"2011-11-25",4515
"2011-12-02",4605
"2011-12-09",4550
"2011-12-16",4070
"2011-12-23",3880
"2011-12-29",4025
"2012-01-06",3805
"2012-01-13",4015
"2012-01-20",4020
"2012-01-27",3885
"2012-02-03",3820
"2012-02-10",3885
"2012-02-17",3935
"2012-02-24",4210
"2012-03-02",4180
"2012-03-09",4200
"2012-03-16",3950
"2012-03-23",3845
"2012-03-30",3490
"2012-04-06",3435
"2012-04-13",3410
"2012-04-20",3315
"2012-04-27",3560
"2012-05-04",3520
"2012-05-11",3730
"2012-05-18",3190
"2012-05-25",3260
"2012-06-01",3165
"2012-06-08",3095
"2012-06-15",3130
"2012-06-22",3355
"2012-06-29",3270
"2012-07-06",3620
"2012-07-13",3515
"2012-07-20",3340
"2012-07-27",3125
"2012-08-03",3070
"2012-08-10",3175
"2012-08-17",3170
"2012-08-24",3125
"2012-08-31",3120
"2012-09-07",3060
"2012-09-14",3340
"2012-09-21",3175
"2012-09-28",3045
"2012-10-05",3100
"2012-10-12",3050
"2012-10-19",2930
"2012-10-26",2650
"2012-11-02",2760
"2012-11-09",2955
"2012-11-16",2940
"2012-11-23",3120
"2012-11-30",2975
"2012-12-07",3220
"2012-12-14",3240
"2012-12-21",3020
"2012-12-28",3090
"2013-01-04",3200
"2013-01-11",3305
"2013-01-18",3075
"2013-01-25",2975
"2013-02-01",2875
"2013-02-08",3035
"2013-02-15",3030
"2013-02-22",3170
"2013-02-28",3245
"2013-03-08",3190
"2013-03-15",3480
"2013-03-22",3455
"2013-03-29",3380
"2013-04-05",3200
"2013-04-12",3060
"2013-04-19",3125
"2013-04-26",3305
"2013-05-03",3300
"2013-05-10",3180
"2013-05-16",3210
"2013-05-24",3540
"2013-05-31",3475
"2013-06-07",3325
"2013-06-14",3265
"2013-06-21",3020
"2013-06-28",2945
"2013-07-05",2775
"2013-07-12",2840
"2013-07-19",2825
"2013-07-26",2895
"2013-08-02",2905
"2013-08-09",2820
"2013-08-16",2995
"2013-08-23",2720
"2013-08-30",2680
"2013-09-06",2690
"2013-09-13",2720
"2013-09-17",2705
"2013-09-27",2745
"2013-10-04",2850
"2013-10-11",2700
"2013-10-18",2590
"2013-10-25",2620
"2013-11-01",2600
"2013-11-08",2380
"2013-11-15",2240
"2013-11-22",2170
"2013-11-29",2245
"2013-12-06",2060
"2013-12-13",2055
"2013-12-20",2025
"2013-12-27",2130
"2014-01-03",2045
"2014-01-10",2220
"2014-01-17",2245
"2014-01-24",2220
"2014-01-29",2220
"2014-02-07",2260
"2014-02-14",2195
"2014-02-21",2100
"2014-02-28",2065
"2014-03-07",2010
"2014-03-14",1925
"2014-03-21",1935
"2014-03-28",2030
"2014-04-04",2195
"2014-04-11",2210
"2014-04-18",2250
"2014-04-25",2040
"2014-05-02",2070
"2014-05-09",1995
"2014-05-16",1995
"2014-05-23",1900
"2014-05-30",1755
"2014-06-05",1580
"2014-06-13",1675
"2014-06-20",1645
"2014-06-27",1815
"2014-07-04",1850
"2014-07-11",1800
"2014-07-18",1860
"2014-07-25",1700
"2014-08-01",1605
"2014-08-08",1585
"2014-08-14",1610
"2014-08-22",1630
"2014-08-29",1615
"2014-09-05",1590
"2014-09-12",1640
"2014-09-19",1655
"2014-09-26",1720
"2014-10-02",1550
"2014-10-10",1560
"2014-10-17",1315
"2014-10-24",1400
"2014-10-31",1415
"2014-11-07",1300
"2014-11-14",1375
"2014-11-21",1400
"2014-11-28",1390
"2014-12-05",1415
"2014-12-12",1440
"2014-12-19",1425
"2014-12-26",1475
"2015-01-02",1480
"2015-01-09",1665
"2015-01-16",1630
"2015-01-23",1705
"2015-01-30",1720
"2015-02-06",1960
