"","Price"
"2011-04-15",1943
"2011-04-22",1925
"2011-04-29",1923
"2011-05-06",1888
"2011-05-13",1898
"2011-05-20",1925
"2011-05-27",1868
"2011-06-03",1868
"2011-06-10",1913
"2011-06-17",1930
"2011-06-24",1955
"2011-07-01",1995
"2011-07-08",2053
"2011-07-15",2035
"2011-07-22",2000
"2011-07-29",2000
"2011-08-05",1925
"2011-08-12",1840
"2011-08-19",1858
"2011-08-26",2130
"2011-09-02",2165
"2011-09-09",1925
"2011-09-16",1890
"2011-09-23",1730
"2011-09-30",1758
"2011-10-07",1698
"2011-10-14",1768
"2011-10-21",1860
"2011-10-28",1828
"2011-11-04",1858
"2011-11-11",1855
"2011-11-18",1840
"2011-11-25",1825
"2011-12-02",1848
"2011-12-09",1835
"2011-12-16",1840
"2011-12-23",1938
"2011-12-29",1853
"2012-01-06",1980
"2012-01-13",1935
"2012-01-20",2060
"2012-01-27",2010
"2012-02-03",2000
"2012-02-10",2080
"2012-02-17",2128
"2012-02-24",1988
"2012-03-02",2090
"2012-03-09",2218
"2012-03-16",2200
"2012-03-23",2145
"2012-03-30",2108
"2012-04-06",2180
"2012-04-13",2123
"2012-04-20",2215
"2012-04-27",2203
"2012-05-04",2113
"2012-05-11",2250
"2012-05-18",2200
"2012-05-25",2100
"2012-06-01",2095
"2012-06-08",2100
"2012-06-15",2115
"2012-06-22",2235
"2012-06-29",2093
"2012-07-06",2095
"2012-07-13",2088
"2012-07-20",2103
"2012-07-27",2090
"2012-08-03",2093
"2012-08-10",2095
"2012-08-17",2093
"2012-08-24",2085
"2012-08-31",2078
"2012-09-07",2075
"2012-09-14",2110
"2012-09-21",2125
"2012-09-28",2080
"2012-10-05",2130
"2012-10-12",2155
"2012-10-19",2128
"2012-10-26",2095
"2012-11-02",2085
"2012-11-09",2045
"2012-11-16",1973
"2012-11-23",2000
"2012-11-30",1965
"2012-12-07",1915
"2012-12-14",1940
"2012-12-21",1945
"2012-12-28",2003
"2013-01-04",1958
"2013-01-11",1975
"2013-01-18",1950
"2013-01-25",1945
"2013-02-01",1960
"2013-02-08",1948
"2013-02-15",1900
"2013-02-22",1880
"2013-02-28",1880
"2013-03-08",1880
"2013-03-15",1875
"2013-03-22",1868
"2013-03-29",1880
"2013-04-05",1920
"2013-04-12",1900
"2013-04-19",1973
"2013-04-26",2005
"2013-05-03",1950
"2013-05-10",1973
"2013-05-16",1968
"2013-05-24",1978
"2013-05-31",1948
"2013-06-07",1918
"2013-06-14",1808
"2013-06-21",1880
"2013-06-28",1838
"2013-07-05",1805
"2013-07-12",1753
"2013-07-19",1760
"2013-07-26",1750
"2013-08-02",1760
"2013-08-09",1795
"2013-08-16",1883
"2013-08-23",1878
"2013-08-30",1860
"2013-09-06",1850
"2013-09-13",1875
"2013-09-17",1900
"2013-09-27",1918
"2013-10-04",1935
"2013-10-11",1895
"2013-10-18",1908
"2013-10-25",1875
"2013-11-01",1898
"2013-11-08",1868
"2013-11-15",1745
"2013-11-22",1750
"2013-11-29",1753
"2013-12-06",1745
"2013-12-13",1720
"2013-12-20",1738
"2013-12-27",1730
"2014-01-03",1650
"2014-01-10",1678
"2014-01-17",1705
"2014-01-24",1725
"2014-01-29",1708
"2014-02-07",1685
"2014-02-14",1693
"2014-02-21",1710
"2014-02-28",1750
"2014-03-07",1733
"2014-03-14",1775
"2014-03-21",1820
"2014-03-28",1983
"2014-04-04",2018
"2014-04-11",1980
"2014-04-18",1855
"2014-04-25",1860
"2014-05-02",1843
"2014-05-09",1878
"2014-05-16",2013
"2014-05-23",2010
"2014-05-30",2000
"2014-06-05",1955
"2014-06-13",1935
"2014-06-20",1943
"2014-06-27",1943
"2014-07-04",1900
"2014-07-11",1905
"2014-07-18",1923
"2014-07-25",1975
"2014-08-01",1950
"2014-08-08",1978
"2014-08-14",1950
"2014-08-22",1955
"2014-08-29",1975
"2014-09-05",1925
"2014-09-12",1873
"2014-09-19",1875
"2014-09-26",1843
"2014-10-02",1805
"2014-10-10",1860
"2014-10-17",1848
"2014-10-24",1843
"2014-10-31",1875
"2014-11-07",1875
"2014-11-14",1895
"2014-11-21",1895
"2014-11-28",1868
"2014-12-05",1775
"2014-12-12",1760
"2014-12-19",1710
"2014-12-26",1700
"2015-01-02",1658
"2015-01-09",1650
"2015-01-16",1588
"2015-01-23",1620
"2015-01-30",1600
"2015-02-06",1625
"2015-02-13",1823
"2015-02-17",1800
"2015-02-27",1955
"2015-03-06",1950
"2015-03-13",1960
"2015-03-20",2000
"2015-03-27",2273
"2015-04-03",2425
"2015-04-10",2575
"2015-04-17",2393
"2015-04-24",2065
"2015-04-30",2170
"2015-05-08",2170
"2015-05-15",2170
"2015-05-22",2210
"2015-05-29",2310
"2015-06-05",2090
"2015-06-12",1825
"2015-06-19",2625
"2015-06-26",3100
"2015-07-03",3810
"2015-07-10",3445
"2015-07-17",3855
"2015-07-24",3750
"2015-07-31",3610
"2015-08-07",3455
"2015-08-13",3450
"2015-08-21",3115
"2015-08-28",3010
"2015-09-04",2880
"2015-09-11",2880
"2015-09-18",2870
"2015-09-25",2830
"2015-10-02",2595
"2015-10-08",2590
"2015-10-16",2500
"2015-10-23",2285
"2015-10-30",2235
"2015-11-06",2430
"2015-11-13",2305
"2015-11-20",2520
"2015-11-27",2565
"2015-12-04",2460
"2015-12-11",2580
"2015-12-18",2640
