"","Price"
"2011-04-15",2410
"2011-04-22",2400
"2011-04-29",2360
"2011-05-06",2065
"2011-05-13",1875
"2011-05-20",2130
"2011-05-27",2030
"2011-06-03",2070
"2011-06-10",2040
"2011-06-17",2120
"2011-06-24",2400
"2011-07-01",2490
"2011-07-08",2350
"2011-07-15",2310
"2011-07-22",2610
"2011-07-29",2490
"2011-08-05",2055
"2011-08-12",1830
"2011-08-19",1680
"2011-08-26",1760
"2011-09-02",1765
"2011-09-09",1655
"2011-09-16",1625
"2011-09-23",1510
"2011-09-30",1495
"2011-10-07",1485
"2011-10-14",1670
"2011-10-21",1690
"2011-10-28",1755
"2011-11-04",1615
"2011-11-11",1680
"2011-11-18",1620
"2011-11-25",1520
"2011-12-02",1650
"2011-12-09",1570
"2011-12-16",1545
"2011-12-23",1450
"2011-12-29",1390
"2012-01-06",1370
"2012-01-13",1530
"2012-01-20",1520
"2012-01-27",1465
"2012-02-03",1460
"2012-02-10",1525
"2012-02-17",1645
"2012-02-24",1625
"2012-03-02",1660
"2012-03-09",1715
"2012-03-16",1720
"2012-03-23",1600
"2012-03-30",1525
"2012-04-06",1580
"2012-04-13",1505
"2012-04-20",1455
"2012-04-27",1470
"2012-05-04",1470
"2012-05-11",1410
"2012-05-18",1275
"2012-05-25",1280
"2012-06-01",1300
"2012-06-08",1290
"2012-06-15",1390
"2012-06-22",1340
"2012-06-29",1310
"2012-07-06",1390
"2012-07-13",1300
"2012-07-20",1225
"2012-07-27",1145
"2012-08-03",1155
"2012-08-10",1200
"2012-08-17",1145
"2012-08-24",1160
"2012-08-31",1195
"2012-09-07",1180
"2012-09-14",1220
"2012-09-21",1220
"2012-09-28",1195
"2012-10-05",1215
"2012-10-12",1135
"2012-10-19",1150
"2012-10-26",1080
"2012-11-02",1075
"2012-11-09",1045
"2012-11-16",1060
"2012-11-23",1050
"2012-11-30",1060
"2012-12-07",1105
"2012-12-14",1115
"2012-12-21",1095
"2012-12-28",1105
"2013-01-04",1125
"2013-01-11",1095
"2013-01-18",1080
"2013-01-25",1080
"2013-02-01",1085
"2013-02-08",1075
"2013-02-15",1175
"2013-02-22",1140
"2013-02-28",1240
"2013-03-08",1170
"2013-03-15",1230
"2013-03-22",1260
"2013-03-29",1330
"2013-04-05",1235
"2013-04-12",1160
"2013-04-19",1165
"2013-04-26",1250
"2013-05-03",1300
"2013-05-10",1310
"2013-05-16",1400
"2013-05-24",1470
"2013-05-31",1400
"2013-06-07",1340
"2013-06-14",1295
"2013-06-21",1225
"2013-06-28",1280
"2013-07-05",1225
"2013-07-12",1245
"2013-07-19",1255
"2013-07-26",1255
"2013-08-02",1285
"2013-08-09",1265
"2013-08-16",1340
"2013-08-23",1340
"2013-08-30",1420
"2013-09-06",1575
"2013-09-13",1490
"2013-09-17",1510
"2013-09-27",1440
"2013-10-04",1745
"2013-10-11",1780
"2013-10-18",1770
"2013-10-25",1780
"2013-11-01",1835
"2013-11-08",1730
"2013-11-15",1760
"2013-11-22",1880
"2013-11-29",1835
"2013-12-06",1740
"2013-12-13",1680
"2013-12-20",1560
"2013-12-27",1505
"2014-01-03",1510
"2014-01-10",1500
"2014-01-17",1590
"2014-01-24",1585
"2014-01-29",1610
"2014-02-07",1560
"2014-02-14",1670
"2014-02-21",1735
"2014-02-28",1655
"2014-03-07",1720
"2014-03-14",1705
"2014-03-21",1760
"2014-03-28",1900
"2014-04-04",2150
"2014-04-11",2260
"2014-04-18",2650
"2014-04-25",2510
"2014-05-02",2475
"2014-05-09",2560
"2014-05-16",3080
"2014-05-23",3035
"2014-05-30",3240
"2014-06-05",3150
"2014-06-13",3235
"2014-06-20",3090
"2014-06-27",3055
"2014-07-04",3100
"2014-07-11",3360
"2014-07-18",3560
"2014-07-25",3395
"2014-08-01",3310
"2014-08-08",3095
"2014-08-14",3635
"2014-08-22",3550
"2014-08-29",3735
"2014-09-05",3680
"2014-09-12",3510
"2014-09-19",3390
"2014-09-26",3280
"2014-10-02",3200
"2014-10-10",3065
"2014-10-17",2985
"2014-10-24",3145
"2014-10-31",3110
"2014-11-07",3000
"2014-11-14",2960
"2014-11-21",2960
"2014-11-28",3135
"2014-12-05",3120
"2014-12-12",2985
"2014-12-19",3060
"2014-12-26",3130
"2015-01-02",3125
"2015-01-09",3255
"2015-01-16",3100
"2015-01-23",2995
"2015-01-30",2995
"2015-02-06",2985
"2015-02-13",2790
"2015-02-17",2925
"2015-02-27",2880
"2015-03-06",3180
"2015-03-13",3130
"2015-03-20",2930
"2015-03-27",2795
"2015-04-03",2905
"2015-04-10",2900
"2015-04-17",3165
"2015-04-24",3130
"2015-04-30",3200
"2015-05-08",2910
"2015-05-15",3400
"2015-05-22",4230
"2015-05-29",3795
"2015-06-05",3640
"2015-06-12",3450
"2015-06-19",3350
"2015-06-26",3430
"2015-07-03",3455
"2015-07-10",3130
"2015-07-17",3060
"2015-07-24",3410
"2015-07-31",3190
"2015-08-07",3235
"2015-08-13",3710
"2015-08-21",3930
"2015-08-28",4280
"2015-09-04",4430
"2015-09-11",5010
"2015-09-18",4650
"2015-09-25",4645
"2015-10-02",4905
"2015-10-08",4515
"2015-10-16",4195
"2015-10-23",4330
"2015-10-30",4095
"2015-11-06",4070
"2015-11-13",3840
"2015-11-20",3970
"2015-11-27",3995
"2015-12-04",3890
"2015-12-11",3515
"2015-12-18",3565
"2015-12-24",3620
"2015-12-30",3880
"2016-01-08",3585
"2016-01-15",3545
"2016-01-22",3560
"2016-01-29",3610
"2016-02-05",3970
"2016-02-12",3645
"2016-02-19",4060
"2016-02-26",4465
"2016-03-04",4315
"2016-03-11",4645
"2016-03-18",4465
"2016-03-25",4355
"2016-04-01",4520
"2016-04-08",4340
"2016-04-15",4295
"2016-04-22",4495
"2016-04-29",4175
"2016-05-04",3855
"2016-05-13",4080
"2016-05-20",3705
"2016-05-27",3835
"2016-06-03",3820
"2016-06-10",3685
"2016-06-17",3535
"2016-06-24",3285
"2016-07-01",3420
"2016-07-08",3415
"2016-07-15",3495
"2016-07-22",3485
"2016-07-29",3685
"2016-08-05",3510
"2016-08-12",3795
"2016-08-19",3785
"2016-08-26",3670
"2016-09-02",3690
"2016-09-09",3585
"2016-09-13",3535
"2016-09-23",3555
"2016-09-30",3485
"2016-10-07",3510
"2016-10-14",3450
"2016-10-21",3540
"2016-10-28",3365
"2016-11-04",3320
"2016-11-11",3350
"2016-11-18",3490
"2016-11-25",3375
"2016-12-02",3300
"2016-12-09",3370
"2016-12-16",3505
"2016-12-23",3400
"2016-12-29",3355
"2017-01-06",3540
"2017-01-13",3455
"2017-01-20",3480
"2017-01-26",3350
"2017-02-03",3295
"2017-02-10",3300
"2017-02-17",3400
"2017-02-24",3340
"2017-03-03",3515
"2017-03-10",3870
"2017-03-17",3865
"2017-03-24",3925
"2017-03-31",3880
"2017-04-07",3940
