"","Price"
"2011-04-15",5280
"2011-04-22",5290
"2011-04-29",5320
"2011-05-06",5270
"2011-05-13",5300
"2011-05-20",5270
"2011-05-27",5190
"2011-06-03",5180
"2011-06-10",5170
"2011-06-17",5200
"2011-06-24",5410
"2011-07-01",6210
"2011-07-08",6290
"2011-07-15",6040
"2011-07-22",6090
"2011-07-29",6090
"2011-08-05",6000
"2011-08-12",5900
"2011-08-19",5460
"2011-08-26",5380
"2011-09-02",5690
"2011-09-09",5980
"2011-09-16",6020
"2011-09-23",5960
"2011-09-30",7020
"2011-10-07",6200
"2011-10-14",6070
"2011-10-21",5970
"2011-10-28",6050
"2011-11-04",6030
"2011-11-11",5870
"2011-11-18",5970
"2011-11-25",5810
"2011-12-02",5990
"2011-12-09",6050
"2011-12-16",6110
"2011-12-23",6440
"2011-12-29",5630
"2012-01-06",5900
"2012-01-13",5880
"2012-01-20",5800
"2012-01-27",5900
"2012-02-03",5850
"2012-02-10",5810
"2012-02-17",5700
"2012-02-24",5580
"2012-03-02",5690
"2012-03-09",5670
"2012-03-16",5540
"2012-03-23",5640
"2012-03-30",5300
"2012-04-06",5260
"2012-04-13",5190
"2012-04-20",5010
"2012-04-27",5010
"2012-05-04",4895
"2012-05-11",4965
"2012-05-18",4650
"2012-05-25",4800
"2012-06-01",4700
"2012-06-08",4700
"2012-06-15",4880
"2012-06-22",4800
"2012-06-29",4700
"2012-07-06",4650
"2012-07-13",4505
"2012-07-20",4600
"2012-07-27",4535
"2012-08-03",4595
"2012-08-10",4690
"2012-08-17",4840
"2012-08-24",4800
"2012-08-31",5010
"2012-09-07",5050
"2012-09-14",5050
"2012-09-21",5120
"2012-09-28",5180
"2012-10-05",5110
"2012-10-12",5060
"2012-10-19",5070
"2012-10-26",5000
"2012-11-02",5040
"2012-11-09",5100
"2012-11-16",5030
"2012-11-23",5010
"2012-11-30",4995
"2012-12-07",5000
"2012-12-14",4975
"2012-12-21",4940
"2012-12-28",4945
"2013-01-04",4900
"2013-01-11",4900
"2013-01-18",4980
"2013-01-25",5020
"2013-02-01",5060
"2013-02-08",5130
"2013-02-15",5080
"2013-02-22",4960
"2013-02-28",5030
"2013-03-08",4900
"2013-03-15",4890
"2013-03-22",4875
"2013-03-29",4710
"2013-04-05",4530
"2013-04-12",4605
"2013-04-19",4480
"2013-04-26",4655
"2013-05-03",4730
"2013-05-10",4720
"2013-05-16",4720
"2013-05-24",4660
"2013-05-31",5030
"2013-06-07",4975
"2013-06-14",5400
"2013-06-21",5310
"2013-06-28",5040
"2013-07-05",5020
"2013-07-12",4935
"2013-07-19",5100
"2013-07-26",5020
"2013-08-02",4875
"2013-08-09",4940
"2013-08-16",4905
"2013-08-23",4740
"2013-08-30",4600
"2013-09-06",4630
"2013-09-13",4615
"2013-09-17",4640
"2013-09-27",4605
"2013-10-04",4510
"2013-10-11",4440
"2013-10-18",4460
"2013-10-25",4495
"2013-11-01",4550
"2013-11-08",4430
"2013-11-15",4365
"2013-11-22",4300
"2013-11-29",4375
"2013-12-06",4400
"2013-12-13",4285
"2013-12-20",4250
"2013-12-27",4220
"2014-01-03",4160
"2014-01-10",4150
"2014-01-17",4260
"2014-01-24",4105
"2014-01-29",4120
"2014-02-07",4080
"2014-02-14",4080
"2014-02-21",4120
"2014-02-28",4090
"2014-03-07",4055
"2014-03-14",4115
"2014-03-21",4075
"2014-03-28",4105
"2014-04-04",4155
"2014-04-11",4155
"2014-04-18",4200
"2014-04-25",4150
"2014-05-02",4120
"2014-05-09",4100
"2014-05-16",4085
"2014-05-23",4100
"2014-05-30",4030
"2014-06-05",4050
"2014-06-13",4010
"2014-06-20",4000
"2014-06-27",3955
"2014-07-04",3995
"2014-07-11",3975
"2014-07-18",3995
"2014-07-25",4010
"2014-08-01",4165
"2014-08-08",4180
"2014-08-14",4185
"2014-08-22",4150
"2014-08-29",4160
"2014-09-05",4175
"2014-09-12",4145
"2014-09-19",4405
"2014-09-26",4250
"2014-10-02",4215
"2014-10-10",4050
"2014-10-17",3890
"2014-10-24",3925
"2014-10-31",3860
"2014-11-07",3880
"2014-11-14",3790
"2014-11-21",3800
"2014-11-28",3755
"2014-12-05",3665
"2014-12-12",3540
"2014-12-19",3500
"2014-12-26",3800
"2015-01-02",3750
"2015-01-09",3800
"2015-01-16",4230
"2015-01-23",4180
"2015-01-30",4005
"2015-02-06",4100
"2015-02-13",4055
"2015-02-17",4070
"2015-02-27",4125
"2015-03-06",4190
"2015-03-13",4200
"2015-03-20",4050
"2015-03-27",4170
"2015-04-03",4575
"2015-04-10",4725
"2015-04-17",4575
"2015-04-24",4500
"2015-04-30",4450
"2015-05-08",4510
"2015-05-15",4335
"2015-05-22",4250
"2015-05-29",4125
"2015-06-05",4020
"2015-06-12",4380
"2015-06-19",4360
"2015-06-26",4300
"2015-07-03",4365
"2015-07-10",4310
"2015-07-17",4485
"2015-07-24",4355
"2015-07-31",4370
"2015-08-07",4390
"2015-08-13",4315
"2015-08-21",3805
"2015-08-28",4035
"2015-09-04",3860
"2015-09-11",3810
"2015-09-18",3915
"2015-09-25",3940
"2015-10-02",3900
"2015-10-08",3995
"2015-10-16",4000
"2015-10-23",3905
"2015-10-30",4010
"2015-11-06",3945
"2015-11-13",3860
"2015-11-20",3850
"2015-11-27",4000
"2015-12-04",4180
"2015-12-11",4075
"2015-12-18",4275
"2015-12-24",4250
"2015-12-30",4200
"2016-01-08",3955
"2016-01-15",3910
"2016-01-22",3780
"2016-01-29",3920
"2016-02-05",3910
"2016-02-12",3760
"2016-02-19",3910
"2016-02-26",3845
"2016-03-04",3915
"2016-03-11",3915
"2016-03-18",3970
"2016-03-25",3990
"2016-04-01",3995
"2016-04-08",3880
"2016-04-15",3800
"2016-04-22",3950
"2016-04-29",3845
"2016-05-04",3805
"2016-05-13",3800
"2016-05-20",3780
"2016-05-27",3725
"2016-06-03",3685
"2016-06-10",3675
"2016-06-17",3620
"2016-06-24",3450
"2016-07-01",3435
"2016-07-08",3325
"2016-07-15",3380
"2016-07-22",3390
"2016-07-29",3370
"2016-08-05",3380
"2016-08-12",3395
"2016-08-19",3400
