"","Price"
"2017-07-07",18250
"2017-07-14",18550
"2017-07-21",18600
"2017-07-28",17850
"2017-08-04",16550
"2017-08-11",17000
"2017-08-18",17800
"2017-08-25",17400
"2017-09-01",17500
"2017-09-08",16700
"2017-09-15",16950
"2017-09-22",16100
"2017-09-29",15750
"2017-10-13",14550
"2017-10-20",16050
"2017-10-27",15750
"2017-11-03",15700
"2017-11-10",15700
"2017-11-17",17450
"2017-11-24",17450
"2017-12-01",16900
"2017-12-08",17500
"2017-12-15",17750
"2017-12-22",16850
"2017-12-28",16850
"2018-01-05",16650
"2018-01-12",17250
"2018-01-19",17500
"2018-01-26",18000
"2018-02-02",16800
"2018-02-09",16150
"2018-02-14",15550
"2018-02-23",15900
"2018-03-02",16000
"2018-03-09",15550
"2018-03-16",15200
"2018-03-23",13950
"2018-03-30",14550
"2018-04-06",15450
"2018-04-13",15000
"2018-04-20",15550
"2018-04-27",15600
"2018-05-04",15500
"2018-05-11",15300
"2018-05-18",15300
"2018-05-25",14900
"2018-06-01",14650
"2018-06-08",15000
"2018-06-15",14550
"2018-06-22",14200
"2018-06-29",14100
"2018-07-06",13550
"2018-07-13",13750
"2018-07-20",12700
"2018-07-27",12150
"2018-08-03",11950
"2018-08-10",12050
"2018-08-17",10900
"2018-08-24",11000
"2018-08-31",10650
"2018-09-07",10600
"2018-09-14",10950
"2018-09-21",10550
"2018-09-28",10550
"2018-10-05",11200
"2018-10-12",10900
"2018-10-19",11750
"2018-10-26",11050
"2018-11-02",11150
"2018-11-09",10950
"2018-11-16",11050
"2018-11-23",11100
"2018-11-30",11400
"2018-12-07",11350
"2018-12-14",11350
"2018-12-21",12250
"2018-12-28",11500
"2019-01-04",11650
"2019-01-11",12300
"2019-01-18",12400
"2019-01-25",12800
"2019-02-01",12600
"2019-02-08",12700
"2019-02-15",12050
"2019-02-22",12650
"2019-02-28",12350
"2019-03-08",12250
"2019-03-15",12750
"2019-03-22",11850
"2019-03-29",11600
"2019-04-05",11650
"2019-04-12",11900
"2019-04-19",12450
"2019-04-26",12750
"2019-05-03",13400
"2019-05-10",12600
"2019-05-17",11550
"2019-05-24",11000
"2019-05-31",11500
"2019-06-07",11750
"2019-06-14",11300
"2019-06-21",11600
"2019-06-28",11300
"2019-07-05",11350
"2019-07-12",11150
"2019-07-19",11000
"2019-07-26",10600
"2019-08-02",9960
"2019-08-09",9490
"2019-08-16",9050
"2019-08-23",9470
"2019-08-30",9660
"2019-09-06",9540
"2019-09-11",9530
"2019-09-20",10100
"2019-09-27",9710
"2019-10-04",9280
"2019-10-11",9040
"2019-10-18",9280
"2019-10-25",8910
"2019-11-01",8900
"2019-11-08",8960
"2019-11-15",8950
"2019-11-22",8180
"2019-11-29",7820
"2019-12-06",7640
"2019-12-13",8240
"2019-12-20",8170
"2019-12-27",8480
"2020-01-03",8120
"2020-01-10",7910
"2020-01-17",8060
"2020-01-23",7940
"2020-01-31",7780
"2020-02-07",7980
"2020-02-14",7830
"2020-02-21",7500
"2020-02-28",7060
"2020-03-06",7090
"2020-03-13",5520
"2020-03-20",4290
"2020-03-27",4805
"2020-04-03",5360
"2020-04-10",5800
"2020-04-17",5960
"2020-04-24",5810
"2020-04-29",6400
"2020-05-08",7090
"2020-05-15",6880
"2020-05-22",6900
"2020-05-29",7100
"2020-06-05",7450
"2020-06-12",7020
"2020-06-19",6790
"2020-06-26",6950
"2020-07-03",6830
"2020-07-10",6630
"2020-07-17",7050
"2020-07-24",6990
"2020-07-31",6670
"2020-08-07",6740
"2020-08-14",7080
"2020-08-21",6560
"2020-08-28",6490
"2020-09-04",6510
"2020-09-11",6960
"2020-09-18",6840
"2020-09-25",6450
"2020-09-29",6550
"2020-10-08",6740
"2020-10-16",6630
"2020-10-23",6680
"2020-10-30",6490
"2020-11-02",6660
