"","Price"
"2011-04-15",750
"2011-04-22",764
"2011-04-29",751
"2011-05-06",755
"2011-05-13",770
"2011-05-20",746
"2011-05-27",727
"2011-06-03",723
"2011-06-10",718
"2011-06-17",689
"2011-06-24",695
"2011-07-01",692
"2011-07-08",707
"2011-07-15",701
"2011-07-22",712
"2011-07-29",712
"2011-08-05",615
"2011-08-12",596
"2011-08-19",596
"2011-08-26",594
"2011-09-02",650
"2011-09-09",626
"2011-09-16",622
"2011-09-23",568
"2011-09-30",568
"2011-10-07",532
"2011-10-14",555
"2011-10-21",590
"2011-10-28",608
"2011-11-04",610
"2011-11-11",606
"2011-11-18",596
"2011-11-25",581
"2011-12-02",599
"2011-12-09",585
"2011-12-16",587
"2011-12-23",597
"2011-12-29",602
"2012-01-06",607
"2012-01-13",653
"2012-01-20",622
"2012-01-27",640
"2012-02-03",640
"2012-02-10",715
"2012-02-17",750
"2012-02-24",779
"2012-03-02",783
"2012-03-09",742
"2012-03-16",772
"2012-03-23",809
"2012-03-30",780
"2012-04-06",761
"2012-04-13",764
"2012-04-20",733
"2012-04-27",700
"2012-05-04",720
"2012-05-11",695
"2012-05-18",589
"2012-05-25",629
"2012-06-01",628
"2012-06-08",622
"2012-06-15",606
"2012-06-22",638
"2012-06-29",652
"2012-07-06",693
"2012-07-13",657
"2012-07-20",674
"2012-07-27",675
"2012-08-03",661
"2012-08-10",793
"2012-08-17",777
"2012-08-24",763
"2012-08-31",840
"2012-09-07",1055
"2012-09-14",1080
"2012-09-21",1330
"2012-09-28",1075
"2012-10-05",1105
"2012-10-12",1070
"2012-10-19",950
"2012-10-26",860
"2012-11-02",865
"2012-11-09",850
"2012-11-16",768
"2012-11-23",796
"2012-11-30",834
"2012-12-07",743
"2012-12-14",795
"2012-12-21",759
"2012-12-28",761
"2013-01-04",789
"2013-01-11",800
"2013-01-18",822
"2013-01-25",809
"2013-02-01",788
"2013-02-08",814
"2013-02-15",824
"2013-02-22",864
"2013-02-28",831
"2013-03-08",823
"2013-03-15",820
"2013-03-22",826
"2013-03-29",866
"2013-04-05",1020
"2013-04-12",1045
"2013-04-19",991
"2013-04-26",951
"2013-05-03",950
"2013-05-10",927
"2013-05-16",934
"2013-05-24",967
"2013-05-31",975
"2013-06-07",1040
"2013-06-14",920
"2013-06-21",919
"2013-06-28",818
"2013-07-05",873
"2013-07-12",860
"2013-07-19",851
"2013-07-26",815
"2013-08-02",816
"2013-08-09",851
"2013-08-16",826
"2013-08-23",802
"2013-08-30",793
"2013-09-06",809
"2013-09-13",816
"2013-09-17",808
"2013-09-27",815
"2013-10-04",788
"2013-10-11",784
"2013-10-18",782
"2013-10-25",790
"2013-11-01",780
"2013-11-08",740
"2013-11-15",738
"2013-11-22",703
"2013-11-29",717
"2013-12-06",694
"2013-12-13",682
"2013-12-20",654
"2013-12-27",665
"2014-01-03",686
"2014-01-10",691
"2014-01-17",707
"2014-01-24",716
"2014-01-29",720
"2014-02-07",721
"2014-02-14",719
"2014-02-21",719
"2014-02-28",716
"2014-03-07",713
"2014-03-14",752
"2014-03-21",741
"2014-03-28",742
"2014-04-04",755
"2014-04-11",743
"2014-04-18",744
"2014-04-25",737
"2014-05-02",736
"2014-05-09",743
"2014-05-16",764
"2014-05-23",750
"2014-05-30",736
"2014-06-05",730
"2014-06-13",745
"2014-06-20",726
"2014-06-27",718
"2014-07-04",725
"2014-07-11",736
"2014-07-18",740
"2014-07-25",768
"2014-08-01",756
"2014-08-08",748
"2014-08-14",920
"2014-08-22",882
"2014-08-29",887
"2014-09-05",1200
"2014-09-12",1100
"2014-09-19",1115
"2014-09-26",1055
"2014-10-02",975
"2014-10-10",966
"2014-10-17",899
"2014-10-24",870
"2014-10-31",904
"2014-11-07",843
"2014-11-14",827
"2014-11-21",835
"2014-11-28",840
"2014-12-05",812
"2014-12-12",757
"2014-12-19",726
"2014-12-26",730
"2015-01-02",745
"2015-01-09",764
"2015-01-16",768
"2015-01-23",880
"2015-01-30",862
"2015-02-06",876
"2015-02-13",849
"2015-02-17",835
"2015-02-27",887
"2015-03-06",934
"2015-03-13",871
"2015-03-20",878
"2015-03-27",882
"2015-04-03",922
"2015-04-10",935
"2015-04-17",936
"2015-04-24",950
"2015-04-30",911
"2015-05-08",1005
"2015-05-15",1420
"2015-05-22",1600
"2015-05-29",1665
"2015-06-05",1920
"2015-06-12",1990
"2015-06-19",1805
"2015-06-26",2070
"2015-07-03",1950
"2015-07-10",2015
"2015-07-17",2605
"2015-07-24",2835
"2015-07-31",2710
"2015-08-07",2950
"2015-08-13",2520
"2015-08-21",2050
"2015-08-28",2260
"2015-09-04",2180
"2015-09-11",2200
"2015-09-18",2045
"2015-09-25",2045
"2015-10-02",2045
"2015-10-08",2050
"2015-10-16",2210
"2015-10-23",2030
"2015-10-30",1990
"2015-11-06",1955
"2015-11-13",1885
"2015-11-20",2070
"2015-11-27",2415
"2015-12-04",2505
"2015-12-11",2300
"2015-12-18",2360
