"","Price"
"2011-04-15",57000
"2011-04-22",60600
"2011-04-29",58100
"2011-05-06",56400
"2011-05-13",52900
"2011-05-20",54500
"2011-05-27",55900
"2011-06-03",56800
"2011-06-10",54600
"2011-06-17",57700
"2011-06-24",61900
"2011-07-01",62300
"2011-07-08",67000
"2011-07-15",64300
"2011-07-22",63700
"2011-07-29",61100
"2011-08-05",58700
"2011-08-12",54700
"2011-08-19",53500
"2011-08-26",57500
"2011-09-02",56500
"2011-09-09",53100
"2011-09-16",54000
"2011-09-23",51000
"2011-09-30",52300
"2011-10-07",54000
"2011-10-14",52700
"2011-10-21",51600
"2011-10-28",53500
"2011-11-04",53000
"2011-11-11",53800
"2011-11-18",54000
"2011-11-25",55500
"2011-12-02",58400
"2011-12-09",58500
"2011-12-16",54600
"2011-12-23",56600
"2011-12-29",57700
"2012-01-06",53900
"2012-01-13",56400
"2012-01-20",59900
"2012-01-27",59200
"2012-02-03",58000
"2012-02-10",58600
"2012-02-17",57900
"2012-02-24",59700
"2012-03-02",59900
"2012-03-09",59500
"2012-03-16",60000
"2012-03-23",58200
"2012-03-30",59000
"2012-04-06",56200
"2012-04-13",56800
"2012-04-20",55600
"2012-04-27",53000
"2012-05-04",50900
"2012-05-11",50100
"2012-05-18",48600
"2012-05-25",47550
"2012-06-01",46500
"2012-06-08",46100
"2012-06-15",50100
"2012-06-22",49800
"2012-06-29",48000
"2012-07-06",48550
"2012-07-13",46600
"2012-07-20",46400
"2012-07-27",45100
"2012-08-03",44600
"2012-08-10",50900
"2012-08-17",50200
"2012-08-24",50800
"2012-08-31",49950
"2012-09-07",50000
"2012-09-14",52000
"2012-09-21",52900
"2012-09-28",49000
"2012-10-05",51300
"2012-10-12",50600
"2012-10-19",49150
"2012-10-26",50200
"2012-11-02",50100
"2012-11-09",49450
"2012-11-16",48450
"2012-11-23",48700
"2012-11-30",50000
"2012-12-07",50100
"2012-12-14",54300
"2012-12-21",55200
"2012-12-28",49450
"2013-01-04",50400
"2013-01-11",48750
"2013-01-18",47050
"2013-01-25",44900
"2013-02-01",45200
"2013-02-08",45600
"2013-02-15",46150
"2013-02-22",48750
"2013-02-28",49500
"2013-03-08",50200
"2013-03-15",50500
"2013-03-22",51800
"2013-03-29",53000
"2013-04-05",55100
"2013-04-12",55700
"2013-04-19",57600
"2013-04-26",60700
"2013-05-03",60900
"2013-05-10",67700
"2013-05-16",76300
"2013-05-24",65400
"2013-05-31",63800
"2013-06-07",60100
"2013-06-14",67200
"2013-06-21",62900
"2013-06-28",63200
"2013-07-05",69500
"2013-07-12",68800
"2013-07-19",73800
"2013-07-26",74700
"2013-08-02",72600
"2013-08-09",68500
"2013-08-16",63200
"2013-08-23",59000
"2013-08-30",60300
"2013-09-06",65400
"2013-09-13",69000
"2013-09-17",69200
"2013-09-27",66900
"2013-10-04",68600
"2013-10-11",68400
"2013-10-18",69300
"2013-10-25",65700
"2013-11-01",68700
"2013-11-08",66200
"2013-11-15",64400
"2013-11-22",64300
"2013-11-29",69800
"2013-12-06",64500
"2013-12-13",62600
"2013-12-20",64400
"2013-12-27",62900
"2014-01-03",59900
"2014-01-10",59500
"2014-01-17",62800
"2014-01-24",63900
"2014-01-29",65700
"2014-02-07",62300
"2014-02-14",68400
"2014-02-21",65200
"2014-02-28",64300
"2014-03-07",64400
"2014-03-14",62000
"2014-03-21",62800
"2014-03-28",64100
"2014-04-04",64400
"2014-04-11",64300
"2014-04-18",65200
"2014-04-25",63800
"2014-05-02",62700
"2014-05-09",62700
"2014-05-16",64000
"2014-05-23",65200
"2014-05-30",62500
"2014-06-05",61500
"2014-06-13",58000
"2014-06-20",60200
"2014-06-27",61000
"2014-07-04",60300
"2014-07-11",58500
"2014-07-18",58100
"2014-07-25",57900
"2014-08-01",59900
"2014-08-08",60800
"2014-08-14",60400
"2014-08-22",61000
"2014-08-29",60000
"2014-09-05",59000
"2014-09-12",59100
"2014-09-19",58500
"2014-09-26",58800
"2014-10-02",58500
"2014-10-10",56300
"2014-10-17",57300
"2014-10-24",58700
"2014-10-31",59600
"2014-11-07",57700
"2014-11-14",59700
"2014-11-21",59600
"2014-11-28",58900
"2014-12-05",59300
"2014-12-12",59900
"2014-12-19",56600
"2014-12-26",59000
"2015-01-02",58700
"2015-01-09",56300
"2015-01-16",55300
"2015-01-23",56800
"2015-01-30",55900
"2015-02-06",58000
"2015-02-13",57500
"2015-02-17",57500
"2015-02-27",56500
"2015-03-06",58800
"2015-03-13",60600
"2015-03-20",58100
"2015-03-27",58000
"2015-04-03",58000
"2015-04-10",59600
"2015-04-17",61200
"2015-04-24",60500
"2015-04-30",61200
"2015-05-08",61000
"2015-05-15",61700
"2015-05-22",59300
"2015-05-29",57100
"2015-06-05",55900
"2015-06-12",59000
"2015-06-19",58400
"2015-06-26",58000
"2015-07-03",59900
"2015-07-10",56600
"2015-07-17",59700
"2015-07-24",57500
"2015-07-31",56700
"2015-08-07",56600
"2015-08-13",57700
"2015-08-21",54300
"2015-08-28",55400
"2015-09-04",53300
"2015-09-11",54600
"2015-09-18",55600
"2015-09-25",55600
"2015-10-02",56000
"2015-10-08",56500
"2015-10-16",58800
"2015-10-23",58400
"2015-10-30",56900
"2015-11-06",54100
"2015-11-13",52600
"2015-11-20",52700
"2015-11-27",53600
"2015-12-04",52100
"2015-12-11",49700
"2015-12-18",49100
"2015-12-24",49100
"2015-12-30",48250
"2016-01-08",46900
"2016-01-15",44850
"2016-01-22",45200
"2016-01-29",45000
"2016-02-05",45550
"2016-02-12",44500
"2016-02-19",45200
"2016-02-26",47450
"2016-03-04",49050
"2016-03-11",49400
"2016-03-18",50400
"2016-03-25",54300
"2016-04-01",53800
"2016-04-08",52400
"2016-04-15",51100
"2016-04-22",50600
"2016-04-29",51500
"2016-05-04",52100
"2016-05-13",52700
"2016-05-20",52700
"2016-05-27",52000
"2016-06-03",51800
"2016-06-10",51800
"2016-06-17",50300
"2016-06-24",50000
"2016-07-01",50000
"2016-07-08",49350
"2016-07-15",50400
"2016-07-22",50700
"2016-07-29",50600
"2016-08-05",51100
"2016-08-12",58700
"2016-08-19",57000
"2016-08-26",59600
"2016-09-02",60500
"2016-09-09",62000
"2016-09-13",62300
"2016-09-23",62800
"2016-09-30",60300
"2016-10-07",62500
"2016-10-14",67400
"2016-10-21",67400
"2016-10-28",64200
"2016-11-04",61400
"2016-11-11",61300
"2016-11-18",61000
"2016-11-25",59100
"2016-12-02",58600
"2016-12-09",58100
"2016-12-16",57500
"2016-12-23",59300
"2016-12-29",59400
"2017-01-06",64500
"2017-01-13",63100
"2017-01-20",62800
"2017-01-26",62500
"2017-02-03",64200
"2017-02-10",63900
"2017-02-17",65900
"2017-02-24",65800
"2017-03-03",64100
"2017-03-10",64700
"2017-03-17",62700
"2017-03-24",60100
"2017-03-31",59600
"2017-04-07",60300
"2017-04-14",60500
"2017-04-21",60800
"2017-04-28",61200
"2017-05-04",61400
"2017-05-12",60300
"2017-05-19",58400
"2017-05-26",61600
"2017-06-02",62900
"2017-06-09",61500
"2017-06-16",61500
"2017-06-23",61900
"2017-06-30",64700
"2017-07-07",64900
"2017-07-14",65300
"2017-07-21",65200
"2017-07-28",71900
"2017-08-04",72500
"2017-08-11",70500
"2017-08-18",70400
"2017-08-25",71500
"2017-09-01",72400
"2017-09-08",74000
"2017-09-15",77200
"2017-09-22",74800
"2017-09-29",72000
"2017-10-13",73500
"2017-10-20",73400
"2017-10-27",77600
"2017-11-03",74700
"2017-11-10",74300
"2017-11-17",72900
"2017-11-24",71800
"2017-12-01",69500
"2017-12-08",69400
"2017-12-15",69500
"2017-12-22",70600
"2017-12-28",69900
"2018-01-05",69200
"2018-01-12",68000
"2018-01-19",66200
"2018-01-26",70300
"2018-02-02",73000
"2018-02-09",69900
"2018-02-14",69600
"2018-02-23",67300
"2018-03-02",67800
"2018-03-09",67400
"2018-03-16",68300
"2018-03-23",64600
"2018-03-30",61600
"2018-04-06",61000
"2018-04-13",58600
"2018-04-20",59900
"2018-04-27",60000
"2018-05-04",60100
"2018-05-11",61400
"2018-05-18",67900
"2018-05-25",70100
"2018-06-01",70000
"2018-06-08",70800
"2018-06-15",68500
"2018-06-22",68700
"2018-06-29",71400
"2018-07-06",69600
"2018-07-13",68100
"2018-07-20",66700
"2018-07-27",66200
"2018-08-03",67400
"2018-08-10",66900
"2018-08-17",65700
"2018-08-24",64700
"2018-08-31",67300
"2018-09-07",64200
"2018-09-14",64600
"2018-09-21",61900
"2018-09-28",64500
"2018-10-05",62600
"2018-10-12",57900
"2018-10-19",54700
"2018-10-26",55100
"2018-11-02",53000
"2018-11-09",55600
"2018-11-16",52800
"2018-11-23",49450
"2018-11-30",54400
"2018-12-07",51700
"2018-12-14",52400
"2018-12-21",51300
"2018-12-28",52400
"2019-01-04",53900
"2019-01-11",50000
"2019-01-18",50400
"2019-01-25",52300
"2019-02-01",55000
"2019-02-08",54300
"2019-02-15",56200
