"","Price"
"2011-04-15",981
"2011-04-22",954
"2011-04-29",922
"2011-05-06",927
"2011-05-13",899
"2011-05-20",825
"2011-05-27",834
"2011-06-03",781
"2011-06-10",769
"2011-06-17",758
"2011-06-24",790
"2011-07-01",815
"2011-07-08",820
"2011-07-15",833
"2011-07-22",861
"2011-07-29",872
"2011-08-05",790
"2011-08-12",807
"2011-08-19",1031
"2011-08-26",1122
"2011-09-02",1744
"2011-09-09",1967
"2011-09-16",2434
"2011-09-23",2262
"2011-09-30",2239
"2011-10-07",1830
"2011-10-14",1767
"2011-10-21",2316
"2011-10-28",3179
"2011-11-04",2253
"2011-11-11",2212
"2011-11-18",2166
"2011-11-25",1889
"2011-12-02",2253
"2011-12-09",2162
"2011-12-16",1989
"2011-12-23",2593
"2011-12-29",2334
"2012-01-06",2334
"2012-01-13",2266
"2012-01-20",2166
"2012-01-27",2307
"2012-02-03",2371
"2012-02-10",2321
"2012-02-17",2312
"2012-02-24",2339
"2012-03-02",2652
"2012-03-09",2425
"2012-03-16",2353
"2012-03-23",2371
"2012-03-30",2080
"2012-04-06",1935
"2012-04-13",2021
"2012-04-20",2030
"2012-04-27",1817
"2012-05-04",1921
"2012-05-11",1808
"2012-05-18",1426
"2012-05-25",1531
"2012-06-01",1494
"2012-06-08",1444
"2012-06-15",1726
"2012-06-22",1780
"2012-06-29",1721
"2012-07-06",1799
"2012-07-13",1712
"2012-07-20",1803
"2012-07-27",1749
"2012-08-03",1753
"2012-08-10",1853
"2012-08-17",1898
"2012-08-24",1876
"2012-08-31",2003
"2012-09-07",2067
"2012-09-14",1971
"2012-09-21",1876
"2012-09-28",1753
"2012-10-05",1799
"2012-10-12",1808
"2012-10-19",1644
"2012-10-26",1576
"2012-11-02",1571
"2012-11-09",1599
"2012-11-16",1449
"2012-11-23",1485
"2012-11-30",1503
"2012-12-07",1444
"2012-12-14",1485
"2012-12-21",1635
"2012-12-28",1635
"2013-01-04",1653
"2013-01-11",1653
"2013-01-18",1685
"2013-01-25",1581
"2013-02-01",1599
"2013-02-08",1612
"2013-02-15",1699
"2013-02-22",1740
"2013-02-28",1630
"2013-03-08",1567
"2013-03-15",1576
"2013-03-22",1544
"2013-03-29",1576
"2013-04-05",1462
"2013-04-12",1499
"2013-04-19",1453
"2013-04-26",1490
"2013-05-03",1544
"2013-05-10",1508
"2013-05-16",1535
"2013-05-24",1581
"2013-05-31",1567
