"","Price"
"2011-04-15",1895
"2011-04-22",1853
"2011-04-29",1789
"2011-05-06",1755
"2011-05-13",1734
"2011-05-20",1693
"2011-05-27",1648
"2011-06-03",1764
"2011-06-10",1731
"2011-06-17",1710
"2011-06-24",1723
"2011-07-01",1698
"2011-07-08",1825
"2011-07-15",1910
"2011-07-22",1955
"2011-07-29",2059
"2011-08-05",2051
"2011-08-12",2017
"2011-08-19",1666
"2011-08-26",1731
"2011-09-02",2264
"2011-09-09",2063
"2011-09-16",1960
"2011-09-23",2186
"2011-09-30",2211
"2011-10-07",2006
"2011-10-14",2017
"2011-10-21",2141
"2011-10-28",2067
"2011-11-04",2051
"2011-11-11",2072
"2011-11-18",2300
"2011-11-25",1887
"2011-12-02",1949
"2011-12-09",1977
"2011-12-16",1924
"2011-12-23",1891
"2011-12-29",1958
"2012-01-06",1908
"2012-01-13",2039
"2012-01-20",2081
"2012-01-27",2123
"2012-02-03",2107
"2012-02-10",2335
"2012-02-17",2822
"2012-02-24",2659
"2012-03-02",2405
"2012-03-09",2355
"2012-03-16",2220
"2012-03-23",2355
"2012-03-30",2002
"2012-04-06",1878
"2012-04-13",1992
"2012-04-20",1904
"2012-04-27",1743
"2012-05-04",1756
"2012-05-11",1857
"2012-05-18",1794
"2012-05-25",1862
"2012-06-01",1942
"2012-06-08",1975
"2012-06-15",1916
"2012-06-22",1824
"2012-06-29",1951
"2012-07-06",1979
"2012-07-13",1916
"2012-07-20",2295
"2012-07-27",2165
"2012-08-03",2363
"2012-08-10",2485
"2012-08-17",2317
"2012-08-24",2283
"2012-08-31",2532
"2012-09-07",2654
"2012-09-14",2670
"2012-09-21",2725
"2012-09-28",2604
"2012-10-05",2670
"2012-10-12",2629
"2012-10-19",2258
"2012-10-26",2148
"2012-11-02",2190
"2012-11-09",2379
"2012-11-16",2052
"2012-11-23",2224
"2012-11-30",2320
"2012-12-07",2199
"2012-12-14",2379
"2012-12-21",2237
"2012-12-28",2325
"2013-01-04",2317
"2013-01-11",2400
"2013-01-18",2313
"2013-01-25",2505
"2013-02-01",1963
"2013-02-08",1971
"2013-02-15",1975
"2013-02-22",1975
"2013-02-28",1988
"2013-03-08",2008
"2013-03-15",2043
"2013-03-22",1988
"2013-03-29",2060
"2013-04-05",2098
"2013-04-12",2258
"2013-04-19",2224
"2013-04-26",2244
"2013-05-03",2162
"2013-05-10",2237
"2013-05-16",2212
"2013-05-24",2157
"2013-05-31",2190
"2013-06-07",1979
"2013-06-14",1984
"2013-06-21",1871
"2013-06-28",1769
"2013-07-05",1790
"2013-07-12",1820
"2013-07-19",1852
"2013-07-26",1871
"2013-08-02",1857
"2013-08-09",1871
"2013-08-16",1849
"2013-08-23",1751
"2013-08-30",1769
"2013-09-06",1871
"2013-09-13",1857
"2013-09-17",1837
"2013-09-27",1852
"2013-10-04",1852
"2013-10-11",1810
"2013-10-18",1820
"2013-10-25",1782
"2013-11-01",1803
"2013-11-08",1735
"2013-11-15",1710
"2013-11-22",1676
"2013-11-29",1660
"2013-12-06",1634
"2013-12-13",1638
"2013-12-20",1601
"2013-12-27",1693
"2014-01-03",1621
"2014-01-10",1638
"2014-01-17",1681
"2014-01-24",1712
"2014-01-29",1849
"2014-02-07",1810
"2014-02-14",1889
"2014-02-21",1846
"2014-02-28",1820
"2014-03-07",1868
"2014-03-14",1957
"2014-03-21",1971
"2014-03-28",1962
"2014-04-04",1984
"2014-04-11",1901
"2014-04-18",1919
"2014-04-25",1871
"2014-05-02",1885
"2014-05-09",1931
"2014-05-16",2009
"2014-05-23",2009
"2014-05-30",1950
"2014-06-05",1824
"2014-06-13",1842
"2014-06-20",1832
"2014-06-27",1802
"2014-07-04",1885
"2014-07-11",1919
"2014-07-18",1975
"2014-07-25",1966
"2014-08-01",1885
"2014-08-08",1885
"2014-08-14",1880
"2014-08-22",2153
"2014-08-29",2074
"2014-09-05",2092
"2014-09-12",2092
"2014-09-19",2369
"2014-09-26",2325
