"","Price"
"2011-04-15",15700
"2011-04-22",15550
"2011-04-29",14100
"2011-05-06",14950
"2011-05-13",16300
"2011-05-20",14550
"2011-05-27",13900
"2011-06-03",14600
"2011-06-10",13300
"2011-06-17",10300
"2011-06-24",11900
"2011-07-01",12000
"2011-07-08",12750
"2011-07-15",11750
"2011-07-22",11600
"2011-07-29",12400
"2011-08-05",10150
"2011-08-12",8850
"2011-08-19",8520
"2011-08-26",8800
"2011-09-02",9150
"2011-09-09",9260
"2011-09-16",9490
"2011-09-23",8660
"2011-09-30",8310
"2011-10-07",8310
"2011-10-14",9270
"2011-10-21",9500
"2011-10-28",12500
"2011-11-04",13250
"2011-11-11",12500
"2011-11-18",12600
"2011-11-25",10850
"2011-12-02",11250
"2011-12-09",12900
"2011-12-16",12100
"2011-12-23",11800
"2011-12-29",11400
"2012-01-06",11600
"2012-01-13",11700
"2012-01-20",11100
"2012-01-27",11600
"2012-02-03",10950
"2012-02-10",10650
"2012-02-17",11050
"2012-02-24",11850
"2012-03-02",11950
"2012-03-09",12100
"2012-03-16",11200
"2012-03-23",11100
"2012-03-30",10850
"2012-04-06",10100
"2012-04-13",10350
"2012-04-20",9920
"2012-04-27",9950
"2012-05-04",10350
"2012-05-11",10100
"2012-05-18",8790
"2012-05-25",8570
"2012-06-01",8480
"2012-06-08",8970
"2012-06-15",8750
"2012-06-22",8790
"2012-06-29",8710
"2012-07-06",8680
"2012-07-13",8000
"2012-07-20",7680
"2012-07-27",6580
"2012-08-03",6640
"2012-08-10",6760
"2012-08-17",6850
"2012-08-24",6640
"2012-08-31",6400
"2012-09-07",6330
"2012-09-14",6180
"2012-09-21",6360
"2012-09-28",6360
"2012-10-05",6450
"2012-10-12",6750
"2012-10-19",5420
"2012-10-26",5410
"2012-11-02",6200
"2012-11-09",6000
"2012-11-16",7370
"2012-11-23",8200
"2012-11-30",7900
"2012-12-07",7940
"2012-12-14",7930
"2012-12-21",7050
"2012-12-28",7450
"2013-01-04",7340
"2013-01-11",7550
"2013-01-18",6730
"2013-01-25",6250
"2013-02-01",6150
"2013-02-08",6270
"2013-02-15",6460
"2013-02-22",6910
"2013-02-28",6920
"2013-03-08",7170
"2013-03-15",7500
"2013-03-22",7250
"2013-03-29",6740
"2013-04-05",6110
"2013-04-12",6000
"2013-04-19",6060
"2013-04-26",6740
"2013-05-03",7020
"2013-05-10",6830
"2013-05-16",6790
"2013-05-24",7900
"2013-05-31",7910
"2013-06-07",7120
"2013-06-14",7380
"2013-06-21",7900
"2013-06-28",6890
"2013-07-05",6460
"2013-07-12",6330
"2013-07-19",6490
"2013-07-26",6200
"2013-08-02",6300
"2013-08-09",6310
"2013-08-16",6980
"2013-08-23",6770
"2013-08-30",6370
"2013-09-06",6320
"2013-09-13",6480
"2013-09-17",6540
"2013-09-27",6510
"2013-10-04",7200
"2013-10-11",7140
"2013-10-18",6550
"2013-10-25",6640
"2013-11-01",6580
"2013-11-08",6040
"2013-11-15",6010
"2013-11-22",5420
"2013-11-29",5610
"2013-12-06",5790
"2013-12-13",5600
"2013-12-20",5430
"2013-12-27",5430
"2014-01-03",5280
"2014-01-10",5450
"2014-01-17",5390
"2014-01-24",5780
"2014-01-29",5890
"2014-02-07",5980
"2014-02-14",5980
"2014-02-21",5910
