"","Price"
"2011-04-15",15800
"2011-04-22",15400
"2011-04-29",14650
"2011-05-06",16200
"2011-05-13",17400
"2011-05-20",17500
"2011-05-27",17550
"2011-06-03",19150
"2011-06-10",18400
"2011-06-17",19050
"2011-06-24",19450
"2011-07-01",21100
"2011-07-08",21400
"2011-07-15",22100
"2011-07-22",23000
"2011-07-29",23350
"2011-08-05",22250
"2011-08-12",22950
"2011-08-19",24000
"2011-08-26",20500
"2011-09-02",22400
"2011-09-09",24000
"2011-09-16",24150
"2011-09-23",23500
"2011-09-30",20850
"2011-10-07",18800
"2011-10-14",20100
"2011-10-21",20000
"2011-10-28",20400
"2011-11-04",18650
"2011-11-11",19700
"2011-11-18",17950
"2011-11-25",17900
"2011-12-02",18300
"2011-12-09",18650
"2011-12-16",17300
"2011-12-23",18100
"2011-12-29",18200
"2012-01-06",18000
"2012-01-13",17500
"2012-01-20",18950
"2012-01-27",19400
"2012-02-03",19250
"2012-02-10",18850
"2012-02-17",20600
"2012-02-24",20350
"2012-03-02",19900
"2012-03-09",19800
"2012-03-16",19650
"2012-03-23",20700
"2012-03-30",21850
"2012-04-06",21050
"2012-04-13",22000
"2012-04-20",22550
"2012-04-27",23600
"2012-05-04",23600
"2012-05-11",23350
"2012-05-18",21050
"2012-05-25",22900
"2012-06-01",22600
"2012-06-08",21700
"2012-06-15",20900
"2012-06-22",21400
"2012-06-29",23600
"2012-07-06",22650
"2012-07-13",23500
"2012-07-20",24900
"2012-07-27",25050
"2012-08-03",23650
"2012-08-10",23650
"2012-08-17",24300
"2012-08-24",26850
"2012-08-31",28850
"2012-09-07",28000
"2012-09-14",28100
"2012-09-21",30650
"2012-09-28",29350
"2012-10-05",30250
"2012-10-12",29850
"2012-10-19",28150
"2012-10-26",29350
"2012-11-02",31450
"2012-11-09",31400
"2012-11-16",31050
"2012-11-23",30850
"2012-11-30",30950
"2012-12-07",29100
"2012-12-14",29000
"2012-12-21",29000
"2012-12-28",28650
"2013-01-04",29700
"2013-01-11",31450
"2013-01-18",31000
"2013-01-25",29650
"2013-02-01",30800
"2013-02-08",28550
"2013-02-15",28800
"2013-02-22",28300
"2013-02-28",27750
"2013-03-08",30850
"2013-03-15",31400
"2013-03-22",32800
"2013-03-29",32300
"2013-04-05",29700
"2013-04-12",31700
"2013-04-19",33450
"2013-04-26",33500
"2013-05-03",33700
"2013-05-10",35000
"2013-05-16",38000
"2013-05-24",37000
"2013-05-31",37000
"2013-06-07",35800
"2013-06-14",35500
"2013-06-21",33600
"2013-06-28",35400
"2013-07-05",33550
"2013-07-12",33150
"2013-07-19",33950
"2013-07-26",31800
"2013-08-02",31100
"2013-08-09",31900
"2013-08-16",32000
"2013-08-23",29650
"2013-08-30",32200
"2013-09-06",33300
"2013-09-13",34050
"2013-09-17",34150
"2013-09-27",34650
"2013-10-04",37000
"2013-10-11",36700
"2013-10-18",37900
"2013-10-25",39400
"2013-11-01",38750
"2013-11-08",35900
"2013-11-15",36950
"2013-11-22",38250
"2013-11-29",40250
"2013-12-06",39750
"2013-12-13",38450
"2013-12-20",40200
"2013-12-27",39300
"2014-01-03",39800
"2014-01-10",39500
"2014-01-17",37950
"2014-01-24",40900
"2014-01-29",41500
"2014-02-07",43100
"2014-02-14",39450
"2014-02-21",39350
"2014-02-28",44000
"2014-03-07",44600
"2014-03-14",43400
"2014-03-21",48650
"2014-03-28",45150
"2014-04-04",44950
"2014-04-11",44950
"2014-04-18",44800
"2014-04-25",42700
"2014-05-02",44850
"2014-05-09",42750
"2014-05-16",42300
"2014-05-23",40900
"2014-05-30",41150
"2014-06-05",40000
"2014-06-13",40100
"2014-06-20",40200
"2014-06-27",41450
"2014-07-04",41600
"2014-07-11",41500
"2014-07-18",43950
"2014-07-25",41050
"2014-08-01",43800
"2014-08-08",43600
"2014-08-14",41750
"2014-08-22",45900
"2014-08-29",45200
"2014-09-05",43900
"2014-09-12",42800
"2014-09-19",43600
"2014-09-26",42150
"2014-10-02",42000
"2014-10-10",40400
"2014-10-17",36450
"2014-10-24",37250
"2014-10-31",38250
"2014-11-07",36850
"2014-11-14",39850
"2014-11-21",39000
"2014-11-28",37800
"2014-12-05",35900
"2014-12-12",33600
"2014-12-19",32350
"2014-12-26",34350
"2015-01-02",32900
"2015-01-09",35900
"2015-01-16",38400
"2015-01-23",40000
"2015-01-30",40100
"2015-02-06",40050
"2015-02-13",36700
"2015-02-17",37800
"2015-02-27",34750
"2015-03-06",33900
"2015-03-13",34700
"2015-03-20",33300
"2015-03-27",35000
"2015-04-03",38200
"2015-04-10",37600
"2015-04-17",41150
"2015-04-24",40450
"2015-04-30",38550
"2015-05-08",40550
"2015-05-15",42100
"2015-05-22",41750
"2015-05-29",41500
"2015-06-05",38600
"2015-06-12",39800
"2015-06-19",31650
"2015-06-26",31100
"2015-07-03",32000
"2015-07-10",29750
"2015-07-17",30900
"2015-07-24",27850
"2015-07-31",30100
"2015-08-07",31100
"2015-08-13",31100
"2015-08-21",27800
"2015-08-28",30450
"2015-09-04",30050
"2015-09-11",30700
"2015-09-18",33150
"2015-09-25",33750
"2015-10-02",33500
"2015-10-08",33950
"2015-10-16",32800
"2015-10-23",31800
"2015-10-30",31800
"2015-11-06",31600
"2015-11-13",26100
"2015-11-20",24500
"2015-11-27",24150
"2015-12-04",25100
"2015-12-11",24100
"2015-12-18",25450
"2015-12-24",25550
"2015-12-30",24200
"2016-01-08",22500
"2016-01-15",20950
"2016-01-22",21100
"2016-01-29",22850
"2016-02-05",24800
"2016-02-12",22050
"2016-02-19",24150
"2016-02-26",25850
"2016-03-04",24700
"2016-03-11",24950
"2016-03-18",23750
"2016-03-25",23550
"2016-04-01",22200
"2016-04-08",26750
"2016-04-15",26700
"2016-04-22",27200
"2016-04-29",28850
"2016-05-04",30100
"2016-05-13",30300
"2016-05-20",28400
"2016-05-27",28750
"2016-06-03",27400
"2016-06-10",27350
"2016-06-17",26450
"2016-06-24",25000
"2016-07-01",26650
"2016-07-08",25850
"2016-07-15",25150
"2016-07-22",24800
"2016-07-29",26050
"2016-08-05",25500
"2016-08-12",26200
"2016-08-19",26050
"2016-08-26",27000
"2016-09-02",26850
"2016-09-09",24950
"2016-09-13",24350
"2016-09-23",24600
"2016-09-30",24650
"2016-10-07",24200
"2016-10-14",23450
"2016-10-21",22650
"2016-10-28",22050
"2016-11-04",22500
"2016-11-11",21350
"2016-11-18",21650
"2016-11-25",21400
"2016-12-02",21250
"2016-12-09",21050
"2016-12-16",21100
"2016-12-23",21150
"2016-12-29",20450
"2017-01-06",20200
"2017-01-13",19550
"2017-01-20",19800
"2017-01-26",19200
"2017-02-03",19350
"2017-02-10",19250
"2017-02-17",20650
"2017-02-24",21600
"2017-03-03",19600
"2017-03-10",19400
"2017-03-17",19400
"2017-03-24",21000
"2017-03-31",21900
"2017-04-07",22050
"2017-04-14",21750
"2017-04-21",22050
"2017-04-28",21700
"2017-05-04",22300
"2017-05-12",22800
"2017-05-19",23000
"2017-05-26",22800
"2017-06-02",21400
"2017-06-09",22800
"2017-06-16",22150
"2017-06-23",22650
"2017-06-30",22400
"2017-07-07",22050
"2017-07-14",21950
"2017-07-21",22300
"2017-07-28",23450
"2017-08-04",24000
"2017-08-11",23500
"2017-08-18",23050
"2017-08-25",22900
"2017-09-01",22950
"2017-09-08",22000
"2017-09-15",22100
"2017-09-22",22350
"2017-09-29",23700
"2017-10-13",23750
"2017-10-20",25950
"2017-10-27",27600
"2017-11-03",28150
"2017-11-10",31050
"2017-11-17",31600
"2017-11-24",33150
"2017-12-01",33350
"2017-12-08",30200
"2017-12-15",30200
"2017-12-22",29400
"2017-12-28",29250
"2018-01-05",27250
"2018-01-12",28200
"2018-01-19",31650
"2018-01-26",31000
"2018-02-02",30200
"2018-02-09",25250
"2018-02-14",25250
"2018-02-23",24100
"2018-03-02",22750
"2018-03-09",25650
"2018-03-16",24550
"2018-03-23",22650
"2018-03-30",25700
"2018-04-06",24950
"2018-04-13",24800
"2018-04-20",26700
"2018-04-27",26600
"2018-05-04",27400
"2018-05-11",27600
"2018-05-18",28550
"2018-05-25",27050
"2018-06-01",26800
"2018-06-08",27550
"2018-06-15",27150
"2018-06-22",25900
"2018-06-29",26050
"2018-07-06",24550
"2018-07-13",25000
"2018-07-20",24000
"2018-07-27",24050
"2018-08-03",24950
"2018-08-10",23950
"2018-08-17",24450
"2018-08-24",24400
"2018-08-31",24150
"2018-09-07",23800
"2018-09-14",24850
"2018-09-21",24650
"2018-09-28",24950
"2018-10-05",23500
"2018-10-12",21850
"2018-10-19",24200
"2018-10-26",23250
"2018-11-02",23150
"2018-11-09",22000
"2018-11-16",23400
"2018-11-23",24100
"2018-11-30",25500
"2018-12-07",26300
"2018-12-14",26400
"2018-12-21",25500
"2018-12-28",24900
"2019-01-04",25250
"2019-01-11",25200
"2019-01-18",25350
"2019-01-25",25500
"2019-02-01",25700
"2019-02-08",24250
"2019-02-15",23000
"2019-02-22",23650
"2019-02-28",23600
"2019-03-08",23200
"2019-03-15",22950
"2019-03-22",22550
"2019-03-29",22650
"2019-04-05",22550
"2019-04-12",22800
"2019-04-19",23700
"2019-04-26",23050
"2019-05-03",22600
"2019-05-10",21900
"2019-05-17",21550
"2019-05-24",21150
"2019-05-31",20100
"2019-06-07",20550
"2019-06-14",20350
"2019-06-21",20800
"2019-06-28",20500
"2019-07-05",21100
"2019-07-12",19950
"2019-07-19",18600
"2019-07-26",18350
"2019-08-02",18300
"2019-08-09",19400
"2019-08-16",18650
"2019-08-23",19100
"2019-08-30",19300
"2019-09-06",20800
"2019-09-11",20450
"2019-09-20",20600
"2019-09-27",20600
"2019-10-04",20900
"2019-10-11",21700
"2019-10-18",21550
"2019-10-25",22150
"2019-11-01",21450
"2019-11-08",21700
"2019-11-15",20900
"2019-11-22",19650
"2019-11-29",19500
"2019-12-06",19500
"2019-12-13",19800
"2019-12-20",19450
"2019-12-27",19200
"2020-01-03",19600
"2020-01-10",21250
"2020-01-17",22250
"2020-01-23",21000
"2020-01-31",18300
"2020-02-07",19000
"2020-02-14",19450
"2020-02-21",18350
"2020-02-28",16800
"2020-03-06",17250
"2020-03-13",14600
"2020-03-20",12550
"2020-03-27",13700
"2020-04-03",12600
"2020-04-10",14950
"2020-04-17",15500
"2020-04-24",14800
"2020-04-29",15850
"2020-05-08",15750
"2020-05-15",14300
"2020-05-22",14750
"2020-05-29",14900
"2020-06-05",16150
"2020-06-12",14300
"2020-06-19",13300
"2020-06-26",12650
"2020-07-03",12700
"2020-07-10",12350
"2020-07-17",12950
"2020-07-24",12900
"2020-07-31",12750
"2020-08-07",13050
"2020-08-14",13950
"2020-08-21",12300
"2020-08-28",11850
"2020-09-04",12200
"2020-09-11",12150
"2020-09-18",12700
"2020-09-25",11850
"2020-09-29",12400
"2020-10-08",12100
"2020-10-16",12000
"2020-10-23",12750
"2020-10-30",12000
"2020-11-02",12050
