"","Price"
"2011-04-15",125000
"2011-04-22",140500
"2011-04-29",128000
"2011-05-06",113500
"2011-05-13",120000
"2011-05-20",133000
"2011-05-27",135000
"2011-06-03",144000
"2011-06-10",138000
"2011-06-17",141000
"2011-06-24",142500
"2011-07-01",159000
"2011-07-08",167000
"2011-07-15",172000
"2011-07-22",171000
"2011-07-29",168500
"2011-08-05",141000
"2011-08-12",127500
"2011-08-19",113000
"2011-08-26",118000
"2011-09-02",128000
"2011-09-09",121500
"2011-09-16",122500
"2011-09-23",95500
"2011-09-30",81900
"2011-10-07",78000
"2011-10-14",93000
"2011-10-21",83000
"2011-10-28",91400
"2011-11-04",90200
"2011-11-11",82000
"2011-11-18",89500
"2011-11-25",88900
"2011-12-02",101500
"2011-12-09",93400
"2011-12-16",93400
"2011-12-23",90100
"2011-12-29",89500
"2012-01-06",89900
"2012-01-13",92000
"2012-01-20",101500
"2012-01-27",102500
"2012-02-03",112500
"2012-02-10",121500
"2012-02-17",110000
"2012-02-24",109500
"2012-03-02",106500
"2012-03-09",102500
"2012-03-16",99800
"2012-03-23",98200
"2012-03-30",102000
"2012-04-06",93800
"2012-04-13",94900
"2012-04-20",86600
"2012-04-27",84300
"2012-05-04",87000
"2012-05-11",78100
"2012-05-18",66600
"2012-05-25",66400
"2012-06-01",66500
"2012-06-08",65000
"2012-06-15",67000
"2012-06-22",66100
"2012-06-29",71900
"2012-07-06",74500
"2012-07-13",71800
"2012-07-20",73900
"2012-07-27",66700
"2012-08-03",67200
"2012-08-10",72500
"2012-08-17",73400
"2012-08-24",71500
"2012-08-31",70000
"2012-09-07",68800
"2012-09-14",68800
"2012-09-21",67400
"2012-09-28",64900
"2012-10-05",61100
"2012-10-12",57700
"2012-10-19",59700
"2012-10-26",51600
"2012-11-02",50600
"2012-11-09",49600
"2012-11-16",42300
"2012-11-23",39400
"2012-11-30",43350
"2012-12-07",48500
"2012-12-14",56200
"2012-12-21",52500
"2012-12-28",52800
"2013-01-04",52700
"2013-01-11",52700
"2013-01-18",50300
"2013-01-25",53000
"2013-02-01",52700
"2013-02-08",48850
"2013-02-15",49450
"2013-02-22",47300
"2013-02-28",45550
"2013-03-08",47350
"2013-03-15",47250
"2013-03-22",45250
"2013-03-29",45700
"2013-04-05",41550
"2013-04-12",40500
"2013-04-19",40000
"2013-04-26",43000
"2013-05-03",40900
"2013-05-10",42750
"2013-05-16",43100
"2013-05-24",43800
"2013-05-31",48000
"2013-06-07",47350
"2013-06-14",41850
"2013-06-21",39900
"2013-06-28",43650
"2013-07-05",44800
"2013-07-12",50400
"2013-07-19",52600
"2013-07-26",58800
"2013-08-02",57700
"2013-08-09",53400
"2013-08-16",54400
"2013-08-23",51500
"2013-08-30",52200
"2013-09-06",51800
"2013-09-13",56100
"2013-09-17",57000
"2013-09-27",63100
"2013-10-04",66700
"2013-10-11",69400
"2013-10-18",74400
"2013-10-25",70200
"2013-11-01",73700
"2013-11-08",73200
"2013-11-15",78900
"2013-11-22",82600
"2013-11-29",82000
"2013-12-06",84400
"2013-12-13",85000
"2013-12-20",85800
"2013-12-27",86000
"2014-01-03",83000
"2014-01-10",74700
"2014-01-17",74000
"2014-01-24",76900
"2014-01-29",76000
"2014-02-07",78200
"2014-02-14",83400
"2014-02-21",84000
"2014-02-28",78300
"2014-03-07",79400
"2014-03-14",73300
"2014-03-21",74100
"2014-03-28",77500
"2014-04-04",79600
"2014-04-11",72400
"2014-04-18",69400
"2014-04-25",67500
"2014-05-02",61400
"2014-05-09",59100
"2014-05-16",60000
"2014-05-23",65100
"2014-05-30",66500
"2014-06-05",66300
"2014-06-13",69500
"2014-06-20",70300
"2014-06-27",69900
"2014-07-04",68000
"2014-07-11",64000
"2014-07-18",65100
"2014-07-25",68600
"2014-08-01",70800
"2014-08-08",71600
"2014-08-14",73300
"2014-08-22",67800
"2014-08-29",72100
"2014-09-05",78500
"2014-09-12",80200
"2014-09-19",78600
"2014-09-26",74000
"2014-10-02",71500
"2014-10-10",73600
"2014-10-17",74700
"2014-10-24",73800
"2014-10-31",78200
"2014-11-07",75500
"2014-11-14",76100
