"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"453",2020-11-11,"053610","프로텍","-",28050,"3,720","7.54","18,797","1.49",400,1.43,453,NA
"454",2020-11-11,"053620","태양","-",8390,"925","9.07","18,435","0.46",150,1.79,454,NA
"455",2020-11-11,"053660","현진소재","관리종목",400,"-","-","-","-",0,0,455,NA
"456",2020-11-11,"053700","삼보모터스","-",6710,"-","-","12,158","0.55",0,0,456,NA
"457",2020-11-11,"053800","안랩","-",64600,"2,204","29.31","20,539","3.15",900,1.39,457,NA
"458",2020-11-11,"053950","경남제약","-",8190,"-","-","3,588","2.28",0,0,458,NA
"459",2020-11-11,"053980","오상자이엘","-",11200,"-","-","2,131","5.26",0,0,459,NA
"460",2020-11-11,"054040","한국컴퓨터","-",3050,"496","6.15","5,849","0.52",130,4.26,460,NA
"461",2020-11-11,"054050","농우바이오","-",10250,"436","23.51","14,399","0.71",200,1.95,461,NA
"462",2020-11-11,"054090","삼진엘앤디","-",3580,"24","149.17","3,698","0.97",75,2.09,462,NA
"463",2020-11-11,"054180","메디콕스","-",1905,"-","-","756","2.52",0,0,463,NA
"464",2020-11-11,"054210","이랜텍","-",6300,"571","11.03","7,484","0.84",100,1.59,464,NA
"465",2020-11-11,"054220","비츠로시스","관리종목",3875,"-","-","-","-",0,0,465,NA
"466",2020-11-11,"054300","팬스타엔터프라이즈","-",740,"16","46.25","821","0.9",0,0,466,NA
"467",2020-11-11,"054410","케이피티유","-",5700,"-","-","6,500","0.88",0,0,467,NA
"468",2020-11-11,"054450","텔레칩스","-",14350,"663","21.64","7,624","1.88",120,0.84,468,NA
"469",2020-11-11,"054540","삼영엠텍","-",5570,"273","20.4","5,964","0.93",100,1.8,469,NA
"470",2020-11-11,"054620","APS홀딩스","-",7430,"-","-","10,530","0.71",0,0,470,NA
"471",2020-11-11,"054630","에이디칩스","-",877,"-","-","683","1.28",0,0,471,NA
"472",2020-11-11,"054670","대한뉴팜","-",12650,"1,085","11.66","4,254","2.97",0,0,472,NA
"473",2020-11-11,"054780","키이스트","-",11700,"-","-","2,555","4.58",0,0,473,NA
"474",2020-11-11,"054800","아이디스홀딩스","-",12600,"-","-","20,285","0.62",200,1.59,474,NA
"475",2020-11-11,"054920","한컴위드","-",5440,"1,905","2.86","4,404","1.24",0,0,475,NA
"476",2020-11-11,"054930","유신","-",13700,"-","-","27,126","0.51",0,0,476,NA
"477",2020-11-11,"054940","엑사이엔씨","-",1480,"-","-","1,570","0.94",0,0,477,NA
"478",2020-11-11,"054950","제이브이엠","-",32750,"993","32.98","19,525","1.68",400,1.22,478,NA
"479",2020-11-11,"056000","네스엠","-",2370,"-","-","1,229","1.93",0,0,479,NA
"480",2020-11-11,"056080","유진로봇","-",2460,"-","-","1,385","1.78",0,0,480,NA
"481",2020-11-11,"056090","유앤아이","-",4100,"-","-","4,892","0.84",0,0,481,NA
"482",2020-11-11,"056190","에스에프에이","-",37750,"3,939","9.58","24,380","1.55",1056,2.8,482,NA
"483",2020-11-11,"056360","코위버","-",9880,"2,208","4.47","12,111","0.82",200,2.02,483,NA
"484",2020-11-11,"056700","신화인터텍","-",2760,"327","8.44","3,315","0.83",50,1.81,484,NA
"485",2020-11-11,"056730","포스링크","관리종목",1550,"-","-","193","8.03",0,0,485,NA
"486",2020-11-11,"057030","YBM넷","-",8060,"110","73.27","2,583","3.12",0,0,486,NA
"487",2020-11-11,"057500","SKC 솔믹스","-",5530,"6","921.67","1,559","3.55",0,0,487,NA
"488",2020-11-11,"057540","옴니시스템","-",2765,"463","5.97","2,326","1.19",0,0,488,NA
"489",2020-11-11,"057680","티사이언티픽","-",4570,"54","84.63","890","5.13",0,0,489,NA
"490",2020-11-11,"057880","필로시스헬스케어","관리종목",3190,"-","-","542","5.89",0,0,490,NA
"491",2020-11-11,"058110","멕아이씨에스","-",31300,"-","-","754","41.51",0,0,491,NA
"492",2020-11-11,"058220","아리온","관리종목",275,"-","-","523","0.53",0,0,492,NA
