"","PER","PBR","PCR","PSR"
"005930",16.1562301226221,1.32167078416649,7.65577661211602,1.50798605565343
"000660",30.3741114886008,1.27551349638739,9.4324097143386,2.26567664640043
"035420",83.5261475175785,7.48844487422931,35.8962976249263,7.38679537378287
"207940",225.006653523903,10.4842921116087,4475.86764705882,65.0710518814139
"051910",147.311398602425,2.65577102371173,14.7920259914774,1.61283466627074
"005380",12.7985809998322,0.499435236447467,90.8522424475941,0.360672054835909
"068270",116.804057577285,11.9576496508428,73.3352057700422,30.8027359636686
"035720",NA,5.59238663707949,42.647613306098,10.455965126706
"006400",83.6168969284712,2.35455903533092,32.2927350828729,2.95218806375899
"051900",29.0645794319496,5.33741220551793,19.8448133169533,2.94261186873813
"012330",9.54406060156284,0.674571103006517,8.26843902272985,0.574593144067618
"028260",18.686928392534,0.735166716181942,25.4581519265698,0.637912439412903
"017670",21.5950996943477,0.842004040484588,4.82112320764657,1.08305929529918
"000270",10.4075879861499,0.656065821233966,5.26533386166117,0.326962146567262
"036570",49.3996139921831,7.04360390573999,45.1171385313616,10.4014470561956
"005490",9.31209179881205,0.357542147141838,2.84587400869319,0.265488103494348
"105560",4.71453209614107,0.399127474060119,1.66089625198124,NA
"066570",479.441039738019,0.913632461525348,4.06768528239185,0.240850903181385
"251270",91.329440525641,3.06507598950154,37.3653100498295,6.53940089135723
"034730",19.4709590889447,0.267647050060748,1.75045357127638,0.140699896584482
"091990",204.758751529231,7.9892663721712,NA,12.0894893717867
"055550",4.18867067606875,0.339995340993647,1.98581148432929,NA
"096770",NA,0.705820742685177,7.03949687589002,0.257690764107345
"018260",17.8079254582485,1.95020774103372,14.6739059073618,1.2235099350722
"015760",NA,0.190102238520764,1.59447575557017,0.221318663962726
"003550",11.8404328244282,0.672229820046265,15.6180327434958,1.94462357719039
"326030",NA,NA,NA,98.9186733252623
"032830",12.4820953550235,0.326934002208144,1.41130198392041,NA
"033780",10.9145217103714,1.29945229703994,10.8517043192326,2.27935641376531
"009150",20.1874854054054,1.91201335960664,10.1658902810144,1.29121775743707
"090430",40.1473716917923,2.13105547257046,13.3470588333565,1.71810404114622
"000810",13.4093628833593,0.602051498736157,9.47600871963952,NA
"086790",3.52768102617495,0.29107676927907,1.29202620900779,NA
"019170",3942.70660882353,31.9628098950882,345.494909020619,35.3326369794412
"010130",11.2253989571812,1.03892065395414,10.256323083586,1.0612049650475
"011170",9.41974801888112,0.47926221499171,5.27045921707489,0.445341345158198
"096530",255.855386067416,44.7077147120419,252.078922804428,55.9945803934426
"018880",20.6983673469388,2.82029090909091,8.46920606372045,0.92147689469123
"316140",3.31003991034078,0.243095237390898,3.31340251304069,NA
"097950",38.9928096393443,0.627158516057586,2.77467382296673,0.266028563695336
"030200",9.67783590697674,0.394581944663199,1.60005233194489,0.246179088640668
"024110",3.68458184306888,0.259771059929928,NA,NA
