"","Price"
"2018-09-20",2470
"2018-09-21",2470
"2018-09-27",2515
"2018-09-28",2435
"2018-10-01",2385
"2018-10-02",2300
"2018-10-04",2290
"2018-10-05",2235
"2018-10-08",2170
"2018-10-10",2170
"2018-10-11",2010
"2018-10-12",2070
"2018-10-15",2005
"2018-10-16",2040
"2018-10-17",2030
"2018-10-18",2085
"2018-10-19",2090
"2018-10-22",2105
"2018-10-23",2025
"2018-10-24",1980
"2018-10-25",1870
"2018-10-26",1790
"2018-10-29",1580
"2018-10-30",1620
"2018-10-31",1695
"2018-11-01",1735
"2018-11-02",1850
"2018-11-05",1860
"2018-11-06",1845
"2018-11-07",1835
"2018-11-08",1865
"2018-11-09",1840
"2018-11-12",1740
"2018-11-13",1730
"2018-11-14",1730
"2018-11-15",1765
"2018-11-16",1805
"2018-11-19",1840
"2018-11-20",1910
"2018-11-21",1920
"2018-11-22",1890
"2018-11-23",1840
"2018-11-26",1855
"2018-11-27",1880
"2018-11-28",1880
"2018-11-29",1860
"2018-11-30",1885
"2018-12-03",1890
"2018-12-04",1900
"2018-12-05",1860
"2018-12-06",1795
"2018-12-07",1790
"2018-12-10",1700
"2018-12-11",1700
"2018-12-12",1710
"2018-12-13",1715
"2018-12-14",1650
"2018-12-17",1670
"2018-12-18",1640
"2018-12-19",1735
"2018-12-20",1725
"2018-12-21",1745
"2018-12-24",1680
"2018-12-26",1650
"2018-12-27",1645
"2018-12-28",1715
"2019-01-02",1720
"2019-01-03",1635
"2019-01-04",1630
"2019-01-07",1630
"2019-01-08",1605
"2019-01-09",1615
"2019-01-10",1665
"2019-01-11",1700
"2019-01-14",1660
"2019-01-15",1665
"2019-01-16",1660
"2019-01-17",1675
"2019-01-18",1665
"2019-01-21",1705
"2019-01-22",1690
"2019-01-23",1720
"2019-01-24",1720
"2019-01-25",1715
"2019-01-28",1795
"2019-01-29",1755
"2019-01-30",1765
"2019-01-31",1775
"2019-02-01",1760
"2019-02-07",1815
"2019-02-08",1820
"2019-02-11",1815
"2019-02-12",1805
"2019-02-13",1815
"2019-02-14",1825
"2019-02-15",1820
"2019-02-18",1835
"2019-02-19",1900
"2019-02-20",1915
"2019-02-21",1910
"2019-02-22",1935
"2019-02-25",1930
"2019-02-26",1885
"2019-02-27",1860
"2019-02-28",1840
"2019-03-04",1925
"2019-03-05",1935
"2019-03-06",1965
"2019-03-07",1925
"2019-03-08",1935
"2019-03-11",1900
"2019-03-12",1925
"2019-03-13",1920
"2019-03-14",1920
"2019-03-15",1875
"2019-03-18",1890
"2019-03-19",1890
"2019-03-20",1905
"2019-03-21",1900
"2019-03-22",1880
"2019-03-25",1790
"2019-03-26",1800
"2019-03-27",1780
"2019-03-28",1760
"2019-03-29",1765
"2019-04-01",1785
"2019-04-02",1780
"2019-04-03",1795
"2019-04-04",1830
"2019-04-05",2090
"2019-04-08",2180
"2019-04-09",2190
"2019-04-10",2175
"2019-04-11",2210
"2019-04-12",2245
"2019-04-15",2200
"2019-04-16",2170
"2019-04-17",2215
"2019-04-18",2410
"2019-04-19",2305
"2019-04-22",2265
"2019-04-23",2235
"2019-04-24",2200
"2019-04-25",2175
"2019-04-26",2185
"2019-04-29",2210
"2019-04-30",2210
"2019-05-02",2320
"2019-05-03",2310
"2019-05-07",2230
"2019-05-08",2170
"2019-05-09",2175
"2019-05-10",2260
"2019-05-13",2280
"2019-05-14",2330
"2019-05-15",2270
"2019-05-16",2180
"2019-05-17",2160
"2019-05-20",2040
"2019-05-21",2020
"2019-05-22",2015
"2019-05-23",1920
"2019-05-24",1925
"2019-05-27",1900
"2019-05-28",1940
"2019-05-29",1895
"2019-05-30",1870
"2019-05-31",1890
"2019-06-03",1875
"2019-06-04",1870
"2019-06-05",1865
"2019-06-07",1900
"2019-06-10",1950
"2019-06-11",1975
"2019-06-12",2020
"2019-06-13",2110
