"","Price"
"2018-09-20",4355
"2018-09-21",4435
"2018-09-27",4440
"2018-09-28",4345
"2018-10-01",4305
"2018-10-02",4285
"2018-10-04",4200
"2018-10-05",4180
"2018-10-08",4070
"2018-10-10",3895
"2018-10-11",3590
"2018-10-12",3570
"2018-10-15",3570
"2018-10-16",3570
"2018-10-17",3650
"2018-10-18",3650
"2018-10-19",3595
"2018-10-22",3620
"2018-10-23",3530
"2018-10-24",3470
"2018-10-25",3285
"2018-10-26",3200
"2018-10-29",2885
"2018-10-30",2945
"2018-10-31",3000
"2018-11-01",3060
"2018-11-02",3195
"2018-11-05",3250
"2018-11-06",3265
"2018-11-07",3420
"2018-11-08",3605
"2018-11-09",3535
"2018-11-12",3650
"2018-11-13",3540
"2018-11-14",3570
"2018-11-15",3690
"2018-11-16",3765
"2018-11-19",3720
"2018-11-20",3650
"2018-11-21",3700
"2018-11-22",3690
"2018-11-23",3695
"2018-11-26",3700
"2018-11-27",3690
"2018-11-28",3705
"2018-11-29",3830
"2018-11-30",3865
"2018-12-03",3875
"2018-12-04",3840
"2018-12-05",3750
"2018-12-06",3600
"2018-12-07",3610
"2018-12-10",3565
"2018-12-11",3515
"2018-12-12",3650
"2018-12-13",3700
"2018-12-14",3600
"2018-12-17",3540
"2018-12-18",3585
"2018-12-19",3575
"2018-12-20",3495
"2018-12-21",3465
"2018-12-24",3495
"2018-12-26",3445
"2018-12-27",3460
"2018-12-28",3455
"2019-01-02",3540
"2019-01-03",3530
"2019-01-04",3530
"2019-01-07",3550
"2019-01-08",3555
"2019-01-09",3600
"2019-01-10",3655
"2019-01-11",3710
"2019-01-14",3560
"2019-01-15",3650
"2019-01-16",3725
"2019-01-17",3805
"2019-01-18",3870
"2019-01-21",3915
"2019-01-22",3920
"2019-01-23",3920
"2019-01-24",4015
"2019-01-25",4095
"2019-01-28",4120
"2019-01-29",4120
"2019-01-30",4200
"2019-01-31",4280
"2019-02-01",4345
"2019-02-07",4280
"2019-02-08",4255
"2019-02-11",4440
"2019-02-12",4550
"2019-02-13",4560
"2019-02-14",4565
"2019-02-15",4500
"2019-02-18",4400
"2019-02-19",4500
"2019-02-20",4515
"2019-02-21",4750
"2019-02-22",4790
"2019-02-25",4685
"2019-02-26",4765
"2019-02-27",4780
"2019-02-28",4680
"2019-03-04",4675
"2019-03-05",4600
"2019-03-06",4515
"2019-03-07",4605
"2019-03-08",4610
"2019-03-11",4785
"2019-03-12",4780
"2019-03-13",4850
"2019-03-14",5010
"2019-03-15",4945
"2019-03-18",4940
"2019-03-19",5000
"2019-03-20",4985
"2019-03-21",4975
"2019-03-22",5330
"2019-03-25",5590
"2019-03-26",5740
"2019-03-27",5880
"2019-03-28",6070
"2019-03-29",5900
"2019-04-01",6000
"2019-04-02",6200
"2019-04-03",6120
"2019-04-04",6210
"2019-04-05",6420
"2019-04-08",6340
"2019-04-09",6000
"2019-04-10",6050
"2019-04-11",6000
"2019-04-12",6000
"2019-04-15",6100
"2019-04-16",6030
"2019-04-17",5930
"2019-04-18",5930
"2019-04-19",5900
"2019-04-22",5740
"2019-04-23",5790
"2019-04-24",5780
"2019-04-25",5600
"2019-04-26",5600
"2019-04-29",5720
"2019-04-30",5750
"2019-05-02",5700
"2019-05-03",5530
"2019-05-07",5440
"2019-05-08",5500
"2019-05-09",5330
"2019-05-10",5280
"2019-05-13",5090
"2019-05-14",5200
"2019-05-15",5510
"2019-05-16",5500
"2019-05-17",5580
"2019-05-20",5390
"2019-05-21",5520
"2019-05-22",5370
"2019-05-23",5560
"2019-05-24",5780
"2019-05-27",5970
"2019-05-28",5830
"2019-05-29",5570
"2019-05-30",5510
"2019-05-31",5550
"2019-06-03",5620
"2019-06-04",6390
"2019-06-05",6570
"2019-06-07",6870
"2019-06-10",7070
"2019-06-11",7130
"2019-06-12",7280
"2019-06-13",7210
"2019-06-14",7140
"2019-06-17",7490
"2019-06-18",7470
"2019-06-19",7650
"2019-06-20",7510
"2019-06-21",7460
"2019-06-24",7180
"2019-06-25",7030
"2019-06-26",7160
"2019-06-27",7180
"2019-06-28",7200
"2019-07-01",6530
"2019-07-02",6420
"2019-07-03",6400
"2019-07-04",6370
"2019-07-05",6270
"2019-07-08",5920
"2019-07-09",5950
"2019-07-10",5870
"2019-07-11",5740
"2019-07-12",5690
"2019-07-15",5500
"2019-07-16",5610
"2019-07-17",5320
"2019-07-18",5350
"2019-07-19",5360
"2019-07-22",5460
"2019-07-23",5280
"2019-07-24",5260
"2019-07-25",5190
"2019-07-26",5120
"2019-07-29",4855
"2019-07-30",5150
"2019-07-31",5410
"2019-08-01",5370
"2019-08-02",5500
"2019-08-05",5000
"2019-08-06",4965
"2019-08-07",5270
"2019-08-08",5380
"2019-08-09",5170
"2019-08-12",5240
"2019-08-13",5350
"2019-08-14",5270
