"","Price"
"2018-09-20",13519
"2018-09-21",13989
"2018-09-27",14405
"2018-09-28",15541
"2018-10-01",15458
"2018-10-02",15347
"2018-10-04",14848
"2018-10-05",14737
"2018-10-08",15153
"2018-10-10",15790
"2018-10-11",16039
"2018-10-12",16621
"2018-10-15",16483
"2018-10-16",16815
"2018-10-17",16843
"2018-10-18",17120
"2018-10-19",17064
"2018-10-22",16787
"2018-10-23",16593
"2018-10-24",16067
"2018-10-25",15845
"2018-10-26",15291
"2018-10-29",14266
"2018-10-30",14377
"2018-10-31",15236
"2018-11-01",15208
"2018-11-02",15485
"2018-11-05",15375
"2018-11-06",15070
"2018-11-07",14211
"2018-11-08",14350
"2018-11-09",14128
"2018-11-12",13685
"2018-11-13",13408
"2018-11-14",14017
"2018-11-15",12687
"2018-11-16",12300
"2018-11-19",12355
"2018-11-20",12300
"2018-11-21",11856
"2018-11-22",11967
"2018-11-23",11967
"2018-11-26",11746
"2018-11-27",11746
"2018-11-28",11746
"2018-11-29",11746
"2018-11-30",11746
"2018-12-03",11746
"2018-12-04",11746
"2018-12-05",11746
"2018-12-06",11746
"2018-12-07",11746
"2018-12-10",9696
"2018-12-11",9419
"2018-12-12",8504
"2018-12-13",7978
"2018-12-14",7757
"2018-12-17",7369
"2018-12-18",6094
"2018-12-19",4316
"2018-12-20",4316
"2018-12-21",5540
"2018-12-24",4765
"2018-12-26",5097
"2018-12-27",4776
"2018-12-28",4560
"2019-01-02",4449
"2019-01-03",4582
"2019-01-04",4599
"2019-01-07",4526
"2019-01-08",4438
"2019-01-09",4510
"2019-01-10",4499
"2019-01-11",4466
"2019-01-14",4438
"2019-01-15",4399
"2019-01-16",4460
"2019-01-17",4460
"2019-01-18",4460
"2019-01-21",4460
"2019-01-22",4460
"2019-01-23",4460
"2019-01-24",4460
"2019-01-25",4460
"2019-01-28",4460
"2019-01-29",4460
"2019-01-30",4460
"2019-01-31",4460
"2019-02-01",4460
"2019-02-07",4460
"2019-02-08",4460
"2019-02-11",4460
"2019-02-12",4460
"2019-02-13",4460
"2019-02-14",4460
"2019-02-15",4460
"2019-02-18",4460
"2019-02-19",4460
"2019-02-20",4460
"2019-02-21",4460
"2019-02-22",4460
"2019-02-25",4460
"2019-02-26",4460
"2019-02-27",4460
"2019-02-28",4460
"2019-03-04",4460
"2019-03-05",4460
"2019-03-06",4460
"2019-03-07",4460
"2019-03-08",4460
"2019-03-11",4460
"2019-03-12",4460
"2019-03-13",4460
"2019-03-14",4460
"2019-03-15",4460
"2019-03-18",4460
"2019-03-19",4460
"2019-03-20",4460
"2019-03-21",4460
"2019-03-22",4460
"2019-03-25",4460
"2019-03-26",4460
"2019-03-27",4460
"2019-03-28",4460
"2019-03-29",4460
"2019-04-01",4460
"2019-04-02",4460
"2019-04-03",4460
"2019-04-04",4460
"2019-04-05",4460
"2019-04-08",4460
"2019-04-09",4460
"2019-04-10",4460
"2019-04-11",4460
"2019-04-12",4460
"2019-04-15",4460
"2019-04-16",4460
"2019-04-17",4460
"2019-04-18",4460
"2019-04-19",4460
"2019-04-22",4460
"2019-04-23",4460
"2019-04-24",4460
"2019-04-25",4460
"2019-04-26",4460
"2019-04-29",4460
"2019-04-30",4460
"2019-05-02",4460
"2019-05-03",4460
"2019-05-07",4460
"2019-05-08",4460
"2019-05-09",4460
"2019-05-10",4460
"2019-05-13",4460
"2019-05-14",4460
"2019-05-15",4460
"2019-05-16",4460
"2019-05-17",4460
"2019-05-20",4460
"2019-05-21",4460
"2019-05-22",4460
"2019-05-23",4460
"2019-05-24",4460
"2019-05-27",4460
