"","Price"
"2018-09-20",7520
"2018-09-21",7630
"2018-09-27",7900
"2018-09-28",7980
"2018-10-01",7920
"2018-10-02",7900
"2018-10-04",7840
"2018-10-05",7650
"2018-10-08",7640
"2018-10-10",7400
"2018-10-11",6900
"2018-10-12",7110
"2018-10-15",7010
"2018-10-16",7020
"2018-10-17",7120
"2018-10-18",7110
"2018-10-19",7130
"2018-10-22",7280
"2018-10-23",7090
"2018-10-24",7040
"2018-10-25",6970
"2018-10-26",6680
"2018-10-29",6300
"2018-10-30",6300
"2018-10-31",6520
"2018-11-01",6670
"2018-11-02",6850
"2018-11-05",7020
"2018-11-06",7040
"2018-11-07",7000
"2018-11-08",7010
"2018-11-09",7060
"2018-11-12",7080
"2018-11-13",7060
"2018-11-14",7160
"2018-11-15",7140
"2018-11-16",7240
"2018-11-19",7150
"2018-11-20",7130
"2018-11-21",7220
"2018-11-22",7250
"2018-11-23",7220
"2018-11-26",7280
"2018-11-27",7380
"2018-11-28",7230
"2018-11-29",7160
"2018-11-30",7140
"2018-12-03",7160
"2018-12-04",7230
"2018-12-05",7140
"2018-12-06",6900
"2018-12-07",6790
"2018-12-10",6700
"2018-12-11",6730
"2018-12-12",6790
"2018-12-13",6790
"2018-12-14",6680
"2018-12-17",6620
"2018-12-18",6690
"2018-12-19",6830
"2018-12-20",6710
"2018-12-21",6700
"2018-12-24",6710
"2018-12-26",6670
"2018-12-27",6670
"2018-12-28",6690
"2019-01-02",6610
"2019-01-03",6470
"2019-01-04",6450
"2019-01-07",6500
"2019-01-08",6540
"2019-01-09",6560
"2019-01-10",6440
"2019-01-11",6550
"2019-01-14",6600
"2019-01-15",6660
"2019-01-16",6780
"2019-01-17",6780
"2019-01-18",6710
"2019-01-21",6700
"2019-01-22",6770
"2019-01-23",6880
"2019-01-24",6900
"2019-01-25",6940
"2019-01-28",6920
"2019-01-29",6920
"2019-01-30",7010
"2019-01-31",7040
"2019-02-01",7120
"2019-02-07",7120
"2019-02-08",7160
"2019-02-11",7100
"2019-02-12",7170
"2019-02-13",7340
