"","Price"
"2018-09-20",10600
"2018-09-21",10700
"2018-09-27",10650
"2018-09-28",10350
"2018-10-01",10300
"2018-10-02",10150
"2018-10-04",10050
"2018-10-05",9940
"2018-10-08",9830
"2018-10-10",9600
"2018-10-11",8900
"2018-10-12",8980
"2018-10-15",9030
"2018-10-16",9280
"2018-10-17",9350
"2018-10-18",9390
"2018-10-19",9230
"2018-10-22",9170
"2018-10-23",9000
"2018-10-24",8920
"2018-10-25",8900
"2018-10-26",8740
"2018-10-29",8400
"2018-10-30",8220
"2018-10-31",8320
"2018-11-01",8580
"2018-11-02",8870
"2018-11-05",8870
"2018-11-06",8840
"2018-11-07",8680
"2018-11-08",8080
"2018-11-09",7900
"2018-11-12",7900
"2018-11-13",7690
"2018-11-14",7690
"2018-11-15",7680
"2018-11-16",7690
"2018-11-19",7690
"2018-11-20",7500
"2018-11-21",7520
"2018-11-22",7450
"2018-11-23",7510
"2018-11-26",7590
"2018-11-27",7670
"2018-11-28",7670
"2018-11-29",7820
"2018-11-30",7960
"2018-12-03",8050
"2018-12-04",7960
"2018-12-05",7850
"2018-12-06",7690
"2018-12-07",7690
"2018-12-10",7440
"2018-12-11",7580
"2018-12-12",7620
"2018-12-13",7850
"2018-12-14",7680
"2018-12-17",7700
"2018-12-18",7620
"2018-12-19",7700
"2018-12-20",7650
"2018-12-21",7750
"2018-12-24",7810
"2018-12-26",7730
"2018-12-27",7680
"2018-12-28",7700
"2019-01-02",7490
"2019-01-03",7130
"2019-01-04",7110
"2019-01-07",7160
"2019-01-08",7090
"2019-01-09",7290
"2019-01-10",7420
"2019-01-11",7560
"2019-01-14",7560
"2019-01-15",7620
"2019-01-16",7650
"2019-01-17",7600
"2019-01-18",7650
"2019-01-21",7930
"2019-01-22",7860
"2019-01-23",7810
"2019-01-24",7890
"2019-01-25",8100
"2019-01-28",8200
"2019-01-29",8370
"2019-01-30",8340
"2019-01-31",8220
"2019-02-01",8140
"2019-02-07",8250
"2019-02-08",8180
