"","Price"
"2018-09-20",2795
"2018-09-21",2840
"2018-09-27",2815
"2018-09-28",2795
"2018-10-01",2860
"2018-10-02",2770
"2018-10-04",2705
"2018-10-05",2625
"2018-10-08",2625
"2018-10-10",2590
"2018-10-11",2350
"2018-10-12",2435
"2018-10-15",2465
"2018-10-16",2720
"2018-10-17",2715
"2018-10-18",2675
"2018-10-19",2800
"2018-10-22",2805
"2018-10-23",2725
"2018-10-24",2670
"2018-10-25",2590
"2018-10-26",2305
"2018-10-29",2080
"2018-10-30",2125
"2018-10-31",2225
"2018-11-01",2215
"2018-11-02",2325
"2018-11-05",2350
"2018-11-06",2360
"2018-11-07",2315
"2018-11-08",2315
"2018-11-09",2285
"2018-11-12",2270
"2018-11-13",2250
"2018-11-14",2270
"2018-11-15",2285
"2018-11-16",2320
"2018-11-19",2285
"2018-11-20",2225
"2018-11-21",2230
"2018-11-22",2230
"2018-11-23",2185
"2018-11-26",2205
"2018-11-27",2250
"2018-11-28",2230
"2018-11-29",2225
"2018-11-30",2205
"2018-12-03",2250
"2018-12-04",2220
"2018-12-05",2130
"2018-12-06",2075
"2018-12-07",2125
"2018-12-10",2000
"2018-12-11",1955
"2018-12-12",2020
"2018-12-13",2000
"2018-12-14",1965
"2018-12-17",1960
"2018-12-18",2050
"2018-12-19",2060
"2018-12-20",2060
"2018-12-21",2045
"2018-12-24",2030
"2018-12-26",1840
"2018-12-27",1855
"2018-12-28",1920
"2019-01-02",1930
"2019-01-03",1875
"2019-01-04",1900
"2019-01-07",1955
"2019-01-08",1965
"2019-01-09",2070
"2019-01-10",2040
"2019-01-11",2030
"2019-01-14",2070
"2019-01-15",2110
"2019-01-16",2090
"2019-01-17",2055
"2019-01-18",2095
"2019-01-21",2150
"2019-01-22",2145
"2019-01-23",2140
"2019-01-24",2160
"2019-01-25",2195
"2019-01-28",2165
"2019-01-29",2245
"2019-01-30",2245
"2019-01-31",2210
"2019-02-01",2160
"2019-02-07",2210
"2019-02-08",2190
"2019-02-11",2255
"2019-02-12",2250
"2019-02-13",2290
"2019-02-14",2305
"2019-02-15",2275
"2019-02-18",2275
"2019-02-19",2240
"2019-02-20",2280
"2019-02-21",2250
"2019-02-22",2235
"2019-02-25",2265
"2019-02-26",2265
"2019-02-27",2330
"2019-02-28",2205
"2019-03-04",2240
"2019-03-05",2255
"2019-03-06",2315
"2019-03-07",2400
"2019-03-08",2330
"2019-03-11",2440
"2019-03-12",2490
"2019-03-13",2360
"2019-03-14",2440
"2019-03-15",2500
"2019-03-18",2525
"2019-03-19",2485
"2019-03-20",2435
"2019-03-21",2425
"2019-03-22",2530
"2019-03-25",3285
"2019-03-26",3735
"2019-03-27",3815
"2019-03-28",3870
"2019-03-29",3875
"2019-04-01",3855
"2019-04-02",4800
"2019-04-03",4570
"2019-04-04",5030
"2019-04-05",4945
"2019-04-08",4915
"2019-04-09",4945
"2019-04-10",4770
"2019-04-11",4880
"2019-04-12",5040
"2019-04-15",4925
"2019-04-16",5070
"2019-04-17",5030
"2019-04-18",4950
"2019-04-19",4900
"2019-04-22",4795
"2019-04-23",4890
"2019-04-24",4640
