"","Price"
"2019-11-28",84600
"2019-11-29",84000
"2019-12-02",83000
"2019-12-03",83300
"2019-12-04",80800
"2019-12-05",79100
"2019-12-06",82100
"2019-12-09",82700
"2019-12-10",80200
"2019-12-11",81900
"2019-12-12",82000
"2019-12-13",82900
"2019-12-16",83000
"2019-12-17",84000
"2019-12-18",82700
"2019-12-19",83100
"2019-12-20",83200
"2019-12-23",84000
"2019-12-24",85500
"2019-12-26",87600
"2019-12-27",85900
"2019-12-30",86100
"2020-01-02",84300
"2020-01-03",85800
"2020-01-06",83700
"2020-01-07",87200
"2020-01-08",85000
"2020-01-09",87900
"2020-01-10",89500
"2020-01-13",90200
"2020-01-14",89500
"2020-01-15",89500
"2020-01-16",90200
"2020-01-17",89500
"2020-01-20",90300
"2020-01-21",90100
"2020-01-22",90400
"2020-01-23",90400
"2020-01-28",88200
"2020-01-29",88500
"2020-01-30",87400
"2020-01-31",90800
"2020-02-03",90200
"2020-02-04",89700
"2020-02-05",89800
"2020-02-06",88800
"2020-02-07",88000
"2020-02-10",87800
"2020-02-11",88600
"2020-02-12",87300
"2020-02-13",86200
"2020-02-14",84400
"2020-02-17",83400
"2020-02-18",82000
"2020-02-19",85500
"2020-02-20",84900
"2020-02-21",83000
"2020-02-24",82200
"2020-02-25",84900
"2020-02-26",83400
"2020-02-27",83800
"2020-02-28",80500
"2020-03-02",80000
"2020-03-03",80500
"2020-03-04",80500
"2020-03-05",80100
"2020-03-06",80300
"2020-03-09",78500
"2020-03-10",79700
"2020-03-11",75600
"2020-03-12",74000
"2020-03-13",69400
"2020-03-16",68700
"2020-03-17",68700
"2020-03-18",64500
"2020-03-19",59000
"2020-03-20",61900
"2020-03-23",56600
"2020-03-24",60500
"2020-03-25",66900
"2020-03-26",65200
"2020-03-27",65600
"2020-03-30",65500
"2020-03-31",68800
"2020-04-01",65800
"2020-04-02",69400
"2020-04-03",68500
"2020-04-06",71600
"2020-04-07",74000
"2020-04-08",73000
"2020-04-09",73900
"2020-04-10",74000
"2020-04-13",73100
"2020-04-14",74800
"2020-04-16",73300
"2020-04-17",74500
"2020-04-20",76600
"2020-04-21",78200
"2020-04-22",78200
"2020-04-23",79200
"2020-04-24",79500
"2020-04-27",82600
"2020-04-28",80500
"2020-04-29",80300
"2020-05-04",79000
"2020-05-06",80800
"2020-05-07",82000
"2020-05-08",83200
"2020-05-11",81500
"2020-05-12",80000
"2020-05-13",82900
"2020-05-14",84900
"2020-05-15",85800
"2020-05-18",85000
"2020-05-19",84100
"2020-05-20",83900
"2020-05-21",83900
"2020-05-22",82500
"2020-05-25",83400
"2020-05-26",82600
"2020-05-27",83200
"2020-05-28",82400
"2020-05-29",80900
"2020-06-01",83900
"2020-06-02",84300
"2020-06-03",83000
"2020-06-04",82800
"2020-06-05",82700
"2020-06-08",83700
"2020-06-09",84000
"2020-06-10",85200
"2020-06-11",83000
"2020-06-12",84200
"2020-06-15",85200
"2020-06-16",86800
"2020-06-17",85100
"2020-06-18",85100
"2020-06-19",82200
"2020-06-22",80800
"2020-06-23",80600
"2020-06-24",80600
"2020-06-25",79600
"2020-06-26",80800
"2020-06-29",79200
"2020-06-30",79200
"2020-07-01",79900
"2020-07-02",79900
"2020-07-03",81000
"2020-07-06",80300
"2020-07-07",79500
"2020-07-08",79100
"2020-07-09",78800
"2020-07-10",77500
"2020-07-13",78000
"2020-07-14",78200
"2020-07-15",78600
"2020-07-16",78000
"2020-07-17",77500
"2020-07-20",77200
"2020-07-21",76300
"2020-07-22",76100
"2020-07-23",75900
"2020-07-24",75500
"2020-07-27",75500
"2020-07-28",75700
"2020-07-29",75300
"2020-07-30",75200
"2020-07-31",74200
"2020-08-03",73000
"2020-08-04",74400
"2020-08-05",75100
"2020-08-06",75300
"2020-08-07",75300
"2020-08-10",74600
"2020-08-11",74900
"2020-08-12",75000
"2020-08-13",75000
"2020-08-14",75300
"2020-08-18",73700
"2020-08-19",73300
"2020-08-20",69500
"2020-08-21",70100
"2020-08-24",70900
"2020-08-25",71500
"2020-08-26",70000
"2020-08-27",68200
"2020-08-28",68500
"2020-08-31",68000
"2020-09-01",68400
"2020-09-02",68400
"2020-09-03",68700
"2020-09-04",68000
"2020-09-07",68900
"2020-09-08",69400
"2020-09-09",69000
"2020-09-10",69100
"2020-09-11",69800
"2020-09-14",70000
"2020-09-15",69800
"2020-09-16",69800
"2020-09-17",68800
"2020-09-18",68200
"2020-09-21",67700
"2020-09-22",66700
"2020-09-23",66300
"2020-09-24",65600
"2020-09-25",66800
"2020-09-28",67700
"2020-09-29",67600
