"","Price"
"2018-09-20",4260
"2018-09-21",4160
"2018-09-27",4150
"2018-09-28",4160
"2018-10-01",4110
"2018-10-02",4020
"2018-10-04",4035
"2018-10-05",3955
"2018-10-08",4085
"2018-10-10",3840
"2018-10-11",3640
"2018-10-12",3680
"2018-10-15",3615
"2018-10-16",3745
"2018-10-17",3695
"2018-10-18",3745
"2018-10-19",3745
"2018-10-22",3710
"2018-10-23",3625
"2018-10-24",3500
"2018-10-25",3350
"2018-10-26",3200
"2018-10-29",2970
"2018-10-30",3090
"2018-10-31",3115
"2018-11-01",3230
"2018-11-02",3370
"2018-11-05",3325
"2018-11-06",3400
"2018-11-07",3375
"2018-11-08",3410
"2018-11-09",3480
"2018-11-12",3460
"2018-11-13",3410
"2018-11-14",3390
"2018-11-15",3415
"2018-11-16",3400
"2018-11-19",3490
"2018-11-20",3400
"2018-11-21",3335
"2018-11-22",3255
"2018-11-23",3170
"2018-11-26",3235
"2018-11-27",3295
"2018-11-28",3305
"2018-11-29",3290
"2018-11-30",3250
"2018-12-03",3285
"2018-12-04",3295
"2018-12-05",3195
"2018-12-06",3025
"2018-12-07",3035
"2018-12-10",2875
"2018-12-11",2865
"2018-12-12",2975
"2018-12-13",3025
"2018-12-14",2960
"2018-12-17",2915
"2018-12-18",2945
"2018-12-19",3155
"2018-12-20",3170
"2018-12-21",3205
"2018-12-24",3155
"2018-12-26",3195
"2018-12-27",3295
"2018-12-28",3395
"2019-01-02",3335
"2019-01-03",3130
"2019-01-04",3100
"2019-01-07",3145
"2019-01-08",3120
"2019-01-09",3160
"2019-01-10",3165
"2019-01-11",3145
"2019-01-14",3140
"2019-01-15",3185
"2019-01-16",3220
"2019-01-17",3230
"2019-01-18",3395
"2019-01-21",3450
"2019-01-22",3360
"2019-01-23",3355
"2019-01-24",3375
"2019-01-25",3315
"2019-01-28",3320
"2019-01-29",3305
"2019-01-30",3230
"2019-01-31",3265
"2019-02-01",3265
"2019-02-07",3380
"2019-02-08",3380
"2019-02-11",3425
"2019-02-12",3400
"2019-02-13",3535
"2019-02-14",3895
"2019-02-15",3775
"2019-02-18",3975
"2019-02-19",4000
"2019-02-20",3955
"2019-02-21",3940
"2019-02-22",3845
"2019-02-25",3770
"2019-02-26",3705
"2019-02-27",3785
"2019-02-28",3720
"2019-03-04",3795
"2019-03-05",3790
"2019-03-06",3930
"2019-03-07",3880
"2019-03-08",3875
"2019-03-11",3880
"2019-03-12",3900
"2019-03-13",3910
"2019-03-14",4040
"2019-03-15",4075
"2019-03-18",4045
"2019-03-19",4045
"2019-03-20",4135
"2019-03-21",4130
"2019-03-22",4135
"2019-03-25",4030
"2019-03-26",4190
"2019-03-27",4175
"2019-03-28",4115
"2019-03-29",4080
"2019-04-01",4085
"2019-04-02",4045
"2019-04-03",4130
"2019-04-04",4095
"2019-04-05",4135
"2019-04-08",4175
"2019-04-09",4130
"2019-04-10",4155
"2019-04-11",4110
"2019-04-12",4115
"2019-04-15",4100
"2019-04-16",4110
"2019-04-17",4075
"2019-04-18",4030
"2019-04-19",4130
"2019-04-22",4060
"2019-04-23",4065
"2019-04-24",4020
"2019-04-25",3960
"2019-04-26",3820
"2019-04-29",3795
"2019-04-30",3835
"2019-05-02",3900
"2019-05-03",3850
"2019-05-07",3770
"2019-05-08",3795
"2019-05-09",3635
"2019-05-10",3550
"2019-05-13",3525
"2019-05-14",3620
"2019-05-15",3565
"2019-05-16",3565
"2019-05-17",3560
"2019-05-20",3460
"2019-05-21",3490
"2019-05-22",3480
"2019-05-23",3395
"2019-05-24",3470
"2019-05-27",3380
"2019-05-28",3500
"2019-05-29",3350
"2019-05-30",3400
"2019-05-31",3435
"2019-06-03",3370
"2019-06-04",3395
"2019-06-05",3560
"2019-06-07",3760
"2019-06-10",3745
"2019-06-11",3770
"2019-06-12",3665
"2019-06-13",3885
"2019-06-14",3865
"2019-06-17",3825
"2019-06-18",3810
"2019-06-19",3730
"2019-06-20",3820
"2019-06-21",3820
"2019-06-24",3800
"2019-06-25",3730
"2019-06-26",3560
"2019-06-27",3630
"2019-06-28",3535
"2019-07-01",3460
"2019-07-02",3495
"2019-07-03",3580
"2019-07-04",3540
"2019-07-05",3475
"2019-07-08",3240
"2019-07-09",3210
"2019-07-10",3165
"2019-07-11",3305
"2019-07-12",3295
"2019-07-15",3210
"2019-07-16",3270
"2019-07-17",3230
"2019-07-18",3255
"2019-07-19",3350
"2019-07-22",3330
"2019-07-23",3215
"2019-07-24",3155
"2019-07-25",3070
"2019-07-26",3015
"2019-07-29",2905
"2019-07-30",3025
"2019-07-31",3055
"2019-08-01",2995
"2019-08-02",2935
"2019-08-05",2680
"2019-08-06",2550
"2019-08-07",2615
"2019-08-08",2830
"2019-08-09",2860
"2019-08-12",2825
"2019-08-13",2850
"2019-08-14",3035
"2019-08-16",2935
"2019-08-19",3000
"2019-08-20",3110
"2019-08-21",3145
"2019-08-22",3130
"2019-08-23",3195
"2019-08-26",3040
"2019-08-27",3035
"2019-08-28",3050
"2019-08-29",3035
"2019-08-30",3280
"2019-09-02",3280
"2019-09-03",3245
