"","Price"
"2018-09-20",148100
"2018-09-21",148100
"2018-09-27",148000
"2018-09-28",149600
"2018-10-01",142500
"2018-10-02",130200
"2018-10-04",118600
"2018-10-05",112700
"2018-10-08",116300
"2018-10-10",121200
"2018-10-11",110700
"2018-10-12",119900
"2018-10-15",116100
"2018-10-16",118900
"2018-10-17",127200
"2018-10-18",124500
"2018-10-19",124800
"2018-10-22",125700
"2018-10-23",120000
"2018-10-24",116500
"2018-10-25",112400
"2018-10-26",106000
"2018-10-29",100500
"2018-10-30",105000
"2018-10-31",110500
"2018-11-01",115300
"2018-11-02",116100
"2018-11-05",108300
"2018-11-06",108200
"2018-11-07",110600
"2018-11-08",112800
"2018-11-09",108100
"2018-11-12",91200
"2018-11-13",90000
"2018-11-14",92000
"2018-11-15",93600
"2018-11-16",91400
"2018-11-19",94600
"2018-11-20",91200
"2018-11-21",90600
"2018-11-22",95900
"2018-11-23",93800
"2018-11-26",97100
"2018-11-27",1e+05
"2018-11-28",103100
"2018-11-29",106500
"2018-11-30",101700
"2018-12-03",105300
"2018-12-04",101600
"2018-12-05",97600
"2018-12-06",94000
"2018-12-07",95500
"2018-12-10",93000
"2018-12-11",97900
"2018-12-12",104200
"2018-12-13",104900
"2018-12-14",101700
"2018-12-17",100900
"2018-12-18",99200
"2018-12-19",99300
"2018-12-20",103300
"2018-12-21",105000
"2018-12-24",108900
"2018-12-26",107000
"2018-12-27",107700
"2018-12-28",109800
"2019-01-02",106300
"2019-01-03",1e+05
"2019-01-04",98500
"2019-01-07",98700
"2019-01-08",100300
"2019-01-09",102600
"2019-01-10",101300
"2019-01-11",101700
"2019-01-14",98600
"2019-01-15",99000
"2019-01-16",102900
"2019-01-17",102000
"2019-01-18",105200
"2019-01-21",103700
"2019-01-22",107300
"2019-01-23",105800
"2019-01-24",104700
"2019-01-25",106000
"2019-01-28",109000
"2019-01-29",107000
"2019-01-30",109200
"2019-01-31",110600
"2019-02-01",112200
"2019-02-07",114200
"2019-02-08",117900
"2019-02-11",121300
"2019-02-12",120600
"2019-02-13",128500
"2019-02-14",133000
"2019-02-15",134700
"2019-02-18",137600
"2019-02-19",140300
"2019-02-20",132100
"2019-02-21",130000
"2019-02-22",130600
"2019-02-25",135400
"2019-02-26",132400
"2019-02-27",127000
"2019-02-28",118100
"2019-03-04",119400
"2019-03-05",118900
"2019-03-06",115700
